Ntop_0_0 TotalCurrent(tran_100_0_0_-34_1.28e-5) X,Ntop_0_0 TotalCurrent(tran_100_0_0_-34_1.28e-5) Y,Ntop_0_1 TotalCurrent(tran_100_0_0_-34_1.28e-5) X,Ntop_0_1 TotalCurrent(tran_100_0_0_-34_1.28e-5) Y,Ntop_1_0 TotalCurrent(tran_100_0_0_-34_1.28e-5) X,Ntop_1_0 TotalCurrent(tran_100_0_0_-34_1.28e-5) Y,Ntop_1_1 TotalCurrent(tran_100_0_0_-34_1.28e-5) X,Ntop_1_1 TotalCurrent(tran_100_0_0_-34_1.28e-5) Y
5e-13,2.9231797e-13,5e-13,2.877707e-13,5e-13,2.9643198e-13,5e-13,2.962715e-13
1.25e-12,3.0544459e-13,1.25e-12,2.8744187e-13,1.25e-12,2.8544614e-13,1.25e-12,2.8388472e-13
2.375e-12,5.0995637e-13,2.375e-12,3.1208288e-13,2.375e-12,3.1207925e-13,2.375e-12,2.9506584e-13
4.0625e-12,4.9533483e-12,4.0625e-12,8.9230477e-13,4.0625e-12,8.9534212e-13,4.0625e-12,5.6063693e-13
6.59375e-12,1.3404184e-10,6.59375e-12,1.7744197e-11,6.59375e-12,1.7750277e-11,6.59375e-12,8.1796984e-12
1.0390625e-11,1.7650098e-9,1.0390625e-11,2.3101545e-10,1.0390625e-11,2.3110664e-10,1.0390625e-11,1.0449416e-10
1.6085938e-11,4.1039366e-9,1.6085938e-11,5.3762361e-10,1.6085938e-11,5.3784896e-10,1.6085938e-11,2.4206391e-10
2.4628906e-11,5.0541648e-9,2.4628906e-11,6.5931095e-10,2.4628906e-11,6.5960894e-10,2.4628906e-11,2.9525846e-10
3.7443359e-11,5.2036288e-9,3.7443359e-11,6.6859207e-10,3.7443359e-11,6.6890225e-10,3.7443359e-11,2.9720982e-10
5.6665039e-11,5.3609795e-9,5.6665039e-11,6.6964624e-10,5.6665039e-11,6.6996145e-10,5.6665039e-11,2.9437089e-10
8.5497559e-11,5.4373045e-9,8.5497559e-11,6.465992e-10,8.5497559e-11,6.4690967e-10,8.5497559e-11,2.7898187e-10
1.2874634e-10,5.4072888e-9,1.2874634e-10,5.8896616e-10,1.2874634e-10,5.8925744e-10,1.2874634e-10,2.4570494e-10
1.9361951e-10,5.2135161e-9,1.9361951e-10,4.7988695e-10,1.9361951e-10,4.8014201e-10,1.9361951e-10,1.8627087e-10
2.4227438e-10,5.0069567e-9,2.4227438e-10,3.8978262e-10,2.4227438e-10,3.9001251e-10,2.4227438e-10,1.3857439e-10
2.7876554e-10,4.8327494e-9,2.7876554e-10,3.2029719e-10,2.7876554e-10,3.205109e-10,2.7876554e-10,1.0233673e-10
3.3350228e-10,4.5515915e-9,3.3350228e-10,2.1544647e-10,3.3350228e-10,2.1563991e-10,3.3350228e-10,4.8417498e-11
3.7455483e-10,4.329244e-9,3.7455483e-10,1.3745076e-10,3.7455483e-10,1.3763159e-10,3.7455483e-10,8.8838849e-12
4.3613366e-10,3.9818581e-9,4.3613366e-10,2.3197038e-11,4.3613366e-10,2.3361884e-11,4.3613366e-10,-4.810652e-11
5.285019e-10,3.4331935e-9,5.285019e-10,-1.3907969e-10,5.285019e-10,-1.3893575e-10,5.285019e-10,-1.2694098e-10
