Ntop_0_0 TotalCurrent(tran_50_0_0_-11_1.28e-5) X,Ntop_0_0 TotalCurrent(tran_50_0_0_-11_1.28e-5) Y,Ntop_0_1 TotalCurrent(tran_50_0_0_-11_1.28e-5) X,Ntop_0_1 TotalCurrent(tran_50_0_0_-11_1.28e-5) Y,Ntop_1_0 TotalCurrent(tran_50_0_0_-11_1.28e-5) X,Ntop_1_0 TotalCurrent(tran_50_0_0_-11_1.28e-5) Y,Ntop_1_1 TotalCurrent(tran_50_0_0_-11_1.28e-5) X,Ntop_1_1 TotalCurrent(tran_50_0_0_-11_1.28e-5) Y
5.2732729e-9,2.6361962e-9,5.2732729e-9,4.2571776e-12,5.2732729e-9,4.2583494e-12,5.2732729e-9,7.5621702e-13
5.7794374e-9,3.5163429e-9,5.7794374e-9,2.1716181e-12,5.7794374e-9,2.1743749e-12,5.7794374e-9,4.374136e-13
6.5386842e-9,4.8465614e-9,6.5386842e-9,4.941289e-13,6.5386842e-9,4.9824133e-13,6.5386842e-9,1.8191609e-13
7.1081193e-9,5.7420497e-9,7.1081193e-9,-2.6703146e-13,7.1081193e-9,-2.6258888e-13,7.1081193e-9,6.6512641e-14
7.9622719e-9,6.8138829e-9,7.9622719e-9,-1.1255959e-12,7.9622719e-9,-1.121343e-12,7.9622719e-9,-6.3205122e-14
9.2435008e-9,7.8101146e-9,9.2435008e-9,-2.0222847e-12,9.2435008e-9,-2.0190278e-12,9.2435008e-9,-1.9784764e-13
1.1165344e-8,8.2743206e-9,1.1165344e-8,-2.7321882e-12,1.1165344e-8,-2.7306725e-12,1.1165344e-8,-3.0267185e-13
1.4048109e-8,7.7598138e-9,1.4048109e-8,-2.9610687e-12,1.4048109e-8,-2.9615928e-12,1.4048109e-8,-3.3310295e-13
1.8372257e-8,6.1783507e-9,1.8372257e-8,-2.5660679e-12,1.8372257e-8,-2.5683497e-12,1.8372257e-8,-2.703742e-13
2.3372257e-8,4.412342e-9,2.3372257e-8,-1.8318357e-12,2.3372257e-8,-1.8348317e-12,2.3372257e-8,-1.6735178e-13
2.8372257e-8,3.0673384e-9,2.8372257e-8,-1.0627379e-12,2.8372257e-8,-1.0653515e-12,2.8372257e-8,-7.9509199e-14
