Ntop_0_0 TotalCurrent(tran_100_0_0_-45_1.28e-5) X,Ntop_0_0 TotalCurrent(tran_100_0_0_-45_1.28e-5) Y,Ntop_0_1 TotalCurrent(tran_100_0_0_-45_1.28e-5) X,Ntop_0_1 TotalCurrent(tran_100_0_0_-45_1.28e-5) Y,Ntop_1_0 TotalCurrent(tran_100_0_0_-45_1.28e-5) X,Ntop_1_0 TotalCurrent(tran_100_0_0_-45_1.28e-5) Y,Ntop_1_1 TotalCurrent(tran_100_0_0_-45_1.28e-5) X,Ntop_1_1 TotalCurrent(tran_100_0_0_-45_1.28e-5) Y
5e-13,2.1875314e-13,5e-13,2.1256953e-13,5e-13,2.2444601e-13,5e-13,2.2022075e-13
1.25e-12,2.3199624e-13,1.25e-12,2.1300004e-13,1.25e-12,2.1134814e-13,1.25e-12,2.1020976e-13
2.375e-12,4.319592e-13,2.375e-12,2.3891492e-13,2.375e-12,2.412119e-13,2.375e-12,2.2435012e-13
4.0625e-12,4.7340605e-12,4.0625e-12,7.8629611e-13,4.0625e-12,7.8726765e-13,4.0625e-12,4.6925534e-13
6.59375e-12,1.2944106e-10,6.59375e-12,1.6738746e-11,6.59375e-12,1.6744667e-11,6.59375e-12,7.6576094e-12
1.0390625e-11,1.6970572e-9,1.0390625e-11,2.1776561e-10,1.0390625e-11,2.1785393e-10,1.0390625e-11,9.8118925e-11
1.6085938e-11,3.8911227e-9,1.6085938e-11,5.0071167e-10,1.6085938e-11,5.0092766e-10,1.6085938e-11,2.2461283e-10
2.4628906e-11,4.6895938e-9,2.4628906e-11,6.0142547e-10,2.4628906e-11,6.0170654e-10,2.4628906e-11,2.6821986e-10
3.7443359e-11,4.7037812e-9,3.7443359e-11,5.9272398e-10,3.7443359e-11,5.9301099e-10,3.7443359e-11,2.620092e-10
5.6665039e-11,4.7147886e-9,5.6665039e-11,5.7343753e-10,5.6665039e-11,5.7372531e-10,5.6665039e-11,2.4992321e-10
8.5497559e-11,4.6461791e-9,8.5497559e-11,5.2965289e-10,8.5497559e-11,5.2993566e-10,8.5497559e-11,2.251591e-10
1.2874634e-10,4.4937178e-9,1.2874634e-10,4.5417576e-10,1.2874634e-10,4.5444485e-10,1.2874634e-10,1.8394471e-10
1.6118292e-10,4.3608166e-9,1.6118292e-10,3.9453989e-10,1.6118292e-10,3.9479616e-10,1.6118292e-10,1.5198316e-10
2.098378e-10,4.1443237e-9,2.098378e-10,3.033965e-10,2.098378e-10,3.0363239e-10,2.098378e-10,1.0379839e-10
2.4632896e-10,3.9719461e-9,2.4632896e-10,2.3467107e-10,2.4632896e-10,2.3489235e-10,2.4632896e-10,6.7922795e-11
3.0106569e-10,3.7009699e-9,3.0106569e-10,1.324196e-10,3.0106569e-10,1.3262065e-10,3.0106569e-10,1.5245854e-11
3.4211825e-10,3.4889046e-9,3.4211825e-10,5.7097868e-11,3.4211825e-10,5.7284716e-11,3.4211825e-10,-2.2997488e-11
4.0369707e-10,3.1567681e-9,4.0369707e-10,-5.253363e-11,4.0369707e-10,-5.2367402e-11,4.0369707e-10,-7.7720627e-11
4.4988119e-10,2.8961784e-9,4.4988119e-10,-1.3151796e-10,4.4988119e-10,-1.3136713e-10,4.4988119e-10,-1.1637092e-10
5.1915738e-10,2.4853591e-9,5.1915738e-10,-2.4376981e-10,5.1915738e-10,-2.4364304e-10,5.1915738e-10,-1.700013e-10
5.7111451e-10,2.1606882e-9,5.7111451e-10,-3.2249221e-10,5.7111451e-10,-3.2238432e-10,5.7111451e-10,-2.0655076e-10
6.4905022e-10,1.6458904e-9,6.4905022e-10,-4.3075745e-10,6.4905022e-10,-4.3067826e-10,6.4905022e-10,-2.5507613e-10
7.6595377e-10,8.1301009e-10,7.6595377e-10,-5.6868291e-10,7.6595377e-10,-5.6864417e-10,7.6595377e-10,-3.1301724e-10
8.5363144e-10,1.4697708e-10,8.5363144e-10,-6.5110365e-10,8.5363144e-10,-6.5108939e-10,8.5363144e-10,-3.4445297e-10
9.8514794e-10,-8.8927415e-10,9.8514794e-10,-7.3800452e-10,9.8514794e-10,-7.3801221e-10,9.8514794e-10,-3.7219844e-10
1.0837853e-9,-1.6639803e-9,1.0837853e-9,-7.7298135e-10,1.0837853e-9,-7.7299348e-10,1.0837853e-9,-3.7806328e-10
1.2317414e-9,-2.7302596e-9,1.2317414e-9,-7.7629424e-10,1.2317414e-9,-7.7630369e-10,1.2317414e-9,-3.644679e-10
1.3427084e-9,-3.3826442e-9,1.3427084e-9,-7.4143135e-10,1.3427084e-9,-7.4144368e-10,1.3427084e-9,-3.3834302e-10
1.4259337e-9,-3.7480855e-9,1.4259337e-9,-6.9601225e-10,1.4259337e-9,-6.9603676e-10,1.4259337e-9,-3.1106561e-10
1.5507716e-9,-4.0472247e-9,1.5507716e-9,-6.0163327e-10,1.5507716e-9,-6.016975e-10,1.5507716e-9,-2.6037416e-10
1.6444001e-9,-4.0580377e-9,1.6444001e-9,-5.143771e-10,1.6444001e-9,-5.144854e-10,1.6444001e-9,-2.1665621e-10
1.7848428e-9,-3.741278e-9,1.7848428e-9,-3.6788908e-10,1.7848428e-9,-3.680689e-10,1.7848428e-9,-1.4666347e-10
1.8901748e-9,-3.2819449e-9,1.8901748e-9,-2.5367434e-10,1.8901748e-9,-2.5389694e-10,1.8901748e-9,-9.395878e-11
2.0481728e-9,-2.3779676e-9,2.0481728e-9,-9.1603017e-11,2.0481728e-9,-9.1849039e-11,2.0481728e-9,-2.097971e-11
2.1666713e-9,-1.6402454e-9,2.1666713e-9,1.3903895e-11,2.1666713e-9,1.3675737e-11,2.1666713e-9,2.5645368e-11
2.344419e-9,-6.3852595e-10,2.344419e-9,1.3517722e-10,2.344419e-9,1.3501582e-10,2.344419e-9,7.8581738e-11
2.4777298e-9,-5.1909558e-11,2.4777298e-9,1.9529144e-10,2.4777298e-9,1.9519276e-10,2.4777298e-9,1.0456144e-10
2.6776961e-9,5.1780405e-10,2.6776961e-9,2.421512e-10,2.6776961e-9,2.4213468e-10,2.6776961e-9,1.2462316e-10
2.8276707e-9,7.3809406e-10,2.8276707e-9,2.5115054e-10,2.8276707e-9,2.5117691e-10,2.8276707e-9,1.2828646e-10
2.9401517e-9,8.2280981e-10,2.9401517e-9,2.4803329e-10,2.9401517e-9,2.4808073e-10,2.9401517e-9,1.2670168e-10
3.1088732e-9,8.7834978e-10,3.1088732e-9,2.337606e-10,3.1088732e-9,2.3382606e-10,3.1088732e-9,1.199969e-10
3.2354144e-9,8.9396721e-10,3.2354144e-9,2.18504e-10,3.2354144e-9,2.1857534e-10,3.2354144e-9,1.1282082e-10
3.4252261e-9,9.1901244e-10,3.4252261e-9,1.9242573e-10,3.4252261e-9,1.9249864e-10,3.4252261e-9,1.0034731e-10
3.5675848e-9,9.5599045e-10,3.5675848e-9,1.7192333e-10,3.5675848e-9,1.7199393e-10,3.5675848e-9,9.0328384e-11
3.781123e-9,1.0605073e-9,3.781123e-9,1.4155933e-10,3.781123e-9,1.4162368e-10,3.781123e-9,7.5117326e-11
3.9412766e-9,1.1844198e-9,3.9412766e-9,1.1984932e-10,3.9412766e-9,1.1990799e-10,3.9412766e-9,6.395859e-11
4.181507e-9,1.4515283e-9,4.181507e-9,9.0161283e-11,4.181507e-9,9.0211391e-11,4.181507e-9,4.8301313e-11
4.3616798e-9,1.7183224e-9,4.3616798e-9,7.0783036e-11,4.3616798e-9,7.0827335e-11,4.3616798e-9,3.7802955e-11
4.631939e-9,2.2247668e-9,4.631939e-9,4.733764e-11,4.631939e-9,4.7375052e-11,4.631939e-9,2.4727936e-11
5.0373279e-9,3.2005917e-9,5.0373279e-9,2.5762569e-11,5.0373279e-9,2.5793885e-11,5.0373279e-9,1.2011332e-11
5.6454111e-9,5.0046254e-9,5.6454111e-9,1.9540391e-11,5.6454111e-9,1.956928e-11,5.6454111e-9,7.0376132e-12
6.1014736e-9,6.4758863e-9,6.1014736e-9,2.7173814e-11,6.1014736e-9,2.7202902e-11,6.1014736e-9,1.0432955e-11
6.7855672e-9,8.5878759e-9,6.7855672e-9,3.9717238e-11,6.7855672e-9,3.9744803e-11,6.7855672e-9,1.7107484e-11
7.8117077e-9,1.1155103e-8,7.8117077e-9,4.1652437e-11,7.8117077e-9,4.1671782e-11,7.8117077e-9,1.9222805e-11
9.3509184e-9,1.3485035e-8,9.3509184e-9,2.572505e-11,9.3509184e-9,2.5729997e-11,9.3509184e-9,1.2144479e-11
1.1659734e-8,1.4553374e-8,1.1659734e-8,1.4207852e-11,1.1659734e-8,1.4202991e-11,1.1659734e-8,6.7372955e-12
1.5122959e-8,1.3593141e-8,1.5122959e-8,1.0136012e-11,1.5122959e-8,1.0129297e-11,1.5122959e-8,5.0886383e-12
2.0122959e-8,1.0822613e-8,2.0122959e-8,6.0935967e-12,2.0122959e-8,6.0878126e-12,2.0122959e-8,3.2018031e-12
2.5122959e-8,8.1889014e-9,2.5122959e-8,4.2789117e-12,2.5122959e-8,4.2748959e-12,2.5122959e-8,2.1689093e-12
3.0122959e-8,6.0997128e-9,3.0122959e-8,3.821049e-12,3.0122959e-8,3.8212577e-12,3.0122959e-8,1.5348097e-12
3.5122959e-8,4.5232024e-9,3.5122959e-8,4.3783335e-12,3.5122959e-8,4.3866176e-12,3.5122959e-8,1.1262616e-12
4.0122959e-8,3.3538144e-9,4.0122959e-8,5.4716181e-12,4.0122959e-8,5.4912846e-12,4.0122959e-8,8.5927372e-13
4.5122959e-8,2.4906409e-9,4.5122959e-8,6.5865402e-12,4.5122959e-8,6.6187818e-12,4.5122959e-8,6.7740879e-13
5.0122959e-8,1.8534742e-9,5.0122959e-8,7.3839535e-12,5.0122959e-8,7.4275905e-12,5.0122959e-8,5.5171409e-13
5.5122959e-8,1.3821964e-9,5.5122959e-8,7.7348928e-12,5.5122959e-8,7.7870689e-12,5.5122959e-8,4.632138e-13
6.0122959e-8,1.0326992e-9,6.0122959e-8,7.6632712e-12,6.0122959e-8,7.7204381e-12,6.0122959e-8,4.0038719e-13
6.5122959e-8,7.728257e-10,6.5122959e-8,7.2660064e-12,6.5122959e-8,7.3247203e-12,6.5122959e-8,3.5547155e-13
7.0122959e-8,5.7912723e-10,7.0122959e-8,6.6572749e-12,7.0122959e-8,6.7146748e-12,7.0122959e-8,3.2316238e-13
7.5122959e-8,4.3445362e-10,7.5122959e-8,5.9386995e-12,7.5122959e-8,5.9926941e-12,7.5122959e-8,2.996973e-13
8.0122959e-8,3.2621083e-10,8.0122959e-8,5.1882453e-12,8.0122959e-8,5.2375044e-12,8.0122959e-8,2.8239861e-13
8.5122959e-8,2.4511206e-10,8.5122959e-8,4.4593834e-12,8.5122959e-8,4.5032245e-12,8.5122959e-8,2.6937276e-13
9.0122959e-8,1.8428274e-10,9.0122959e-8,3.7848317e-12,9.0122959e-8,3.8230711e-12,9.0122959e-8,2.5930417e-13
9.5122959e-8,1.3861683e-10,9.5122959e-8,3.1815935e-12,9.5122959e-8,3.2143949e-12,9.5122959e-8,2.5129802e-13
1e-7,1.0504738e-10,1e-7,2.6677245e-12,1e-7,2.6955901e-12,1e-7,2.4490567e-13

