Ntop_0_0 TotalCurrent(tran_50_0_0_-17_1.924e-5) X,Ntop_0_0 TotalCurrent(tran_50_0_0_-17_1.924e-5) Y,Ntop_0_1 TotalCurrent(tran_50_0_0_-17_1.924e-5) X,Ntop_0_1 TotalCurrent(tran_50_0_0_-17_1.924e-5) Y,Ntop_1_0 TotalCurrent(tran_50_0_0_-17_1.924e-5) X,Ntop_1_0 TotalCurrent(tran_50_0_0_-17_1.924e-5) Y,Ntop_1_1 TotalCurrent(tran_50_0_0_-17_1.924e-5) X,Ntop_1_1 TotalCurrent(tran_50_0_0_-17_1.924e-5) Y
5e-13,9.1063238e-14,5e-13,8.5582586e-14,5e-13,8.2964057e-14,5e-13,8.8115353e-14
1.25e-12,1.0655908e-13,1.25e-12,8.7933124e-14,1.25e-12,8.5585079e-14,1.25e-12,8.6678089e-14
2.375e-12,2.8675397e-13,2.375e-12,9.1712097e-14,2.375e-12,9.2276573e-14,2.375e-12,8.6553597e-14
4.0625e-12,4.1844073e-12,4.0625e-12,2.1616327e-13,4.0625e-12,2.148321e-13,4.0625e-12,1.0536261e-13
6.59375e-12,1.159591e-10,6.59375e-12,3.7743039e-12,6.59375e-12,3.7782919e-12,6.59375e-12,6.7825553e-13
1.0390625e-11,1.499742e-9,1.0390625e-11,4.7279019e-11,1.0390625e-11,4.7347093e-11,1.0390625e-11,7.6230528e-12
1.6085938e-11,3.309427e-9,1.6085938e-11,1.0109311e-10,1.6085938e-11,1.0125455e-10,1.6085938e-11,1.5932464e-11
2.4628906e-11,3.7733557e-9,2.4628906e-11,1.1040741e-10,2.4628906e-11,1.1060836e-10,2.4628906e-11,1.7086244e-11
3.7443359e-11,3.520555e-9,3.7443359e-11,9.6974343e-11,3.7443359e-11,9.7172764e-11,3.7443359e-11,1.4809039e-11
5.6665039e-11,3.1817039e-9,5.6665039e-11,7.8988815e-11,5.6665039e-11,7.9183017e-11,5.6665039e-11,1.1879439e-11
8.5497559e-11,2.6375914e-9,8.5497559e-11,5.1896573e-11,8.5497559e-11,5.2083297e-11,8.5497559e-11,7.5772027e-12
1.2874634e-10,1.8513915e-9,1.2874634e-10,1.4406001e-11,1.2874634e-10,1.4582338e-11,1.2874634e-10,1.7319265e-12
1.9361951e-10,7.5678083e-10,1.9361951e-10,-3.4495324e-11,1.9361951e-10,-3.4328252e-11,1.9361951e-10,-5.796986e-12
2.4227438e-10,2.394333e-12,2.4227438e-10,-6.5541755e-11,2.4227438e-10,-6.5375672e-11,2.4227438e-10,-1.0533633e-11
3.152567e-10,-1.0163492e-9,3.152567e-10,-1.0321249e-10,3.152567e-10,-1.030409e-10,3.152567e-10,-1.6228156e-11
3.6999343e-10,-1.6809346e-9,3.6999343e-10,-1.2443649e-10,3.6999343e-10,-1.2425996e-10,3.6999343e-10,-1.9395484e-11
4.1104599e-10,-2.1161143e-9,4.1104599e-10,-1.3641981e-10,4.1104599e-10,-1.362423e-10,4.1104599e-10,-2.1158931e-11
4.7262482e-10,-2.6554866e-9,4.7262482e-10,-1.4822576e-10,4.7262482e-10,-1.4805573e-10,4.7262482e-10,-2.2851533e-11
