Ntop_0_0 TotalCurrent(tran_50_0_0_-23_1.28e-5) X,Ntop_0_0 TotalCurrent(tran_50_0_0_-23_1.28e-5) Y,Ntop_0_1 TotalCurrent(tran_50_0_0_-23_1.28e-5) X,Ntop_0_1 TotalCurrent(tran_50_0_0_-23_1.28e-5) Y,Ntop_1_0 TotalCurrent(tran_50_0_0_-23_1.28e-5) X,Ntop_1_0 TotalCurrent(tran_50_0_0_-23_1.28e-5) Y,Ntop_1_1 TotalCurrent(tran_50_0_0_-23_1.28e-5) X,Ntop_1_1 TotalCurrent(tran_50_0_0_-23_1.28e-5) Y
5e-13,2.6628071e-14,5e-13,2.8438754e-14,5e-13,3.9035605e-14,5e-13,3.1917015e-14
1.25e-12,4.1604701e-14,1.25e-12,2.763646e-14,1.25e-12,1.761786e-14,1.25e-12,2.2873419e-14
2.375e-12,1.7084886e-13,2.375e-12,2.9860673e-14,2.375e-12,3.3598224e-14,2.375e-12,2.7096047e-14
4.0625e-12,2.9750502e-12,4.0625e-12,1.1910044e-13,4.0625e-12,1.2421106e-13,4.0625e-12,4.1744737e-14
6.59375e-12,8.2975309e-11,6.59375e-12,2.6625744e-12,6.59375e-12,2.6676091e-12,6.59375e-12,4.4951832e-13
1.0390625e-11,1.0643555e-9,1.0390625e-11,3.3455676e-11,1.0390625e-11,3.3503461e-11,1.0390625e-11,5.3599397e-12
1.6085938e-11,2.2810074e-9,1.6085938e-11,6.9267069e-11,1.6085938e-11,6.9376346e-11,1.6085938e-11,1.0865552e-11
2.4628906e-11,2.4592334e-9,2.4628906e-11,7.0678255e-11,2.4628906e-11,7.0807199e-11,2.4628906e-11,1.0853643e-11
3.7443359e-11,2.1048897e-9,3.7443359e-11,5.508234e-11,3.7443359e-11,5.5199061e-11,3.7443359e-11,8.290089e-12
5.6665039e-11,1.6781521e-9,5.6665039e-11,3.5888e-11,5.6665039e-11,3.5991966e-11,5.6665039e-11,5.2258567e-12
8.5497559e-11,1.0957892e-9,8.5497559e-11,1.017188e-11,8.5497559e-11,1.0261792e-11,8.5497559e-11,1.2008268e-12
1.2874634e-10,3.3189964e-10,1.2874634e-10,-2.2380595e-11,1.2874634e-10,-2.2302484e-11,1.2874634e-10,-3.8085708e-12
1.6118292e-10,-1.8679704e-10,1.6118292e-10,-4.3238576e-11,1.6118292e-10,-4.3165333e-11,1.6118292e-10,-6.9791066e-12
2.098378e-10,-9.0368543e-10,2.098378e-10,-6.9850416e-11,2.098378e-10,-6.9781442e-11,2.098378e-10,-1.0976156e-11
2.4632896e-10,-1.3968037e-9,2.4632896e-10,-8.6364501e-11,2.4632896e-10,-8.6297631e-11,2.4632896e-10,-1.341778e-11
3.0106569e-10,-2.0625997e-9,3.0106569e-10,-1.0583097e-10,3.0106569e-10,-1.0576826e-10,3.0106569e-10,-1.6229094e-11
3.4211825e-10,-2.4982346e-9,3.4211825e-10,-1.1634243e-10,3.4211825e-10,-1.1628621e-10,3.4211825e-10,-1.7685947e-11
4.0369707e-10,-3.035269e-9,4.0369707e-10,-1.2580289e-10,4.0369707e-10,-1.2576586e-10,4.0369707e-10,-1.8874693e-11
4.4988119e-10,-3.3372686e-9,4.4988119e-10,-1.2818631e-10,4.4988119e-10,-1.2817198e-10,4.4988119e-10,-1.9026806e-11
5.1915738e-10,-3.6154215e-9,5.1915738e-10,-1.2497271e-10,5.1915738e-10,-1.2500475e-10,5.1915738e-10,-1.8199925e-11
5.7111451e-10,-3.6843515e-9,5.7111451e-10,-1.1789177e-10,5.7111451e-10,-1.1796445e-10,5.7111451e-10,-1.6860453e-11
6.4905022e-10,-3.5780845e-9,6.4905022e-10,-1.0151644e-10,6.4905022e-10,-1.0164797e-10,6.4905022e-10,-1.3977637e-11
7.07502e-10,-3.3562836e-9,7.07502e-10,-8.6019825e-11,7.07502e-10,-8.6186721e-11,7.07502e-10,-1.1336733e-11
7.9517966e-10,-2.8669039e-9,7.9517966e-10,-6.0516939e-11,7.9517966e-10,-6.0713583e-11,7.9517966e-10,-7.0637572e-12
9.2669617e-10,-1.9966423e-9,9.2669617e-10,-2.3947828e-11,9.2669617e-10,-2.413741e-11,9.2669617e-10,-1.0107514e-12
1.0253335e-9,-1.3895898e-9,1.0253335e-9,-1.8607524e-12,1.0253335e-9,-2.0167474e-12,1.0253335e-9,2.6218336e-12
1.1732896e-9,-7.2442051e-10,1.1732896e-9,1.9548312e-11,1.1732896e-9,1.9457002e-11,1.1732896e-9,6.1167089e-12
