Ntop_0_0 TotalCurrent(tran_50_0_0_-17_1.28e-5) X,Ntop_0_0 TotalCurrent(tran_50_0_0_-17_1.28e-5) Y,Ntop_0_1 TotalCurrent(tran_50_0_0_-17_1.28e-5) X,Ntop_0_1 TotalCurrent(tran_50_0_0_-17_1.28e-5) Y,Ntop_1_0 TotalCurrent(tran_50_0_0_-17_1.28e-5) X,Ntop_1_0 TotalCurrent(tran_50_0_0_-17_1.28e-5) Y,Ntop_1_1 TotalCurrent(tran_50_0_0_-17_1.28e-5) X,Ntop_1_1 TotalCurrent(tran_50_0_0_-17_1.28e-5) Y
5e-13,8.9915359e-14,5e-13,8.5575454e-14,5e-13,8.3218428e-14,5e-13,8.7773492e-14
1.25e-12,9.9921043e-14,1.25e-12,8.749257e-14,1.25e-12,8.6746958e-14,1.25e-12,8.6312481e-14
2.375e-12,2.1935223e-13,2.375e-12,8.9672337e-14,2.375e-12,9.0101918e-14,2.375e-12,8.6046418e-14
4.0625e-12,2.8122428e-12,4.0625e-12,1.7224011e-13,4.0625e-12,1.712342e-13,4.0625e-12,9.7885543e-14
6.59375e-12,7.7178091e-11,6.59375e-12,2.5395118e-12,6.59375e-12,2.5417258e-12,6.59375e-12,4.7931341e-13
1.0390625e-11,9.9790339e-10,1.0390625e-11,3.1486433e-11,1.0390625e-11,3.1531647e-11,1.0390625e-11,5.1004345e-12
1.6085938e-11,2.2027644e-9,1.6085938e-11,6.7321278e-11,1.6085938e-11,6.7428661e-11,1.6085938e-11,1.0634031e-11
2.4628906e-11,2.5135587e-9,2.4628906e-11,7.3592799e-11,2.4628906e-11,7.3726677e-11,2.4628906e-11,1.1413415e-11
3.7443359e-11,2.347792e-9,3.7443359e-11,6.4733179e-11,3.7443359e-11,6.4865305e-11,3.7443359e-11,9.9101542e-12
5.6665039e-11,2.1251384e-9,5.6665039e-11,5.2849255e-11,5.6665039e-11,5.2978711e-11,5.6665039e-11,7.9734965e-12
8.5497559e-11,1.7665144e-9,8.5497559e-11,3.4914644e-11,8.5497559e-11,3.5039471e-11,8.5497559e-11,5.124691e-12
1.2874634e-10,1.2481149e-9,1.2874634e-10,1.0085869e-11,1.2874634e-10,1.0204093e-11,1.2874634e-10,1.2526742e-12
1.9361951e-10,5.2709018e-10,1.9361951e-10,-2.2281861e-11,1.9361951e-10,-2.2169063e-11,1.9361951e-10,-3.7316259e-12
2.4227438e-10,3.0475687e-11,2.4227438e-10,-4.2820469e-11,2.4227438e-10,-4.2707678e-11,2.4227438e-10,-6.8656568e-12
3.152567e-10,-6.4007297e-10,3.152567e-10,-6.7723987e-11,3.152567e-10,-6.7606429e-11,3.152567e-10,-1.0630674e-11
3.6999343e-10,-1.0774083e-9,3.6999343e-10,-8.1733032e-11,3.6999343e-10,-8.161131e-11,3.6999343e-10,-1.2721334e-11
4.1104599e-10,-1.3635338e-9,4.1104599e-10,-8.9620154e-11,4.1104599e-10,-8.949711e-11,4.1104599e-10,-1.3881714e-11
4.7262482e-10,-1.7173534e-9,4.7262482e-10,-9.7333984e-11,4.7262482e-10,-9.7214864e-11,4.7262482e-10,-1.498653e-11
5.6499306e-10,-2.0618694e-9,5.6499306e-10,-1.0020857e-10,5.6499306e-10,-1.0011355e-10,5.6499306e-10,-1.5312513e-11
6.3426924e-10,-2.1662368e-9,6.3426924e-10,-9.6220843e-11,6.3426924e-10,-9.6158219e-11,6.3426924e-10,-1.4624612e-11
7.3818351e-10,-2.083628e-9,7.3818351e-10,-8.2425503e-11,7.3818351e-10,-8.2423786e-11,7.3818351e-10,-1.2420128e-11
