c(Ntop:Ntop)(cv_n47_ac_des) X,c(Ntop:Ntop)(cv_n47_ac_des) Y
-0.1,1.2961166e-14
-0.28666667,1.2770153e-14
-0.64340741,1.2451422e-14
-1.3093235,1.1643919e-14
-2.3093235,7.2331044e-15
-3.3093235,4.7070165e-15
-4.3093235,3.7215169e-15
-5.3093235,3.0284271e-15
-6.3093235,2.4841045e-15
-7.3093235,2.0587708e-15
-8.3093235,1.7277983e-15
-9.3093235,1.5401262e-15
-10.309323,1.4453309e-15
-11.309323,1.3897486e-15
-12.309323,1.3555054e-15
-13.309323,1.3340049e-15
-14.309323,1.3201366e-15
-15.309323,1.3108327e-15
-16.309323,1.3043922e-15
-17.309323,1.2998662e-15
-18.309323,1.2967415e-15
-19.309323,1.2946122e-15
-20.309323,1.2931045e-15
-21.309323,1.2919545e-15
-22.309323,1.2910156e-15
-23.309323,1.2902054e-15
-24.309323,1.2894772e-15
-25.309323,1.2888036e-15
-26.309323,1.2881672e-15
-27.309323,1.2875601e-15
-28.309323,1.2869674e-15
-29.309323,1.2863871e-15
-30.309323,1.2858144e-15
-31.309323,1.2852444e-15
-32.309323,1.2846752e-15
-33.309323,1.2841023e-15
-34.309323,1.2835222e-15
-35.309323,1.2829313e-15
-36.309323,1.2823281e-15
-37.309323,1.2817102e-15
-38.309323,1.2810755e-15
-39.309323,1.2804227e-15
-40.309323,1.2797505e-15
-41.309323,1.2790581e-15
-42.309323,1.2783447e-15
-43.309323,1.27761e-15
-44.309323,1.2768535e-15
-45.309323,1.276075e-15
-46.309323,1.2752744e-15
-47.309323,1.2744515e-15
-48.309323,1.2736062e-15
-49.309323,1.2727386e-15
-50.309323,1.2718485e-15
-51.309323,1.2709359e-15
-52.309323,1.2700007e-15
-53.309323,1.2690431e-15
-54.309323,1.2680628e-15
-55.309323,1.26706e-15
-56.309323,1.2660345e-15
-57.309323,1.2649863e-15
-58.309323,1.2639154e-15
-59.309323,1.2628216e-15
-60.309323,1.2617051e-15
-61.309323,1.2605659e-15
-62.309323,1.2594039e-15
-63.309323,1.2582191e-15
-64.309323,1.2570117e-15
-65.309323,1.2557816e-15
-66.309323,1.254529e-15
-67.309323,1.2532541e-15
-68.309323,1.251957e-15
-69.309323,1.2506378e-15
-70.309323,1.249297e-15
-71.309323,1.2479347e-15
-72.309323,1.2465511e-15
-73.309323,1.2451468e-15
-74.309323,1.2437221e-15
-75.309323,1.2422772e-15

