Ntop TotalCurrent(n226_des) X,Ntop TotalCurrent(n226_des) Y
0,-2.5872782e-17
0,-2.0369272e-18
0,5.0763009e-15
0,7.3066158e-15
0,8.3775813e-15
0,9.2552718e-15
0,1.0154742e-14
0,1.1112644e-14
0,1.2121562e-14
0,1.3148251e-14
0,1.4155807e-14
0,1.5099726e-14
0,1.5099211e-14
-0.5,1.6643463e-14
-1,1.7927386e-14
-1.5,1.9033718e-14
-2,1.9974129e-14
-2.5,2.070226e-14
-3,2.1269308e-14
-3.5,2.1740545e-14
-4,2.2118778e-14
-4.5,2.2419727e-14
-5,2.2641409e-14
-5.5,2.2806742e-14
-6,2.2923107e-14
-6.5,2.3007496e-14
-7,2.3068612e-14
-7.5,2.3117515e-14
-8,2.3160841e-14
-8.5,2.319579e-14
-9,2.322986e-14
-9.5,2.3269193e-14
-10,2.3301445e-14
-10.5,2.3307552e-14
-11,2.3331122e-14
-11.5,2.3370391e-14
-12,2.3370041e-14
-12.5,2.3405303e-14
-13,2.3417429e-14
-13.5,2.3451689e-14
-14,2.3469263e-14
-14.5,2.3476919e-14
-15,2.3483806e-14
-15.5,2.350192e-14
-16,2.3497086e-14
-16.5,2.3445956e-14
-17,2.3451809e-14
-17.5,2.3372564e-14
-18,2.3240566e-14
-18.5,2.2948057e-14
-19,2.2549116e-14
-19.5,2.1793136e-14
-20,2.082509e-14
-20.5,1.9721674e-14
-21,1.8612818e-14
-21.5,1.7639181e-14
-22,1.6824748e-14
-22.5,1.6078401e-14
-23,1.5486827e-14
-23.5,1.4937934e-14
-24,1.445189e-14
-24.5,1.4088688e-14
-25,1.3717685e-14
-25.5,1.341042e-14
-26,1.3099342e-14
-26.5,1.2830042e-14
-27,1.2643347e-14
-27.5,1.2445835e-14
-28,1.2133208e-14
-28.5,1.2005826e-14
-29,1.190624e-14
-29.5,1.1806056e-14
-30,1.173934e-14
-30.5,1.1655043e-14
-31,1.1566497e-14
-31.5,1.1506955e-14
-32,1.1427222e-14
-32.5,1.1427208e-14
-33,1.1358523e-14
-33.5,1.1279142e-14
-34,1.1273999e-14
-34.5,1.1177267e-14
-35,1.110096e-14
-35.5,1.105893e-14
-36,1.1091878e-14
-36.5,1.0990825e-14
-37,1.1011739e-14
-37.5,1.0996862e-14
-38,1.0940357e-14
-38.5,1.0922156e-14
-39,1.090207e-14
-39.5,1.086852e-14
-40,1.0877291e-14
-40.5,1.0804173e-14
-41,1.0778533e-14
-41.5,1.0780547e-14
-42,1.0783026e-14
-42.5,1.0761081e-14
-43,1.0762513e-14
-43.5,1.073683e-14
-44,1.071746e-14
-44.5,1.0709449e-14
-45,1.0698151e-14
-45.5,1.0666283e-14
-46,1.0669273e-14
-46.5,1.0668167e-14
-47,1.0656119e-14
-47.5,1.065764e-14
-48,1.0612516e-14
-48.5,1.0622978e-14
-49,1.0592966e-14
-49.5,1.0573385e-14
-50,1.0576096e-14

