c(Ntop:Ntop)(cv_ac_4.25_1000_ac_des) X,c(Ntop:Ntop)(cv_ac_4.25_1000_ac_des) Y
-0.05,1.4624976e-15
-0.14555556,1.4583542e-15
-0.32817284,1.4516254e-15
-0.67717476,1.4416833e-15
-1.1771748,1.4308767e-15
-1.6771748,1.4205818e-15
-2.1771748,1.406839e-15
-2.6771748,1.3844629e-15
-3.1771748,1.3518728e-15
-3.6771748,1.3162126e-15
-4.1771748,1.2862861e-15
-4.6771748,1.2638658e-15
-5.1771748,1.2467824e-15
-5.6771748,1.2329678e-15
-6.1771748,1.2211825e-15
-6.6771748,1.210739e-15
-7.1771748,1.2012418e-15
-7.6771748,1.1924478e-15
-8.1771748,1.1841978e-15
-8.6771748,1.1763823e-15
-9.1771748,1.1689229e-15
-9.6771748,1.1617621e-15
-10.177175,1.1548566e-15
-10.677175,1.1481731e-15
-11.177175,1.1416861e-15
-11.677175,1.1353761e-15
-12.177175,1.1292286e-15
-12.677175,1.1232336e-15
-13.177175,1.1173851e-15
-13.677175,1.1116811e-15
-14.177175,1.1061231e-15
-14.677175,1.1007162e-15
-15.177175,1.0954685e-15
-15.677175,1.090391e-15
-16.177175,1.0854971e-15
-16.677175,1.0808017e-15
-17.177175,1.0763206e-15
-17.677175,1.0720695e-15
-18.177175,1.068064e-15
-18.677175,1.0643185e-15
-19.177175,1.0608469e-15
-19.677175,1.0576635e-15
-20.177175,1.0547833e-15
-20.677175,1.0522222e-15
-21.177175,1.049993e-15
-21.677175,1.0480994e-15
-22.177175,1.0465286e-15
-22.677175,1.0452492e-15
-23.177175,1.0442167e-15
-23.677175,1.0433831e-15
-24.177175,1.0427052e-15
-24.677175,1.0421482e-15
-25.177175,1.0416858e-15
-25.677175,1.0412984e-15
-26.177175,1.0409718e-15
-26.677175,1.0406954e-15
-27.177175,1.0404609e-15
-27.677175,1.0402622e-15
-28.177175,1.0400941e-15
-28.677175,1.0399526e-15
-29.177175,1.0398343e-15
-29.677175,1.0397365e-15
-30.177175,1.0396567e-15
-30.677175,1.0395928e-15
-31.177175,1.0395432e-15
-31.677175,1.0395062e-15
-32.177175,1.0394806e-15
-32.677175,1.0394651e-15
-33.177175,1.0394587e-15
-33.677175,1.0394605e-15
-34.177175,1.0394697e-15
-34.677175,1.0394855e-15
-35.177175,1.0395073e-15
-35.677175,1.0395345e-15
-36.177175,1.0395665e-15
-36.677175,1.0396029e-15
-37.177175,1.0396432e-15
-37.677175,1.0396871e-15
-38.177175,1.0397343e-15
-38.677175,1.0397843e-15
-39.177175,1.0398369e-15
-39.677175,1.0398918e-15
-40.177175,1.0399489e-15
-40.677175,1.0400078e-15
-41.177175,1.0400684e-15
-41.677175,1.0401306e-15
-42.177175,1.0401941e-15
-42.677175,1.0402588e-15
-43.177175,1.0403246e-15
-43.677175,1.0403913e-15
-44.177175,1.0404589e-15
-44.677175,1.0405273e-15
-45.177175,1.0405963e-15
-45.677175,1.0406659e-15
-46.177175,1.040736e-15
-46.677175,1.0408065e-15
-47.177175,1.0408775e-15
-47.677175,1.0409487e-15
-48.177175,1.0410203e-15
-48.677175,1.041092e-15
-49.177175,1.041164e-15
-49.677175,1.0412361e-15
-50,1.0412827e-15

