Ntop TotalCurrent(n234_des) X,Ntop TotalCurrent(n234_des) Y
0,-2.5801898e-17
0,-4.9146214e-19
0,7.100188e-15
0,9.0222086e-15
0,9.8132393e-15
0,1.0374018e-14
0,1.0864034e-14
0,1.1321851e-14
0,1.1766139e-14
0,1.2199191e-14
0,1.2630455e-14
0,1.3066208e-14
0,1.306547e-14
-0.5,1.4609806e-14
-1,1.5892563e-14
-1.5,1.6996589e-14
-2,1.7937006e-14
-2.5,1.8663269e-14
-3,1.9221438e-14
-3.5,1.9684396e-14
-4,2.0049699e-14
-4.5,2.0357986e-14
-5,2.056265e-14
-5.5,2.0738412e-14
-6,2.0847584e-14
-6.5,2.0938861e-14
-7,2.098607e-14
-7.5,2.1060479e-14
-8,2.1125689e-14
-8.5,2.1140737e-14
-9,2.117989e-14
-9.5,2.1197624e-14
-10,2.1234517e-14
-10.5,2.1245226e-14
-11,2.125915e-14
-11.5,2.1302463e-14
-12,2.131084e-14
-12.5,2.1327238e-14
-13,2.1378067e-14
-13.5,2.1375175e-14
-14,2.1372244e-14
-14.5,2.1405196e-14
-15,2.1387985e-14
-15.5,2.14048e-14
-16,2.1406481e-14
-16.5,2.14146e-14
-17,2.1429991e-14
-17.5,2.1407884e-14
-18,2.1357717e-14
-18.5,2.1223077e-14
-19,2.1020457e-14
-19.5,2.0593443e-14
-20,1.9949573e-14
-20.5,1.9101085e-14
-21,1.8079161e-14
-21.5,1.7106724e-14
-22,1.620039e-14
-22.5,1.537846e-14
-23,1.4685436e-14
-23.5,1.4111153e-14
-24,1.3606172e-14
-24.5,1.3195248e-14
-25,1.2757168e-14
-25.5,1.2436058e-14
-26,1.2139916e-14
-26.5,1.1817939e-14
-27,1.1566141e-14
-27.5,1.1273125e-14
-28,1.1129767e-14
-28.5,1.0814011e-14
-29,1.064825e-14
-29.5,1.0484839e-14
-30,1.0378289e-14
-30.5,1.0293393e-14
-31,1.0142073e-14
-31.5,1.0095285e-14
-32,9.9543904e-15
-32.5,9.9662115e-15
-33,9.7908505e-15
-33.5,9.7633186e-15
-34,9.6700007e-15
-34.5,9.6037709e-15
-35,9.5388947e-15
-35.5,9.5147874e-15
-36,9.5036276e-15
-36.5,9.4426934e-15
-37,9.3732013e-15
-37.5,9.351158e-15
-38,9.2873782e-15
-38.5,9.2796528e-15
-39,9.2405104e-15
-39.5,9.2233881e-15
-40,9.1703384e-15
-40.5,9.1621111e-15
-41,9.1383255e-15
-41.5,9.1231006e-15
-42,9.0902765e-15
-42.5,9.0814225e-15
-43,9.0742008e-15
-43.5,9.0421851e-15
-44,9.0276564e-15
-44.5,8.9739764e-15
-45,8.9606945e-15
-45.5,8.9763838e-15
-46,8.9535946e-15
-46.5,8.9366638e-15
-47,8.9419135e-15
-47.5,8.8994668e-15
-48,8.9004945e-15
-48.5,8.8983073e-15
-49,8.8604897e-15
-49.5,8.8609186e-15
-50,8.8533001e-15

