Ptop TotalCurrent(iv_4.25_1000) X,Ptop TotalCurrent(iv_4.25_1000) Y
0,3.3788265e-19
0,1.0464853e-19
0,-3.4520542e-15
0,-4.3574355e-15
0,-4.937267e-15
0,-5.8327283e-15
0,-6.9647979e-15
0,-7.8552873e-15
0,-8.5145708e-15
0,-9.131691e-15
0,-9.7670597e-15
0,-1.0417954e-14
0,-1.0417999e-14
-0.5,-1.0412196e-14
-1,-1.0407249e-14
-1.5,-1.0405928e-14
-2,-1.0403732e-14
-2.5,-1.0405078e-14
-3,-1.0413674e-14
-3.5,-1.0426238e-14
-4,-1.0448356e-14
-4.5,-1.0472062e-14
-5,-1.0502852e-14
-5.5,-1.0527389e-14
-6,-1.0540434e-14
-6.5,-1.0543236e-14
-7,-1.0540482e-14
-7.5,-1.0536814e-14
-8,-1.0534114e-14
-8.5,-1.0528252e-14
-9,-1.0520309e-14
-9.5,-1.051092e-14
-10,-1.0501684e-14
-10.5,-1.049102e-14
-11,-1.0479509e-14
-11.5,-1.0463594e-14
-12,-1.0433388e-14
-12.5,-1.0370018e-14
-13,-1.0192731e-14
-13.5,-9.6537097e-15
-14,-8.0242955e-15
-14.5,-3.1322651e-15
-15,1.1259477e-14
-15.5,5.25467e-14
-16,1.6783451e-13
-16.5,4.8058056e-13
-17,1.3033376e-12
-17.5,3.3988065e-12
-18,8.5556777e-12
-18.5,2.0791309e-11
-19,4.8705788e-11
-19.5,1.0973107e-10
-20,2.3700986e-10
-20.5,4.8887856e-10
-21,9.5877063e-10
-21.5,1.7800603e-9
-22,3.1187682e-9
-22.5,5.1515828e-9
-23,8.0366615e-9
-23.5,1.1890763e-8
-24,1.6781316e-8
-24.5,2.2731889e-8
-25,2.973404e-8
-25.5,3.7759429e-8
-26,4.6769274e-8
-26.5,5.6720703e-8
-27,6.757057e-8
-27.5,7.9277542e-8
-28,9.1803083e-8
-28.5,1.0511182e-7
-29,1.1917152e-7
-29.5,1.3395294e-7
-30,1.4942958e-7
-30.5,1.6557735e-7
-31,1.8237436e-7
-31.5,1.9980064e-7
-32,2.1783788e-7
-32.5,2.3646929e-7
-33,2.5567936e-7
-33.5,2.7545375e-7
-34,2.9577914e-7
-34.5,3.1664309e-7
-35,3.3803399e-7
-35.5,3.5994095e-7
-36,3.8235369e-7
-36.5,4.0526255e-7
-37,4.2865835e-7
-37.5,4.5253239e-7
-38,4.7687643e-7
-38.5,5.0168257e-7
-39,5.269433e-7
-39.5,5.5265142e-7
-40,5.7880003e-7
-40.5,6.0538251e-7
-41,6.323925e-7
-41.5,6.5982385e-7
-42,6.8767066e-7
-42.5,7.1592722e-7
-43,7.44588e-7
-43.5,7.7364767e-7
-44,8.0310106e-7
-44.5,8.3294313e-7
-45,8.6316902e-7
-45.5,8.93774e-7
-46,9.2475345e-7
-46.5,9.5610289e-7
-47,9.8781797e-7
-47.5,1.0198944e-6
-48,1.0523281e-6
-48.5,1.0851149e-6
-49,1.118251e-6
-49.5,1.1517323e-6
-50,1.1855553e-6

