Ntop TotalCurrent(n214_des) X,Ntop TotalCurrent(n214_des) Y
0,-2.5908162e-17
0,-2.328224e-19
0,1.3578918e-15
0,2.0219206e-15
0,2.5522216e-15
0,3.0191311e-15
0,3.4487954e-15
0,3.8498786e-15
0,4.2314812e-15
0,4.5944816e-15
0,4.9428724e-15
0,5.278871e-15
0,5.279678e-15
-0.5,6.8250487e-15
-1,8.1069279e-15
-1.5,9.2123595e-15
-2,1.0152177e-14
-2.5,1.0886151e-14
-3,1.1452164e-14
-3.5,1.1928862e-14
-4,1.2304207e-14
-4.5,1.2581849e-14
-5,1.2813001e-14
-5.5,1.2966971e-14
-6,1.3092423e-14
-6.5,1.3181387e-14
-7,1.323544e-14
-7.5,1.3280349e-14
-8,1.3347349e-14
-8.5,1.3380608e-14
-9,1.3411202e-14
-9.5,1.3455487e-14
-10,1.3479626e-14
-10.5,1.3495731e-14
-11,1.3506141e-14
-11.5,1.3515862e-14
-12,1.3551202e-14
-12.5,1.3574421e-14
-13,1.3588181e-14
-13.5,1.3601325e-14
-14,1.3642307e-14
-14.5,1.3617519e-14
-15,1.3653103e-14
-15.5,1.3638344e-14
-16,1.3673624e-14
-16.5,1.3647406e-14
-17,1.3646642e-14
-17.5,1.3585324e-14
-18,1.3449942e-14
-18.5,1.3240367e-14
-19,1.2877689e-14
-19.5,1.2192319e-14
-20,1.1300057e-14
-20.5,1.0267505e-14
-21,9.1659494e-15
-21.5,8.2099445e-15
-22,7.3518328e-15
-22.5,6.5721064e-15
-23,5.9493978e-15
-23.5,5.4477183e-15
-24,4.9554599e-15
-24.5,4.5392394e-15
-25,4.1574938e-15
-25.5,3.8289481e-15
-26,3.531956e-15
-26.5,3.2855401e-15
-27,3.0409837e-15
-27.5,2.7956688e-15
-28,2.49746e-15
-28.5,2.4343776e-15
-29,2.3041048e-15
-29.5,2.219408e-15
-30,2.0863165e-15
-30.5,2.0105194e-15
-31,1.8999987e-15
-31.5,1.8348374e-15
-32,1.7658773e-15
-32.5,1.7002315e-15
-33,1.5810231e-15
-33.5,1.5722069e-15
-34,1.5190572e-15
-34.5,1.4802945e-15
-35,1.3949125e-15
-35.5,1.3981504e-15
-36,1.3572413e-15
-36.5,1.3392215e-15
-37,1.2871007e-15
-37.5,1.2355209e-15
-38,1.1981193e-15
-38.5,1.2370467e-15
-39,1.1979363e-15
-39.5,1.1356042e-15
-40,1.1212691e-15
-40.5,1.0997561e-15
-41,1.1088259e-15
-41.5,1.0402795e-15
-42,1.0370921e-15
-42.5,1.0480357e-15
-43,1.0020427e-15
-43.5,1.0092403e-15
-44,9.881684e-16
-44.5,9.4303848e-16
-45,9.6879742e-16
-45.5,9.4030794e-16
-46,9.2247605e-16
-46.5,9.1805654e-16
-47,8.8297138e-16
-47.5,8.8456745e-16
-48,8.6637468e-16
-48.5,8.6156373e-16
-49,8.6238519e-16
-49.5,8.4421846e-16
-50,8.3798898e-16

