Ntop TotalCurrent(n202_des) X,Ntop TotalCurrent(n202_des) Y
0,-2.5801898e-17
0,-4.9146214e-19
0,1.8979966e-15
0,2.6744649e-15
0,3.225571e-15
0,3.6983642e-15
0,4.1302342e-15
0,4.5342049e-15
0,4.9200358e-15
0,5.2861093e-15
0,5.6405428e-15
0,5.9848303e-15
0,5.9843126e-15
-0.5,7.529122e-15
-1,8.8112957e-15
-1.5,9.92146e-15
-2,1.085396e-14
-2.5,1.1578165e-14
-3,1.2146902e-14
-3.5,1.2615535e-14
-4,1.2984203e-14
-4.5,1.3269325e-14
-5,1.3484175e-14
-5.5,1.3656318e-14
-6,1.3766468e-14
-6.5,1.3858702e-14
-7,1.3915652e-14
-7.5,1.3973415e-14
-8,1.402656e-14
-8.5,1.4055465e-14
-9,1.4099941e-14
-9.5,1.411434e-14
-10,1.4139322e-14
-10.5,1.4168174e-14
-11,1.4200089e-14
-11.5,1.4218854e-14
-12,1.4236737e-14
-12.5,1.4229112e-14
-13,1.4276895e-14
-13.5,1.4258786e-14
-14,1.4281506e-14
-14.5,1.4283006e-14
-15,1.4323686e-14
-15.5,1.4349576e-14
-16,1.4344108e-14
-16.5,1.4337203e-14
-17,1.4353466e-14
-17.5,1.4285317e-14
-18,1.42363e-14
-18.5,1.4179798e-14
-19,1.3924008e-14
-19.5,1.3550851e-14
-20,1.2876543e-14
-20.5,1.1975668e-14
-21,1.1028039e-14
-21.5,1.001788e-14
-22,9.1113961e-15
-22.5,8.3330665e-15
-23,7.6404248e-15
-23.5,7.0535051e-15
-24,6.5372418e-15
-24.5,6.1166408e-15
-25,5.7108998e-15
-25.5,5.3680832e-15
-26,5.0445318e-15
-26.5,4.736048e-15
-27,4.5301354e-15
-27.5,4.2693951e-15
-28,4.0174995e-15
-28.5,3.6964778e-15
-29,3.5006535e-15
-29.5,3.4668953e-15
-30,3.2697939e-15
-30.5,3.1912694e-15
-31,3.0808544e-15
-31.5,2.9939889e-15
-32,2.8812234e-15
-32.5,2.7993544e-15
-33,2.7605137e-15
-33.5,2.6621034e-15
-34,2.6261519e-15
-34.5,2.5631768e-15
-35,2.481095e-15
-35.5,2.4411542e-15
-36,2.4142775e-15
-36.5,2.3671676e-15
-37,2.3095001e-15
-37.5,2.2543842e-15
-38,2.2028283e-15
-38.5,2.1980626e-15
-39,2.152749e-15
-39.5,2.1471647e-15
-40,2.1041351e-15
-40.5,2.0823749e-15
-41,2.0526932e-15
-41.5,2.0480627e-15
-42,2.0319913e-15
-42.5,1.9805666e-15
-43,1.9831407e-15
-43.5,1.917543e-15
-44,1.9738875e-15
-44.5,1.914721e-15
-45,1.9086725e-15
-45.5,1.8869463e-15
-46,1.8590776e-15
-46.5,1.8805878e-15
-47,1.8448627e-15
-47.5,1.8617463e-15
-48,1.8349716e-15
-48.5,1.7680738e-15
-49,1.800403e-15
-49.5,1.7801379e-15
-50,1.7795133e-15

