Ptop TotalCurrent(iv_0.5_100) X,Ptop TotalCurrent(iv_0.5_100) Y
0,-1.1567992e-19
0,1.3388752e-20
0,-3.8391759e-16
0,-5.580663e-16
0,-7.4735168e-16
0,-9.8026169e-16
0,-1.1887348e-15
0,-1.3202489e-15
0,-1.4081356e-15
0,-1.4808026e-15
0,-1.5499145e-15
0,-1.6210358e-15
0,-1.6210387e-15
-0.5,-1.6150841e-15
-1,-1.6109349e-15
-1.5,-1.6084512e-15
-2,-1.608049e-15
-2.5,-1.6108562e-15
-3,-1.6185005e-15
-3.5,-1.6333519e-15
-4,-1.6573554e-15
-4.5,-1.6894087e-15
-5,-1.7212245e-15
-5.5,-1.7426324e-15
-6,-1.7526739e-15
-6.5,-1.7553915e-15
-7,-1.7539705e-15
-7.5,-1.7500399e-15
-8,-1.7443661e-15
-8.5,-1.737367e-15
-9,-1.7291777e-15
-9.5,-1.7199011e-15
-10,-1.7094281e-15
-10.5,-1.6973702e-15
-11,-1.6819853e-15
-11.5,-1.657044e-15
-12,-1.6012002e-15
-12.5,-1.4415819e-15
-13,-9.3448438e-16
-13.5,7.1221642e-16
-14,5.9906887e-15
-14.5,2.2462975e-14
-15,7.2221839e-14
-15.5,2.1733554e-13
-16,6.252798e-13
-16.5,1.7294356e-12
-17,4.6033963e-12
-17.5,1.1787106e-11
-18,2.9000202e-11
-18.5,6.844232e-11
-19,1.5458127e-10
-19.5,3.3306865e-10
-20,6.819552e-10
-20.5,1.3211472e-9
-21,2.4124493e-9
-21.5,4.1433385e-9
-22,6.6966471e-9
-22.5,1.0219575e-8
-23,1.4806418e-8
-23.5,2.0498821e-8
-24,2.7297256e-8
-24.5,3.5175351e-8
-25,4.4092037e-8
-25.5,5.4000001e-8
-26,6.4850871e-8
-26.5,7.6598055e-8
-27,8.9198114e-8
-27.5,1.0261126e-7
-28,1.1680138e-7
-28.5,1.3173585e-7
-29,1.4738523e-7
-29.5,1.637229e-7
-30,1.8072476e-7
-30.5,1.9836892e-7
-31,2.1663542e-7
-31.5,2.3550602e-7
-32,2.5496395e-7
-32.5,2.7499376e-7
-33,2.9558115e-7
-33.5,3.1671286e-7
-34,3.3837653e-7
-34.5,3.605606e-7
-35,3.8325426e-7
-35.5,4.0644731e-7
-36,4.3013016e-7
-36.5,4.5429373e-7
-37,4.7892943e-7
-37.5,5.0402909e-7
-38,5.2958493e-7
-38.5,5.5558954e-7
-39,5.8203581e-7
-39.5,6.0891697e-7
-40,6.362265e-7
-40.5,6.6395813e-7
-41,6.9210584e-7
-41.5,7.2066383e-7
-42,7.4962648e-7
-42.5,7.7898839e-7
-43,8.0874431e-7
-43.5,8.3888916e-7
-44,8.6941802e-7
-44.5,9.0032611e-7
-45,9.3160878e-7
-45.5,9.6326152e-7
-46,9.9527993e-7
-46.5,1.0276597e-6
-47,1.0603967e-6
-47.5,1.0934869e-6
-48,1.1269262e-6
-48.5,1.1607108e-6
-49,1.1948368e-6
-49.5,1.2293006e-6
-50,1.2640986e-6

