c(Ntop:Ntop)(cv_ac_0.0_1000_ac_des) X,c(Ntop:Ntop)(cv_ac_0.0_1000_ac_des) Y
-0.05,3.9712248e-15
-0.14555556,3.967078e-15
-0.32817284,3.9603389e-15
-0.67717476,3.9503518e-15
-1.1771748,3.9393311e-15
-1.6771748,3.9283187e-15
-2.1771748,3.9126017e-15
-2.6771748,3.8859084e-15
-3.1771748,3.8466942e-15
-3.6771748,3.8044914e-15
-4.1771748,3.7694789e-15
-4.6771748,3.7426792e-15
-5.1771748,3.7212336e-15
-5.6771748,3.7028404e-15
-6.1771748,3.6861903e-15
-6.6771748,3.670551e-15
-7.1771748,3.655467e-15
-7.6771748,3.6406016e-15
-8.1771748,3.6256502e-15
-8.6771748,3.6102759e-15
-9.1771748,3.5940439e-15
-9.6771748,3.5763416e-15
-10.177175,3.5562989e-15
-10.677175,3.5328281e-15
-11.177175,3.5052272e-15
-11.677175,3.4750384e-15
-12.177175,3.44764e-15
-12.677175,3.4284156e-15
-13.177175,3.4174674e-15
-13.677175,3.411716e-15
-14.177175,3.4085717e-15
-14.677175,3.4066472e-15
-15.177175,3.4053021e-15
-15.677175,3.4042498e-15
-16.177175,3.4033589e-15
-16.677175,3.4025667e-15
-17.177175,3.4018411e-15
-17.677175,3.4011648e-15
-18.177175,3.4005282e-15
-18.677175,3.3999261e-15
-19.177175,3.3993562e-15
-19.677175,3.3988187e-15
-20.177175,3.3983155e-15
-20.677175,3.3978489e-15
-21.177175,3.3974207e-15
-21.677175,3.3970303e-15
-22.177175,3.396675e-15
-22.677175,3.3963503e-15
-23.177175,3.3960515e-15
-23.677175,3.3957744e-15
-24.177175,3.3955154e-15
-24.677175,3.3952717e-15
-25.177175,3.395041e-15
-25.677175,3.3948216e-15
-26.177175,3.394612e-15
-26.677175,3.3944111e-15
-27.177175,3.394218e-15
-27.677175,3.3940319e-15
-28.177175,3.393852e-15
-28.677175,3.3936778e-15
-29.177175,3.3935088e-15
-29.677175,3.3933445e-15
-30.177175,3.3931846e-15
-30.677175,3.3930288e-15
-31.177175,3.3928767e-15
-31.677175,3.3927281e-15
-32.177175,3.3925827e-15
-32.677175,3.3924403e-15
-33.177175,3.3923008e-15
-33.677175,3.392164e-15
-34.177175,3.3920297e-15
-34.677175,3.3918977e-15
-35.177175,3.3917681e-15
-35.677175,3.3916406e-15
-36.177175,3.3915151e-15
-36.677175,3.3913916e-15
-37.177175,3.39127e-15
-37.677175,3.3911501e-15
-38.177175,3.391032e-15
-38.677175,3.3909155e-15
-39.177175,3.3908006e-15
-39.677175,3.3906873e-15
-40.177175,3.3905754e-15
-40.677175,3.390465e-15
-41.177175,3.390356e-15
-41.677175,3.3902484e-15
-42.177175,3.390142e-15
-42.677175,3.3900369e-15
-43.177175,3.3899331e-15
-43.677175,3.3898305e-15
-44.177175,3.3897291e-15
-44.677175,3.3896288e-15
-45.177175,3.3895297e-15
-45.677175,3.3894316e-15
-46.177175,3.3893347e-15
-46.677175,3.3892387e-15
-47.177175,3.3891439e-15
-47.677175,3.38905e-15
-48.177175,3.3889571e-15
-48.677175,3.3888652e-15
-49.177175,3.3887742e-15
-49.677175,3.3886842e-15
-50,3.3886266e-15

