Ntop TotalCurrent(n196_des) X,Ntop TotalCurrent(n196_des) Y
0,-2.5908162e-17
0,-2.328224e-19
0,1.9126604e-15
0,2.6925094e-15
0,3.2472627e-15
0,3.7224079e-15
0,4.1578656e-15
0,4.5647861e-15
0,4.9515662e-15
0,5.3215464e-15
0,5.6773483e-15
0,6.0225827e-15
0,6.023857e-15
-0.5,7.5687623e-15
-1,8.8517011e-15
-1.5,9.9589215e-15
-2,1.0894378e-14
-2.5,1.1622824e-14
-3,1.2191008e-14
-3.5,1.2667598e-14
-4,1.3044588e-14
-4.5,1.333316e-14
-5,1.3561616e-14
-5.5,1.3719876e-14
-6,1.3820779e-14
-6.5,1.3916215e-14
-7,1.3983405e-14
-7.5,1.40326e-14
-8,1.408191e-14
-8.5,1.4128087e-14
-9,1.414995e-14
-9.5,1.4194125e-14
-10,1.4209528e-14
-10.5,1.4234187e-14
-11,1.426131e-14
-11.5,1.4262278e-14
-12,1.4297408e-14
-12.5,1.431207e-14
-13,1.4333832e-14
-13.5,1.4346654e-14
-14,1.4387207e-14
-14.5,1.4362102e-14
-15,1.4397433e-14
-15.5,1.4382352e-14
-16,1.4417488e-14
-16.5,1.439122e-14
-17,1.4390324e-14
-17.5,1.4328997e-14
-18,1.4193404e-14
-18.5,1.3983566e-14
-19,1.3620785e-14
-19.5,1.2934951e-14
-20,1.2042147e-14
-20.5,1.1008707e-14
-21,9.9056573e-15
-21.5,8.947617e-15
-22,8.0572834e-15
-22.5,7.3179108e-15
-23,6.6908537e-15
-23.5,6.1705389e-15
-24,5.7087515e-15
-24.5,5.2804923e-15
-25,4.9076821e-15
-25.5,4.5608392e-15
-26,4.2528402e-15
-26.5,4.0354417e-15
-27,3.7610769e-15
-27.5,3.5763688e-15
-28,3.235994e-15
-28.5,3.1442e-15
-29,2.9871726e-15
-29.5,2.9374772e-15
-30,2.8136288e-15
-30.5,2.7594604e-15
-31,2.6579881e-15
-31.5,2.5571942e-15
-32,2.4971304e-15
-32.5,2.3977031e-15
-33,2.3643447e-15
-33.5,2.3105962e-15
-34,2.2562124e-15
-34.5,2.2163517e-15
-35,2.2201502e-15
-35.5,2.1420615e-15
-36,2.0912903e-15
-36.5,2.0347258e-15
-37,2.0107841e-15
-37.5,1.9861904e-15
-38,1.9918828e-15
-38.5,1.8989635e-15
-39,1.9123858e-15
-39.5,1.8917898e-15
-40,1.8612512e-15
-40.5,1.8311777e-15
-41,1.8172386e-15
-41.5,1.7709674e-15
-42,1.7835775e-15
-42.5,1.7655984e-15
-43,1.7479717e-15
-43.5,1.727482e-15
-44,1.7202431e-15
-44.5,1.7150779e-15
-45,1.7019119e-15
-45.5,1.6927212e-15
-46,1.6976324e-15
-46.5,1.6218937e-15
-47,1.6403097e-15
-47.5,1.6245168e-15
-48,1.6229637e-15
-48.5,1.6185576e-15
-49,1.6029718e-15
-49.5,1.5899654e-15
-50,1.5928403e-15

