Ntop TotalCurrent(iv_0.0_1000) X,Ntop TotalCurrent(iv_0.0_1000) Y
0,-2.6015202e-17
0,-2.3074528e-18
0,3.5059705e-15
0,5.2669335e-15
0,7.2160488e-15
0,9.6259635e-15
0,1.1947587e-14
0,1.3486667e-14
0,1.443236e-14
0,1.5094797e-14
0,1.5617882e-14
0,1.6065251e-14
0,1.6064732e-14
-0.5,1.7610008e-14
-1,1.8892566e-14
-1.5,2.0001774e-14
-2,2.0944262e-14
-2.5,2.1676805e-14
-3,2.2253144e-14
-3.5,2.2733303e-14
-4,2.3120955e-14
-4.5,2.3406768e-14
-5,2.3625836e-14
-5.5,2.3789289e-14
-6,2.38915e-14
-6.5,2.3968134e-14
-7,2.4031699e-14
-7.5,2.4088412e-14
-8,2.4136125e-14
-8.5,2.4168552e-14
-9,2.4192965e-14
-9.5,2.4215111e-14
-10,2.4261564e-14
-10.5,2.4294836e-14
-11,2.4308306e-14
-11.5,2.4329693e-14
-12,2.4367071e-14
-12.5,2.4347751e-14
-13,2.4383301e-14
-13.5,2.4431788e-14
-14,2.443903e-14
-14.5,2.4435678e-14
-15,2.4424197e-14
-15.5,2.4436783e-14
-16,2.4438219e-14
-16.5,2.4448592e-14
-17,2.4400456e-14
-17.5,2.4309632e-14
-18,2.4189201e-14
-18.5,2.3868809e-14
-19,2.3380973e-14
-19.5,2.2627585e-14
-20,2.1576661e-14
-20.5,2.0430269e-14
-21,1.9394393e-14
-21.5,1.8457386e-14
-22,1.7622965e-14
-22.5,1.6905438e-14
-23,1.6337618e-14
-23.5,1.5802246e-14
-24,1.536093e-14
-24.5,1.4959797e-14
-25,1.4598515e-14
-25.5,1.4296741e-14
-26,1.4032425e-14
-26.5,1.3746931e-14
-27,1.3579953e-14
-27.5,1.339273e-14
-28,1.3063947e-14
-28.5,1.2945492e-14
-29,1.2888255e-14
-29.5,1.2745089e-14
-30,1.2684143e-14
-30.5,1.2624877e-14
-31,1.2533519e-14
-31.5,1.2478289e-14
-32,1.2367752e-14
-32.5,1.2302409e-14
-33,1.2348698e-14
-33.5,1.2221221e-14
-34,1.2132115e-14
-34.5,1.2136893e-14
-35,1.210227e-14
-35.5,1.2085475e-14
-36,1.2016981e-14
-36.5,1.2018723e-14
-37,1.1995972e-14
-37.5,1.1961467e-14
-38,1.1902808e-14
-38.5,1.1868936e-14
-39,1.1861783e-14
-39.5,1.1826653e-14
-40,1.1824809e-14
-40.5,1.1792045e-14
-41,1.1814224e-14
-41.5,1.1764869e-14
-42,1.1748254e-14
-42.5,1.1725733e-14
-43,1.1711113e-14
-43.5,1.1681152e-14
-44,1.1674522e-14
-44.5,1.1649769e-14
-45,1.1646553e-14
-45.5,1.162796e-14
-46,1.1617957e-14
-46.5,1.1612256e-14
-47,1.1604163e-14
-47.5,1.1596162e-14
-48,1.1587077e-14
-48.5,1.1582064e-14
-49,1.1582278e-14
-49.5,1.1570375e-14
-50,1.1538894e-14

