Ntop TotalCurrent(iv_4.25_1000) X,Ntop TotalCurrent(iv_4.25_1000) Y
0,-2.6171313e-17
0,5.3823742e-19
0,4.599091e-15
0,6.0799046e-15
0,7.1248238e-15
0,8.4298591e-15
0,9.9357473e-15
0,1.1173611e-14
0,1.2164765e-14
0,1.3095572e-14
0,1.403087e-14
0,1.4966447e-14
0,1.4965924e-14
-0.5,1.6510782e-14
-1,1.779609e-14
-1.5,1.8900539e-14
-2,1.9836415e-14
-2.5,2.0565437e-14
-3,2.1128139e-14
-3.5,2.1599673e-14
-4,2.1971212e-14
-4.5,2.2263999e-14
-5,2.247047e-14
-5.5,2.2633924e-14
-6,2.2747389e-14
-6.5,2.2828335e-14
-7,2.2894005e-14
-7.5,2.2944051e-14
-8,2.2994604e-14
-8.5,2.3034988e-14
-9,2.3065522e-14
-9.5,2.3094545e-14
-10,2.3127172e-14
-10.5,2.3125349e-14
-11,2.3163201e-14
-11.5,2.3181488e-14
-12,2.3206903e-14
-12.5,2.3224569e-14
-13,2.3214606e-14
-13.5,2.3279043e-14
-14,2.3239505e-14
-14.5,2.3285431e-14
-15,2.325218e-14
-15.5,2.3276268e-14
-16,2.3295579e-14
-16.5,2.3298903e-14
-17,2.3308503e-14
-17.5,2.3300265e-14
-18,2.3260343e-14
-18.5,2.3154558e-14
-19,2.3010077e-14
-19.5,2.2707378e-14
-20,2.2163705e-14
-20.5,2.1428926e-14
-21,2.050087e-14
-21.5,1.9534717e-14
-22,1.8614346e-14
-22.5,1.7848177e-14
-23,1.7103058e-14
-23.5,1.652094e-14
-24,1.6005964e-14
-24.5,1.5578671e-14
-25,1.5165087e-14
-25.5,1.4807834e-14
-26,1.4501144e-14
-26.5,1.4177739e-14
-27,1.3967211e-14
-27.5,1.365609e-14
-28,1.3504858e-14
-28.5,1.318013e-14
-29,1.2889165e-14
-29.5,1.2763379e-14
-30,1.2618353e-14
-30.5,1.2491024e-14
-31,1.2356165e-14
-31.5,1.227989e-14
-32,1.2144228e-14
-32.5,1.2054796e-14
-33,1.2032352e-14
-33.5,1.1907804e-14
-34,1.1859932e-14
-34.5,1.1812143e-14
-35,1.1702292e-14
-35.5,1.1666676e-14
-36,1.1580337e-14
-36.5,1.1553978e-14
-37,1.1518125e-14
-37.5,1.1449358e-14
-38,1.1464285e-14
-38.5,1.1376341e-14
-39,1.1336018e-14
-39.5,1.1332781e-14
-40,1.1293471e-14
-40.5,1.1276893e-14
-41,1.123706e-14
-41.5,1.1208695e-14
-42,1.1167517e-14
-42.5,1.1137294e-14
-43,1.1140791e-14
-43.5,1.1089004e-14
-44,1.1119937e-14
-44.5,1.108734e-14
-45,1.1049577e-14
-45.5,1.1034629e-14
-46,1.103611e-14
-46.5,1.0992653e-14
-47,1.0964632e-14
-47.5,1.0991301e-14
-48,1.0966412e-14
-48.5,1.0936501e-14
-49,1.0935502e-14
-49.5,1.0913356e-14
-50,1.0925098e-14

