Ntop TotalCurrent(iv_4.25_10) X,Ntop TotalCurrent(iv_4.25_10) Y
0,-2.6171313e-17
0,5.3823742e-19
0,1.3107068e-15
0,1.9650815e-15
0,2.4929767e-15
0,2.9630399e-15
0,3.3991762e-15
0,3.8056812e-15
0,4.1919959e-15
0,4.5570431e-15
0,4.9085632e-15
0,5.2463698e-15
0,5.2467795e-15
-0.5,6.7898972e-15
-1,8.0749525e-15
-1.5,9.1802726e-15
-2,1.0115713e-14
-2.5,1.0845419e-14
-3,1.1406104e-14
-3.5,1.1875319e-14
-4,1.2248437e-14
-4.5,1.2539771e-14
-5,1.2756286e-14
-5.5,1.2914616e-14
-6,1.3027047e-14
-6.5,1.3110621e-14
-7,1.3183773e-14
-7.5,1.3231753e-14
-8,1.3286943e-14
-8.5,1.3316646e-14
-9,1.3352392e-14
-9.5,1.3396689e-14
-10,1.3413459e-14
-10.5,1.3404443e-14
-11,1.3449339e-14
-11.5,1.3471327e-14
-12,1.3483041e-14
-12.5,1.3485119e-14
-13,1.3540205e-14
-13.5,1.3523357e-14
-14,1.351772e-14
-14.5,1.3540441e-14
-15,1.3566806e-14
-15.5,1.3583487e-14
-16,1.358931e-14
-16.5,1.3598048e-14
-17,1.3633835e-14
-17.5,1.3579206e-14
-18,1.3522949e-14
-18.5,1.3479841e-14
-19,1.3280672e-14
-19.5,1.2972814e-14
-20,1.2450864e-14
-20.5,1.1661534e-14
-21,1.0772721e-14
-21.5,9.8230106e-15
-22,8.9435474e-15
-22.5,8.1044996e-15
-23,7.4083091e-15
-23.5,6.7967235e-15
-24,6.2865609e-15
-24.5,5.8006484e-15
-25,5.4394046e-15
-25.5,5.0756765e-15
-26,4.7564304e-15
-26.5,4.4407847e-15
-27,4.1460118e-15
-27.5,3.9499249e-15
-28,3.7306924e-15
-28.5,3.5568207e-15
-29,3.1865424e-15
-29.5,3.0987664e-15
-30,2.8991992e-15
-30.5,2.8071819e-15
-31,2.7291598e-15
-31.5,2.5359936e-15
-32,2.4447241e-15
-32.5,2.3660225e-15
-33,2.2875791e-15
-33.5,2.1729203e-15
-34,2.1491791e-15
-34.5,2.0964602e-15
-35,1.9868313e-15
-35.5,1.9205674e-15
-36,1.9305758e-15
-36.5,1.8322392e-15
-37,1.7864415e-15
-37.5,1.7410372e-15
-38,1.6960709e-15
-38.5,1.6694859e-15
-39,1.6359414e-15
-39.5,1.57868e-15
-40,1.5562727e-15
-40.5,1.5202427e-15
-41,1.5013197e-15
-41.5,1.4822815e-15
-42,1.4267809e-15
-42.5,1.4236785e-15
-43,1.3934705e-15
-43.5,1.4123177e-15
-44,1.3673955e-15
-44.5,1.3755426e-15
-45,1.3506392e-15
-45.5,1.3495017e-15
-46,1.3098493e-15
-46.5,1.2922536e-15
-47,1.2494106e-15
-47.5,1.2725961e-15
-48,1.2381382e-15
-48.5,1.2349953e-15
-49,1.2159819e-15
-49.5,1.2080269e-15
-50,1.1983472e-15

