Ntop TotalCurrent(n210_des) X,Ntop TotalCurrent(n210_des) Y
0,-2.5872782e-17
0,-2.0369272e-18
0,1.3347517e-15
0,2.0039325e-15
0,2.5380219e-15
0,3.0099303e-15
0,3.4443188e-15
0,3.8519011e-15
0,4.2413599e-15
0,4.6129415e-15
0,4.9704497e-15
0,5.3140609e-15
0,5.3143076e-15
-0.5,6.8621003e-15
-1,8.1402285e-15
-1.5,9.2542175e-15
-2,1.0187013e-14
-2.5,1.0919292e-14
-3,1.1480874e-14
-3.5,1.195582e-14
-4,1.233356e-14
-4.5,1.2624715e-14
-5,1.2848821e-14
-5.5,1.302107e-14
-6,1.3128062e-14
-6.5,1.319893e-14
-7,1.3292633e-14
-7.5,1.3339124e-14
-8,1.3392973e-14
-8.5,1.34082e-14
-9,1.3457159e-14
-9.5,1.3499045e-14
-10,1.3512283e-14
-10.5,1.3547064e-14
-11,1.3545203e-14
-11.5,1.3581585e-14
-12,1.3592566e-14
-12.5,1.3622697e-14
-13,1.3624446e-14
-13.5,1.3646972e-14
-14,1.3659905e-14
-14.5,1.3686531e-14
-15,1.3720066e-14
-15.5,1.3707177e-14
-16,1.3688055e-14
-16.5,1.3702237e-14
-17,1.3669556e-14
-17.5,1.3599291e-14
-18,1.3468141e-14
-18.5,1.3230694e-14
-19,1.2732084e-14
-19.5,1.2037631e-14
-20,1.1024404e-14
-20.5,9.913358e-15
-21,8.8343306e-15
-21.5,7.8611703e-15
-22,7.0045321e-15
-22.5,6.2911458e-15
-23,5.7193962e-15
-23.5,5.177514e-15
-24,4.6931767e-15
-24.5,4.2979852e-15
-25,3.9309363e-15
-25.5,3.6148524e-15
-26,3.32841e-15
-26.5,3.1098708e-15
-27,2.8683774e-15
-27.5,2.6687716e-15
-28,2.3661235e-15
-28.5,2.273263e-15
-29,2.1454395e-15
-29.5,2.0291948e-15
-30,1.9946486e-15
-30.5,1.8821322e-15
-31,1.8001794e-15
-31.5,1.7696537e-15
-32,1.6613401e-15
-32.5,1.5694937e-15
-33,1.5173627e-15
-33.5,1.5071815e-15
-34,1.4546754e-15
-34.5,1.4238893e-15
-35,1.3706828e-15
-35.5,1.3893216e-15
-36,1.2509133e-15
-36.5,1.2757652e-15
-37,1.205084e-15
-37.5,1.2204398e-15
-38,1.1395001e-15
-38.5,1.1411535e-15
-39,1.0965229e-15
-39.5,1.0734985e-15
-40,1.1001737e-15
-40.5,1.051886e-15
-41,1.0109475e-15
-41.5,1.0140291e-15
-42,1.0014553e-15
-42.5,9.948236e-16
-43,9.4648668e-16
-43.5,9.3658856e-16
-44,9.1144537e-16
-44.5,9.2348278e-16
-45,9.0008063e-16
-45.5,8.8683428e-16
-46,8.7169171e-16
-46.5,8.4160506e-16
-47,8.7085838e-16
-47.5,8.611598e-16
-48,8.490223e-16
-48.5,8.3150431e-16
-49,7.9642319e-16
-49.5,7.9266862e-16
-50,8.0401089e-16

