Ntop TotalCurrent(iv_0.5_100) X,Ntop TotalCurrent(iv_0.5_100) Y
0,-2.5792755e-17
0,1.2591444e-19
0,1.5309972e-15
0,2.2811355e-15
0,2.9352084e-15
0,3.576771e-15
0,4.1606271e-15
0,4.6395693e-15
0,5.0582975e-15
0,5.4462909e-15
0,5.8128677e-15
0,6.1699569e-15
0,6.168974e-15
-0.5,7.7129514e-15
-1,8.9984478e-15
-1.5,1.0105559e-14
-2,1.1042682e-14
-2.5,1.1776744e-14
-3,1.2358252e-14
-3.5,1.2823641e-14
-4,1.3207041e-14
-4.5,1.3509354e-14
-5,1.3724887e-14
-5.5,1.3876041e-14
-6,1.3991709e-14
-6.5,1.4078002e-14
-7,1.411792e-14
-7.5,1.4192357e-14
-8,1.4231118e-14
-8.5,1.4264257e-14
-9,1.430482e-14
-9.5,1.4333528e-14
-10,1.4364929e-14
-10.5,1.4378201e-14
-11,1.4413722e-14
-11.5,1.4411036e-14
-12,1.4431986e-14
-12.5,1.4458399e-14
-13,1.4491489e-14
-13.5,1.4504343e-14
-14,1.4513238e-14
-14.5,1.4508484e-14
-15,1.4537981e-14
-15.5,1.4549798e-14
-16,1.4522988e-14
-16.5,1.4548137e-14
-17,1.4498692e-14
-17.5,1.4447003e-14
-18,1.4345887e-14
-18.5,1.4057511e-14
-19,1.3651999e-14
-19.5,1.2951255e-14
-20,1.1996692e-14
-20.5,1.0960049e-14
-21,9.8582673e-15
-21.5,8.8713793e-15
-22,8.0598177e-15
-22.5,7.3382712e-15
-23,6.7571319e-15
-23.5,6.2030293e-15
-24,5.7077107e-15
-24.5,5.3506111e-15
-25,4.947457e-15
-25.5,4.6249731e-15
-26,4.3168984e-15
-26.5,4.0927083e-15
-27,3.8557893e-15
-27.5,3.6753524e-15
-28,3.4006633e-15
-28.5,3.2107654e-15
-29,3.1291177e-15
-29.5,3.0425533e-15
-30,2.9462545e-15
-30.5,2.8573014e-15
-31,2.8102245e-15
-31.5,2.7114479e-15
-32,2.5816046e-15
-32.5,2.5537225e-15
-33,2.4560979e-15
-33.5,2.4709113e-15
-34,2.4183177e-15
-34.5,2.3549231e-15
-35,2.3117826e-15
-35.5,2.2756221e-15
-36,2.2365568e-15
-36.5,2.1847928e-15
-37,2.1416673e-15
-37.5,2.1100958e-15
-38,2.1190198e-15
-38.5,2.0730874e-15
-39,2.0332797e-15
-39.5,2.0220868e-15
-40,1.9608054e-15
-40.5,1.9671366e-15
-41,1.9666887e-15
-41.5,1.9453545e-15
-42,1.925503e-15
-42.5,1.881797e-15
-43,1.9048783e-15
-43.5,1.874435e-15
-44,1.8564439e-15
-44.5,1.8408511e-15
-45,1.8275271e-15
-45.5,1.8111887e-15
-46,1.8103075e-15
-46.5,1.7769943e-15
-47,1.7929761e-15
-47.5,1.8017444e-15
-48,1.7706801e-15
-48.5,1.7721593e-15
-49,1.7613237e-15
-49.5,1.7228588e-15
-50,1.7140618e-15

