Ptop TotalCurrent(iv_2.0_10) X,Ptop TotalCurrent(iv_2.0_10) Y
0,-1.1515933e-19
0,2.961203e-20
0,-1.7331342e-16
0,-2.5353961e-16
0,-3.1907683e-16
0,-3.839004e-16
0,-4.490931e-16
0,-5.0904024e-16
0,-5.6380691e-16
0,-6.1676523e-16
0,-6.6979051e-16
0,-7.2429806e-16
0,-7.2431211e-16
-0.5,-7.1844767e-16
-1,-7.1430702e-16
-1.5,-7.1180689e-16
-2,-7.1145354e-16
-2.5,-7.13963e-16
-3,-7.2105488e-16
-3.5,-7.3468339e-16
-4,-7.5684537e-16
-4.5,-7.8679526e-16
-5,-8.1766385e-16
-5.5,-8.3951524e-16
-6,-8.5017269e-16
-6.5,-8.5352526e-16
-7,-8.5242642e-16
-7.5,-8.4867525e-16
-8,-8.4328189e-16
-8.5,-8.3653447e-16
-9,-8.2860063e-16
-9.5,-8.1955894e-16
-10,-8.0956797e-16
-10.5,-7.9823132e-16
-11,-7.845394e-16
-11.5,-7.6501971e-16
-12,-7.2755146e-16
-12.5,-6.328689e-16
-13,-3.5492249e-16
-13.5,5.023274e-16
-14,3.1505846e-15
-14.5,1.11997e-14
-15,3.5097074e-14
-15.5,1.0415828e-13
-16,2.9795943e-13
-16.5,8.2499545e-13
-17,2.2112328e-12
-17.5,5.7306952e-12
-18,1.4336862e-11
-18.5,3.4555177e-11
-19,8.0047727e-11
-19.5,1.7769967e-10
-20,3.7666445e-10
-20.5,7.5911948e-10
-21,1.4482128e-9
-21.5,2.6057048e-9
-22,4.4138756e-9
-22.5,7.0457416e-9
-23,1.0637119e-8
-23.5,1.5272806e-8
-24,2.0988675e-8
-24.5,2.7783094e-8
-25,3.563023e-8
-25.5,4.4491063e-8
-26,5.432098e-8
-26.5,6.5074442e-8
-27,7.6707548e-8
-27.5,8.9179284e-8
-28,1.02452e-7
-28.5,1.1649143e-7
-29,1.3126656e-7
-29.5,1.4674931e-7
-30,1.6291425e-7
-30.5,1.7973828e-7
-31,1.9720041e-7
-31.5,2.1528142e-7
-32,2.3396372e-7
-32.5,2.532311e-7
-33,2.7306861e-7
-33.5,2.9346237e-7
-34,3.1439947e-7
-34.5,3.3586787e-7
-35,3.5785627e-7
-35.5,3.8035408e-7
-36,4.0335131e-7
-36.5,4.2683853e-7
-37,4.508068e-7
-37.5,4.7524764e-7
-38,5.0015298e-7
-38.5,5.2551514e-7
-39,5.5132675e-7
-39.5,5.7758079e-7
-40,6.0427051e-7
-40.5,6.3138944e-7
-41,6.5893134e-7
-41.5,6.8689021e-7
-42,7.1526027e-7
-42.5,7.4403592e-7
-43,7.7321175e-7
-43.5,8.0278254e-7
-44,8.327432e-7
-44.5,8.6308881e-7
-45,8.938146e-7
-45.5,9.2491591e-7
-46,9.5638823e-7
-46.5,9.8822715e-7
-47,1.0204284e-6
-47.5,1.0529877e-6
-48,1.0859011e-6
-48.5,1.1191646e-6
-49,1.1527742e-6
-49.5,1.1867261e-6
-50,1.2210167e-6

