Ntop TotalCurrent(n190_des) X,Ntop TotalCurrent(n190_des) Y
0,-2.5872782e-17
0,-2.0369272e-18
0,1.7078857e-15
0,2.5213959e-15
0,3.1038869e-15
0,3.6121043e-15
0,4.0900636e-15
0,4.5472112e-15
0,4.9920492e-15
0,5.422528e-15
0,5.8398083e-15
0,6.2385702e-15
0,6.2376689e-15
-0.5,7.7813736e-15
-1,9.0646531e-15
-1.5,1.0176403e-14
-2,1.1111419e-14
-2.5,1.1839019e-14
-3,1.2411535e-14
-3.5,1.2885466e-14
-4,1.3260173e-14
-4.5,1.3554726e-14
-5,1.3787441e-14
-5.5,1.3937288e-14
-6,1.4048167e-14
-6.5,1.4147734e-14
-7,1.4188609e-14
-7.5,1.4256659e-14
-8,1.4306141e-14
-8.5,1.4329881e-14
-9,1.4365876e-14
-9.5,1.4407347e-14
-10,1.4441914e-14
-10.5,1.4450938e-14
-11,1.4482298e-14
-11.5,1.4488283e-14
-12,1.4514674e-14
-12.5,1.4534738e-14
-13,1.455166e-14
-13.5,1.4556574e-14
-14,1.4576882e-14
-14.5,1.4611114e-14
-15,1.4644309e-14
-15.5,1.4631034e-14
-16,1.4611622e-14
-16.5,1.4625507e-14
-17,1.4592753e-14
-17.5,1.4522301e-14
-18,1.4391023e-14
-18.5,1.4153308e-14
-19,1.365442e-14
-19.5,1.2959553e-14
-20,1.1953211e-14
-20.5,1.0833366e-14
-21,9.7821811e-15
-21.5,8.7617406e-15
-22,7.923631e-15
-22.5,7.234766e-15
-23,6.6436061e-15
-23.5,6.0892999e-15
-24,5.6415653e-15
-24.5,5.1989152e-15
-25,4.8332738e-15
-25.5,4.5392121e-15
-26,4.2611615e-15
-26.5,4.0308518e-15
-27,3.7852012e-15
-27.5,3.6070391e-15
-28,3.3379399e-15
-28.5,3.2161897e-15
-29,3.0843742e-15
-29.5,2.989374e-15
-30,2.9509776e-15
-30.5,2.8238992e-15
-31,2.7512123e-15
-31.5,2.6497681e-15
-32,2.5963339e-15
-32.5,2.5021586e-15
-33,2.4056913e-15
-33.5,2.4156735e-15
-34,2.3303989e-15
-34.5,2.371098e-15
-35,2.2562648e-15
-35.5,2.2748791e-15
-36,2.2122354e-15
-36.5,2.1985572e-15
-37,2.1737557e-15
-37.5,2.1333896e-15
-38,2.086693e-15
-38.5,2.0532963e-15
-39,2.0423091e-15
-39.5,2.0264557e-15
-40,1.9958334e-15
-40.5,1.9241174e-15
-41,1.9538055e-15
-41.5,1.9337608e-15
-42,1.928646e-15
-42.5,1.9002911e-15
-43,1.8874087e-15
-43.5,1.8765567e-15
-44,1.8511606e-15
-44.5,1.8436464e-15
-45,1.8386958e-15
-45.5,1.7943312e-15
-46,1.8105293e-15
-46.5,1.7973112e-15
-47,1.7857976e-15
-47.5,1.7763621e-15
-48,1.7529752e-15
-48.5,1.7479733e-15
-49,1.7386444e-15
-49.5,1.7242066e-15
-50,1.7065235e-15

