c(Ntop:Ntop)(cv_n235_ac_des) X,c(Ntop:Ntop)(cv_n235_ac_des) Y
-0.05,1.2157733e-15
-0.14555556,1.2116299e-15
-0.32817284,1.2049009e-15
-0.67717476,1.1949579e-15
-1.1771748,1.1841458e-15
-1.6771748,1.1738291e-15
-2.1771748,1.1599985e-15
-2.6771748,1.1372328e-15
-3.1771748,1.1032934e-15
-3.6771748,1.0650123e-15
-4.1771748,1.0321708e-15
-4.6771748,1.0073128e-15
-5.1771748,9.8823897e-16
-5.6771748,9.726776e-16
-6.1771748,9.5925834e-16
-6.6771748,9.4722769e-16
-7.1771748,9.3615756e-16
-7.6771748,9.257872e-16
-8.1771748,9.1594614e-16
-8.6771748,9.0651606e-16
-9.1771748,8.9741078e-16
-9.6771748,8.8856482e-16
-10.177175,8.7992659e-16
-10.677175,8.7145433e-16
-11.177175,8.6311384e-16
-11.677175,8.5487765e-16
-12.177175,8.4672527e-16
-12.677175,8.3864451e-16
-13.177175,8.3063368e-16
-13.677175,8.2270442e-16
-14.177175,8.1488478e-16
-14.677175,8.072214e-16
-15.177175,7.9977959e-16
-15.677175,7.9263979e-16
-16.177175,7.8588968e-16
-16.677175,7.7961273e-16
-17.177175,7.7387597e-16
-17.677175,7.6872052e-16
-18.177175,7.6415787e-16
-18.677175,7.6017251e-16
-19.177175,7.567293e-16
-19.677175,7.5378268e-16
-20.177175,7.5128493e-16
-20.677175,7.4919122e-16
-21.177175,7.4746027e-16
-21.677175,7.4605128e-16
-22.177175,7.449204e-16
-22.677175,7.4402039e-16
-23.177175,7.433043e-16
-23.677175,7.4273016e-16
-24.177175,7.4226382e-16
-24.677175,7.4187927e-16
-25.177175,7.4155738e-16
-25.677175,7.412843e-16
-26.177175,7.4104992e-16
-26.677175,7.408468e-16
-27.177175,7.4066937e-16
-27.677175,7.4051334e-16
-28.177175,7.4037539e-16
-28.677175,7.4025285e-16
-29.177175,7.4014359e-16
-29.677175,7.4004586e-16
-30.177175,7.399582e-16
-30.677175,7.398794e-16
-31.177175,7.3980842e-16
-31.677175,7.3974438e-16
-32.177175,7.3968653e-16
-32.677175,7.3963422e-16
-33.177175,7.3958687e-16
-33.677175,7.3954398e-16
-34.177175,7.3950512e-16
-34.677175,7.394699e-16
-35.177175,7.3943799e-16
-35.677175,7.3940909e-16
-36.177175,7.3938292e-16
-36.677175,7.3935924e-16
-37.177175,7.3933786e-16
-37.677175,7.3931858e-16
-38.177175,7.3930122e-16
-38.677175,7.3928565e-16
-39.177175,7.3927172e-16
-39.677175,7.3925931e-16
-40.177175,7.3924831e-16
-40.677175,7.3923863e-16
-41.177175,7.3923018e-16
-41.677175,7.3922288e-16
-42.177175,7.3921665e-16
-42.677175,7.3921143e-16
-43.177175,7.3920716e-16
-43.677175,7.3920379e-16
-44.177175,7.3920127e-16
-44.677175,7.3919956e-16
-45.177175,7.3919861e-16
-45.677175,7.3919838e-16
-46.177175,7.3919886e-16
-46.677175,7.3919999e-16
-47.177175,7.3920176e-16
-47.677175,7.3920413e-16
-48.177175,7.3920709e-16
-48.677175,7.3921061e-16
-49.177175,7.3921466e-16
-49.677175,7.3921924e-16
-50,7.3922247e-16

