Ntop TotalCurrent(n206_des) X,Ntop TotalCurrent(n206_des) Y
0,-2.611609e-17
0,-1.9008025e-20
0,1.3172537e-15
0,1.977137e-15
0,2.5047401e-15
0,2.9709069e-15
0,3.3979589e-15
0,3.8014059e-15
0,4.1843215e-15
0,4.5508863e-15
0,4.9036046e-15
0,5.2432533e-15
0,5.2430821e-15
-0.5,6.7859669e-15
-1,8.069454e-15
-1.5,9.1792234e-15
-2,1.0111675e-14
-2.5,1.083016e-14
-3,1.1385938e-14
-3.5,1.1846823e-14
-4,1.2218333e-14
-4.5,1.2502488e-14
-5,1.2719371e-14
-5.5,1.2880966e-14
-6,1.3010292e-14
-6.5,1.3091436e-14
-7,1.3171026e-14
-7.5,1.3224774e-14
-8,1.324991e-14
-8.5,1.3323707e-14
-9,1.3343058e-14
-9.5,1.338436e-14
-10,1.3387971e-14
-10.5,1.3418131e-14
-11,1.3430877e-14
-11.5,1.3450987e-14
-12,1.3474747e-14
-12.5,1.3482635e-14
-13,1.3513431e-14
-13.5,1.3507335e-14
-14,1.3558684e-14
-14.5,1.35587e-14
-15,1.3559438e-14
-15.5,1.3604884e-14
-16,1.3612112e-14
-16.5,1.3615515e-14
-17,1.3573298e-14
-17.5,1.3603773e-14
-18,1.3519701e-14
-18.5,1.3462053e-14
-19,1.3343095e-14
-19.5,1.3094722e-14
-20,1.2595319e-14
-20.5,1.1876618e-14
-21,1.1006737e-14
-21.5,1.0057235e-14
-22,9.1294934e-15
-22.5,8.3255001e-15
-23,7.5867037e-15
-23.5,6.9733141e-15
-24,6.4596067e-15
-24.5,5.9675996e-15
-25,5.5918841e-15
-25.5,5.184387e-15
-26,4.8692697e-15
-26.5,4.5918395e-15
-27,4.2611217e-15
-27.5,4.0034343e-15
-28,3.7397725e-15
-28.5,3.5381026e-15
-29,3.2982515e-15
-29.5,3.1515265e-15
-30,3.0528377e-15
-30.5,2.8426424e-15
-31,2.7057407e-15
-31.5,2.6095711e-15
-32,2.5119695e-15
-32.5,2.3762791e-15
-33,2.3134815e-15
-33.5,2.2591471e-15
-34,2.1891944e-15
-34.5,2.0744422e-15
-35,1.9986171e-15
-35.5,1.9712449e-15
-36,1.8937291e-15
-36.5,1.8272368e-15
-37,1.8155199e-15
-37.5,1.710454e-15
-38,1.7216584e-15
-38.5,1.6896932e-15
-39,1.6119973e-15
-39.5,1.6534945e-15
-40,1.5974663e-15
-40.5,1.5611918e-15
-41,1.5294751e-15
-41.5,1.502204e-15
-42,1.4786621e-15
-42.5,1.4364405e-15
-43,1.4230948e-15
-43.5,1.4095806e-15
-44,1.3836891e-15
-44.5,1.3585815e-15
-45,1.3469324e-15
-45.5,1.3267241e-15
-46,1.3049296e-15
-46.5,1.2879118e-15
-47,1.2680708e-15
-47.5,1.2844123e-15
-48,1.2624445e-15
-48.5,1.2521779e-15
-49,1.2348072e-15
-49.5,1.2106403e-15
-50,1.1949845e-15

