Ntop TotalCurrent(n218_des) X,Ntop TotalCurrent(n218_des) Y
0,-2.5801898e-17
0,-4.9146214e-19
0,1.3505822e-15
0,2.0125262e-15
0,2.5385339e-15
0,3.0025575e-15
0,3.4280809e-15
0,3.8270521e-15
0,4.2071248e-15
0,4.5667211e-15
0,4.9134628e-15
0,5.248686e-15
0,5.2484156e-15
-0.5,6.7933242e-15
-1,8.0783229e-15
-1.5,9.1798706e-15
-2,1.0116988e-14
-2.5,1.0844376e-14
-3,1.1408716e-14
-3.5,1.1877412e-14
-4,1.2246289e-14
-4.5,1.25249e-14
-5,1.2751054e-14
-5.5,1.2918878e-14
-6,1.3029207e-14
-6.5,1.3121507e-14
-7,1.3178552e-14
-7.5,1.3236453e-14
-8,1.3311395e-14
-8.5,1.3318654e-14
-9,1.3363255e-14
-9.5,1.337784e-14
-10,1.340284e-14
-10.5,1.3431712e-14
-11,1.3463768e-14
-11.5,1.34827e-14
-12,1.3500612e-14
-12.5,1.3501339e-14
-13,1.354093e-14
-13.5,1.352296e-14
-14,1.354578e-14
-14.5,1.354746e-14
-15,1.3588098e-14
-15.5,1.3614091e-14
-16,1.3608764e-14
-16.5,1.360194e-14
-17,1.3618318e-14
-17.5,1.3550318e-14
-18,1.3501395e-14
-18.5,1.342955e-14
-19,1.318927e-14
-19.5,1.2800938e-14
-20,1.2142018e-14
-20.5,1.1241443e-14
-21,1.0294316e-14
-21.5,9.2700593e-15
-22,8.3720193e-15
-22.5,7.5878722e-15
-23,6.8756874e-15
-23.5,6.3549666e-15
-24,5.8196073e-15
-24.5,5.3734186e-15
-25,4.9978551e-15
-25.5,4.5962752e-15
-26,4.2891877e-15
-26.5,3.9835144e-15
-27,3.7539448e-15
-27.5,3.4704481e-15
-28,3.2596886e-15
-28.5,2.9539283e-15
-29,2.8222054e-15
-29.5,2.7041971e-15
-30,2.5931027e-15
-30.5,2.4566557e-15
-31,2.3471549e-15
-31.5,2.239025e-15
-32,2.1735197e-15
-32.5,2.1026944e-15
-33,2.0322665e-15
-33.5,1.9346212e-15
-34,1.8681857e-15
-34.5,1.7964721e-15
-35,1.7459782e-15
-35.5,1.7073345e-15
-36,1.6318646e-15
-36.5,1.624593e-15
-37,1.5679594e-15
-37.5,1.4951296e-15
-38,1.4982201e-15
-38.5,1.4756111e-15
-39,1.439673e-15
-39.5,1.3658565e-15
-40,1.3745485e-15
-40.5,1.337115e-15
-41,1.3391156e-15
-41.5,1.3038679e-15
-42,1.2430652e-15
-42.5,1.22861e-15
-43,1.2251063e-15
-43.5,1.2164774e-15
-44,1.204038e-15
-44.5,1.1921526e-15
-45,1.1799628e-15
-45.5,1.1453119e-15
-46,1.148608e-15
-46.5,1.1034993e-15
-47,1.0983361e-15
-47.5,1.0807381e-15
-48,1.0606911e-15
-48.5,1.0827036e-15
-49,1.0290683e-15
-49.5,1.0461875e-15
-50,1.0389974e-15

