Ntop TotalCurrent(iv_2.0_100) X,Ntop TotalCurrent(iv_2.0_100) Y
0,-2.5718271e-17
0,2.3825766e-19
0,1.6449652e-15
0,2.3816889e-15
0,2.9586295e-15
0,3.50698e-15
0,4.0450422e-15
0,4.5330845e-15
0,4.97314e-15
0,5.3865473e-15
0,5.78178e-15
0,6.1586756e-15
0,6.1592346e-15
-0.5,7.7051581e-15
-1,8.988932e-15
-1.5,1.0094868e-14
-2,1.1035823e-14
-2.5,1.1767931e-14
-3,1.2336163e-14
-3.5,1.2806679e-14
-4,1.3186534e-14
-4.5,1.346297e-14
-5,1.3694775e-14
-5.5,1.3852494e-14
-6,1.3954545e-14
-6.5,1.4054776e-14
-7,1.4116674e-14
-7.5,1.4156232e-14
-8,1.4215761e-14
-8.5,1.4245792e-14
-9,1.4273285e-14
-9.5,1.4305514e-14
-10,1.4328781e-14
-10.5,1.4345805e-14
-11,1.4387802e-14
-11.5,1.4396697e-14
-12,1.4416737e-14
-12.5,1.4418048e-14
-13,1.4454099e-14
-13.5,1.4420471e-14
-14,1.4470246e-14
-14.5,1.4493955e-14
-15,1.4482655e-14
-15.5,1.4513304e-14
-16,1.4509552e-14
-16.5,1.4534271e-14
-17,1.4475543e-14
-17.5,1.4470891e-14
-18,1.4397727e-14
-18.5,1.4281183e-14
-19,1.4022007e-14
-19.5,1.3560747e-14
-20,1.2840185e-14
-20.5,1.1950847e-14
-21,1.0903064e-14
-21.5,9.9472219e-15
-22,9.0837431e-15
-22.5,8.2906639e-15
-23,7.5888582e-15
-23.5,7.0527051e-15
-24,6.5608837e-15
-24.5,6.1698634e-15
-25,5.7626912e-15
-25.5,5.4125278e-15
-26,5.1063034e-15
-26.5,4.8306915e-15
-27,4.5252604e-15
-27.5,4.3287338e-15
-28,4.1303164e-15
-28.5,3.8214046e-15
-29,3.6618675e-15
-29.5,3.5791807e-15
-30,3.464853e-15
-30.5,3.307974e-15
-31,3.2150912e-15
-31.5,3.1262525e-15
-32,3.0446101e-15
-32.5,2.9755718e-15
-33,2.8549487e-15
-33.5,2.8217637e-15
-34,2.7575531e-15
-34.5,2.6560117e-15
-35,2.6255438e-15
-35.5,2.5793356e-15
-36,2.5408782e-15
-36.5,2.4820008e-15
-37,2.4362636e-15
-37.5,2.4151945e-15
-38,2.3678401e-15
-38.5,2.3224555e-15
-39,2.2779645e-15
-39.5,2.2785759e-15
-40,2.2524567e-15
-40.5,2.1928402e-15
-41,2.1949985e-15
-41.5,2.1969042e-15
-42,2.1670776e-15
-42.5,2.160163e-15
-43,2.1510637e-15
-43.5,2.0894494e-15
-44,2.0730094e-15
-44.5,2.075838e-15
-45,2.058315e-15
-45.5,2.0369451e-15
-46,2.0028452e-15
-46.5,1.9905924e-15
-47,2.0147919e-15
-47.5,1.9979724e-15
-48,1.9728191e-15
-48.5,1.9646516e-15
-49,1.9532917e-15
-49.5,1.9298881e-15
-50,1.9181647e-15

