Ntop TotalCurrent(iv_0.5_1000) X,Ntop TotalCurrent(iv_0.5_1000) Y
0,-2.5792755e-17
0,1.2591444e-19
0,3.3826875e-15
0,5.0110805e-15
0,6.7837245e-15
0,8.9691412e-15
0,1.0912193e-14
0,1.2099514e-14
0,1.2857014e-14
0,1.3455205e-14
0,1.3997434e-14
0,1.4527531e-14
0,1.4525746e-14
-0.5,1.6072931e-14
-1,1.7355472e-14
-1.5,1.8462053e-14
-2,1.9402455e-14
-2.5,2.0136093e-14
-3,2.070735e-14
-3.5,2.1193274e-14
-4,2.1567844e-14
-4.5,2.1861535e-14
-5,2.2084302e-14
-5.5,2.2245055e-14
-6,2.2350384e-14
-6.5,2.243527e-14
-7,2.2473669e-14
-7.5,2.2555553e-14
-8,2.2601604e-14
-8.5,2.2624249e-14
-9,2.266326e-14
-9.5,2.2703278e-14
-10,2.2707113e-14
-10.5,2.2739852e-14
-11,2.2752182e-14
-11.5,2.2797801e-14
-12,2.2799496e-14
-12.5,2.2823188e-14
-13,2.2840943e-14
-13.5,2.288443e-14
-14,2.2857925e-14
-14.5,2.290843e-14
-15,2.2863193e-14
-15.5,2.2906065e-14
-16,2.2910199e-14
-16.5,2.2894385e-14
-17,2.2851799e-14
-17.5,2.2814993e-14
-18,2.2681805e-14
-18.5,2.245474e-14
-19,2.2002552e-14
-19.5,2.130197e-14
-20,2.0377884e-14
-20.5,1.9244446e-14
-21,1.8211781e-14
-21.5,1.724126e-14
-22,1.6408638e-14
-22.5,1.5701699e-14
-23,1.5083532e-14
-23.5,1.4541388e-14
-24,1.4105631e-14
-24.5,1.3659776e-14
-25,1.3340668e-14
-25.5,1.2997809e-14
-26,1.2722776e-14
-26.5,1.2504356e-14
-27,1.2233297e-14
-27.5,1.2045704e-14
-28,1.1738733e-14
-28.5,1.1629663e-14
-29,1.1515978e-14
-29.5,1.1434979e-14
-30,1.1332e-14
-30.5,1.121345e-14
-31,1.1138342e-14
-31.5,1.1057293e-14
-32,1.1001682e-14
-32.5,1.0935232e-14
-33,1.0854128e-14
-33.5,1.0831862e-14
-34,1.0786202e-14
-34.5,1.0678379e-14
-35,1.0692893e-14
-35.5,1.0614201e-14
-36,1.0553198e-14
-36.5,1.0547022e-14
-37,1.0510459e-14
-37.5,1.0485387e-14
-38,1.0465028e-14
-38.5,1.0426164e-14
-39,1.0435676e-14
-39.5,1.0388601e-14
-40,1.0358168e-14
-40.5,1.0346529e-14
-41,1.0328337e-14
-41.5,1.0305904e-14
-42,1.0285382e-14
-42.5,1.0254549e-14
-43,1.0219508e-14
-43.5,1.023145e-14
-44,1.0238791e-14
-44.5,1.0195674e-14
-45,1.020859e-14
-45.5,1.0185084e-14
-46,1.0164368e-14
-46.5,1.0166329e-14
-47,1.012361e-14
-47.5,1.0109167e-14
-48,1.0101942e-14
-48.5,1.0092738e-14
-49,1.0082643e-14
-49.5,1.0120754e-14
-50,1.009652e-14

