Ntop TotalCurrent(iv_4.25_8) X,Ntop TotalCurrent(iv_4.25_8) Y
0,-4.5601758e-18
0,-6.4467652e-20
0,1.4906372e-16
0,2.1378202e-16
0,2.6644094e-16
0,3.1317605e-16
0,3.5376832e-16
0,3.9587892e-16
0,4.3326921e-16
0,4.7019152e-16
0,5.0400178e-16
0,5.3829422e-16
0,5.3730367e-16
-0.5,6.9043514e-16
-1,8.1921728e-16
-1.5,9.3123677e-16
-2,1.0227141e-15
-2.5,1.0952397e-15
-3,1.1543023e-15
-3.5,1.2053262e-15
-4,1.2334554e-15
-4.5,1.2805705e-15
-5,1.2897098e-15
-5.5,1.3013679e-15
-6,1.3132406e-15
-6.5,1.3293293e-15
-7,1.3205629e-15
-7.5,1.3343148e-15
-8,1.3349982e-15
-8.5,1.3407623e-15
-9,1.3486936e-15
-9.5,1.3508354e-15
-10,1.3446029e-15
-10.5,1.3427877e-15
-11,1.364838e-15
-11.5,1.3549061e-15
-12,1.3659352e-15
-12.5,1.3551355e-15
-13,1.3363044e-15
-13.5,1.3988823e-15
-14,1.3421848e-15
-14.5,1.3399276e-15
-15,1.3806402e-15
-15.5,1.3512493e-15
-16,1.3413925e-15
-16.5,1.3829226e-15
-17,1.3950148e-15
-17.5,1.3613787e-15
-18,1.3984957e-15
-18.5,1.3587925e-15
-19,1.3406003e-15
-19.5,1.3088846e-15
-20,1.2276508e-15
-20.5,1.1972954e-15
-21,1.0855083e-15
-21.5,1.0075692e-15
-22,8.8686727e-16
-22.5,7.7659898e-16
-23,7.5612162e-16
-23.5,6.6296072e-16
-24,6.2108028e-16
-24.5,6.1715986e-16
-25,5.6475192e-16
-25.5,5.3166105e-16
-26,4.9123643e-16
-26.5,4.1286251e-16
-27,3.9835085e-16
-27.5,4.1397118e-16
-28,3.6389615e-16
-28.5,3.727576e-16
-29,2.4572464e-16
-29.5,2.8307726e-16
-30,2.1721661e-16
-30.5,2.6383139e-16
-31,2.9580737e-16
-31.5,2.3930081e-16
-32,2.1262999e-16
-32.5,1.9445512e-16
-33,2.3913309e-16
-33.5,2.0803157e-16
-34,2.2264729e-16
-34.5,1.9483125e-16
-35,2.8176208e-16
-35.5,1.3689593e-16
-36,2.046528e-16
-36.5,2.0350034e-16
-37,1.7785086e-16
-37.5,2.1710211e-16
-38,2.2270585e-16
-38.5,2.1233309e-16
-39,1.2807009e-16
-39.5,1.8476174e-16
-40,1.8572936e-16
-40.5,1.8576762e-16
-41,1.5435007e-16
-41.5,1.7229294e-16
-42,1.4340804e-16
-42.5,1.4506134e-16
-43,1.7700617e-16
-43.5,1.6515011e-16
-44,1.4394726e-16
-44.5,1.614207e-16
-45,1.6832898e-16
-45.5,1.4007504e-16
-46,1.3069003e-16
-46.5,1.2440177e-16
-47,1.5712048e-16
-47.5,1.3849346e-16
-48,1.2122898e-16
-48.5,1.3096852e-16
-49,1.3293275e-16
-49.5,1.3040761e-16
-50,1.3563711e-16

