Ntop TotalCurrent(iv_2.0_8) X,Ntop TotalCurrent(iv_2.0_8) Y
0,-4.3086452e-18
0,-7.4857814e-19
0,1.4958729e-16
0,2.1364086e-16
0,2.6697173e-16
0,3.1426475e-16
0,3.544055e-16
0,3.9552961e-16
0,4.3359678e-16
0,4.7081313e-16
0,5.0500499e-16
0,5.3849838e-16
0,5.3834091e-16
-0.5,6.8837442e-16
-1,8.2077103e-16
-1.5,9.3101208e-16
-2,1.025481e-15
-2.5,1.0952136e-15
-3,1.1581405e-15
-3.5,1.2025545e-15
-4,1.2398866e-15
-4.5,1.276055e-15
-5,1.2919466e-15
-5.5,1.3199221e-15
-6,1.3158604e-15
-6.5,1.3258579e-15
-7,1.3319657e-15
-7.5,1.3398105e-15
-8,1.3630429e-15
-8.5,1.3533822e-15
-9,1.3504748e-15
-9.5,1.3486897e-15
-10,1.3516781e-15
-10.5,1.3498762e-15
-11,1.3484962e-15
-11.5,1.3680649e-15
-12,1.358878e-15
-12.5,1.3664918e-15
-13,1.359662e-15
-13.5,1.321531e-15
-14,1.3985955e-15
-14.5,1.3748349e-15
-15,1.3748114e-15
-15.5,1.359939e-15
-16,1.3627143e-15
-16.5,1.3749101e-15
-17,1.3863222e-15
-17.5,1.4144155e-15
-18,1.3533195e-15
-18.5,1.3215207e-15
-19,1.3101903e-15
-19.5,1.2340518e-15
-20,1.1839516e-15
-20.5,1.1260184e-15
-21,1.0269421e-15
-21.5,9.1624397e-16
-22,8.0986516e-16
-22.5,7.39886e-16
-23,7.1018684e-16
-23.5,6.2665261e-16
-24,5.7289593e-16
-24.5,5.5222547e-16
-25,4.8154425e-16
-25.5,4.5562344e-16
-26,4.4256431e-16
-26.5,3.7988e-16
-27,3.584322e-16
-27.5,3.140652e-16
-28,3.1630806e-16
-28.5,1.8948613e-16
-29,2.4212051e-16
-29.5,2.5557928e-16
-30,2.0182541e-16
-30.5,2.2629784e-16
-31,1.8578919e-16
-31.5,2.2433623e-16
-32,2.3629028e-16
-32.5,2.5620258e-16
-33,2.2589644e-16
-33.5,1.8648098e-16
-34,2.128332e-16
-34.5,2.1317031e-16
-35,1.9812152e-16
-35.5,1.9479229e-16
-36,1.7020792e-16
-36.5,1.7999231e-16
-37,1.8464574e-16
-37.5,1.2282937e-16
-38,1.6555146e-16
-38.5,1.3887272e-16
-39,2.0544228e-16
-39.5,1.8096784e-16
-40,1.5750789e-16
-40.5,1.3435849e-16
-41,1.3314784e-16
-41.5,1.7465553e-16
-42,1.4179649e-16
-42.5,1.4874776e-16
-43,1.0353271e-16
-43.5,1.2735872e-16
-44,1.5313931e-16
-44.5,1.2453363e-16
-45,1.3925672e-16
-45.5,1.1760793e-16
-46,1.4691001e-16
-46.5,1.3357144e-16
-47,1.2664465e-16
-47.5,1.4017262e-16
-48,1.4054696e-16
-48.5,1.2857417e-16
-49,1.3104906e-16
-49.5,1.3124396e-16
-50,1.0419721e-16

