c(Ntop:Ntop)(cv_ac_0.5_7_ac_des) X,c(Ntop:Ntop)(cv_ac_0.5_7_ac_des) Y
-0.05,1.1828661e-15
-0.14555556,1.1787245e-15
-0.32817284,1.1720004e-15
-0.67717476,1.1620711e-15
-1.1771748,1.1513551e-15
-1.6771748,1.1416901e-15
-2.1771748,1.129221e-15
-2.6771748,1.1092483e-15
-3.1771748,1.0796941e-15
-3.6771748,1.0451474e-15
-4.1771748,1.0134029e-15
-4.6771748,9.8753041e-16
-5.1771748,9.6637642e-16
-5.6771748,9.4818863e-16
-6.1771748,9.3179369e-16
-6.6771748,9.1652211e-16
-7.1771748,9.0199377e-16
-7.6771748,8.8798152e-16
-8.1771748,8.7433852e-16
-8.6771748,8.6095874e-16
-9.1771748,8.4775306e-16
-9.6771748,8.3463189e-16
-10.177175,8.2149006e-16
-10.677175,8.0819183e-16
-11.177175,7.9455529e-16
-11.677175,7.8033867e-16
-12.177175,7.6523906e-16
-12.677175,7.4893442e-16
-13.177175,7.3123669e-16
-13.677175,7.124324e-16
-14.177175,6.9368954e-16
-14.677175,6.7692716e-16
-15.177175,6.6372672e-16
-15.677175,6.5435816e-16
-16.177175,6.4804927e-16
-16.677175,6.4380201e-16
-17.177175,6.4083951e-16
-17.677175,6.3866327e-16
-18.177175,6.3697677e-16
-18.677175,6.3560726e-16
-19.177175,6.3445371e-16
-19.677175,6.3345676e-16
-20.177175,6.3258193e-16
-20.677175,6.3180979e-16
-21.177175,6.3112931e-16
-21.677175,6.3053252e-16
-22.177175,6.3001085e-16
-22.677175,6.295539e-16
-23.177175,6.2915036e-16
-23.677175,6.2878967e-16
-24.177175,6.2846303e-16
-24.677175,6.2816364e-16
-25.177175,6.2788644e-16
-25.677175,6.2762764e-16
-26.177175,6.2738444e-16
-26.677175,6.2715465e-16
-27.177175,6.2693658e-16
-27.677175,6.2672886e-16
-28.177175,6.2653037e-16
-28.677175,6.2634017e-16
-29.177175,6.2615747e-16
-29.677175,6.259816e-16
-30.177175,6.2581195e-16
-30.677175,6.2564802e-16
-31.177175,6.2548936e-16
-31.677175,6.2533557e-16
-32.177175,6.2518628e-16
-32.677175,6.250412e-16
-33.177175,6.2490003e-16
-33.677175,6.2476252e-16
-34.177175,6.2462845e-16
-34.677175,6.244976e-16
-35.177175,6.243698e-16
-35.677175,6.2424486e-16
-36.177175,6.2412265e-16
-36.677175,6.2400301e-16
-37.177175,6.2388583e-16
-37.677175,6.2377098e-16
-38.177175,6.2365835e-16
-38.677175,6.2354786e-16
-39.177175,6.2343941e-16
-39.677175,6.2333292e-16
-40.177175,6.2322831e-16
-40.677175,6.2312552e-16
-41.177175,6.2302449e-16
-41.677175,6.2292514e-16
-42.177175,6.2282744e-16
-42.677175,6.2273133e-16
-43.177175,6.2263677e-16
-43.677175,6.2254371e-16
-44.177175,6.2245212e-16
-44.677175,6.2236197e-16
-45.177175,6.2227321e-16
-45.677175,6.2218583e-16
-46.177175,6.2209979e-16
-46.677175,6.2201508e-16
-47.177175,6.2193167e-16
-47.677175,6.2184953e-16
-48.177175,6.2176866e-16
-48.677175,6.2168903e-16
-49.177175,6.2161064e-16
-49.677175,6.2153346e-16
-50,6.2148427e-16

