Ntop TotalCurrent(iv_4.25_9) X,Ntop TotalCurrent(iv_4.25_9) Y
0,-4.578535e-18
0,-2.3672856e-19
0,1.5010085e-16
0,2.1567116e-16
0,2.6813104e-16
0,3.1508155e-16
0,3.5739288e-16
0,3.9712294e-16
0,4.3613032e-16
0,4.7212984e-16
0,5.0642261e-16
0,5.4151293e-16
0,5.4124726e-16
-0.5,6.9282023e-16
-1,8.2423722e-16
-1.5,9.3842954e-16
-2,1.0268593e-15
-2.5,1.1029905e-15
-3,1.163443e-15
-3.5,1.2214143e-15
-4,1.2530613e-15
-4.5,1.2800364e-15
-5,1.3115362e-15
-5.5,1.3250799e-15
-6,1.323058e-15
-6.5,1.3354761e-15
-7,1.3437262e-15
-7.5,1.3358269e-15
-8,1.333391e-15
-8.5,1.33952e-15
-9,1.3402058e-15
-9.5,1.3585128e-15
-10,1.3554352e-15
-10.5,1.3766812e-15
-11,1.3561963e-15
-11.5,1.3760752e-15
-12,1.3639097e-15
-12.5,1.3704614e-15
-13,1.3695178e-15
-13.5,1.3549189e-15
-14,1.3577035e-15
-14.5,1.3691136e-15
-15,1.4047151e-15
-15.5,1.3471265e-15
-16,1.3912199e-15
-16.5,1.3579916e-15
-17,1.3976039e-15
-17.5,1.3743145e-15
-18,1.3460908e-15
-18.5,1.3111625e-15
-19,1.2790573e-15
-19.5,1.2212435e-15
-20,1.0856339e-15
-20.5,9.9663382e-16
-21,8.6353477e-16
-21.5,8.0472875e-16
-22,7.0307407e-16
-22.5,6.0902628e-16
-23,5.7351882e-16
-23.5,5.1140004e-16
-24,4.8228604e-16
-24.5,4.3714313e-16
-25,3.8547447e-16
-25.5,3.5907756e-16
-26,3.0973215e-16
-26.5,2.8914661e-16
-27,2.7718881e-16
-27.5,3.3629232e-16
-28,1.4443941e-16
-28.5,1.5616522e-16
-29,1.3352526e-16
-29.5,1.6266719e-16
-30,1.8137897e-16
-30.5,2.0844713e-16
-31,1.8212521e-16
-31.5,1.4834452e-16
-32,2.0009721e-16
-32.5,1.4578303e-16
-33,2.0517082e-16
-33.5,1.5124765e-16
-34,1.7517432e-16
-34.5,1.5596391e-16
-35,1.6692701e-16
-35.5,1.7021049e-16
-36,1.4585314e-16
-36.5,1.5017012e-16
-37,1.7452116e-16
-37.5,1.0356916e-16
-38,1.3693843e-16
-38.5,1.4757064e-16
-39,1.4259164e-16
-39.5,1.5372363e-16
-40,1.6427174e-16
-40.5,1.4683677e-16
-41,1.3700006e-16
-41.5,8.0913264e-17
-42,1.2709331e-16
-42.5,1.2493667e-16
-43,9.6321686e-17
-43.5,9.9082477e-17
-44,1.050653e-16
-44.5,1.4778584e-16
-45,1.0859297e-16
-45.5,1.2566517e-16
-46,9.4743551e-17
-46.5,9.2943647e-17
-47,1.0903279e-16
-47.5,1.2881173e-16
-48,9.6021926e-17
-48.5,1.0293032e-16
-49,8.8733607e-17
-49.5,1.1479187e-16
-50,1.0786093e-16

