c(Ntop:Ntop)(cv_ac_0.5_8_ac_des) X,c(Ntop:Ntop)(cv_ac_0.5_8_ac_des) Y
-0.05,1.1773782e-15
-0.14555556,1.1732316e-15
-0.32817284,1.1664926e-15
-0.67717476,1.156498e-15
-1.1771748,1.1454731e-15
-1.6771748,1.1347928e-15
-2.1771748,1.1195482e-15
-2.6771748,1.0936418e-15
-3.1771748,1.0555876e-15
-3.6771748,1.0142562e-15
-4.1771748,9.7976764e-16
-4.6771748,9.5350627e-16
-5.1771748,9.3275126e-16
-5.6771748,9.1520738e-16
-6.1771748,8.9956181e-16
-6.6771748,8.8509577e-16
-7.1771748,8.7138796e-16
-7.6771748,8.5816154e-16
-8.1771748,8.4520774e-16
-8.6771748,8.3234331e-16
-9.1771748,8.1938154e-16
-9.6771748,8.0610738e-16
-10.177175,7.9225371e-16
-10.677175,7.7748323e-16
-11.177175,7.6139752e-16
-11.677175,7.4363453e-16
-12.177175,7.2416975e-16
-12.677175,7.0385856e-16
-13.177175,6.8472584e-16
-13.677175,6.690504e-16
-14.177175,6.5778376e-16
-14.677175,6.5030647e-16
-15.177175,6.4542921e-16
-15.677175,6.4215077e-16
-16.177175,6.3982313e-16
-16.677175,6.3806753e-16
-17.177175,6.3666876e-16
-17.677175,6.3550361e-16
-18.177175,6.345e-16
-18.677175,6.3361492e-16
-19.177175,6.328228e-16
-19.677175,6.3210913e-16
-20.177175,6.3146673e-16
-20.677175,6.3089255e-16
-21.177175,6.3038455e-16
-21.677175,6.29939e-16
-22.177175,6.2954938e-16
-22.677175,6.2920719e-16
-23.177175,6.2890366e-16
-23.677175,6.2863109e-16
-24.177175,6.2838332e-16
-24.677175,6.2815566e-16
-25.177175,6.2794462e-16
-25.677175,6.277476e-16
-26.177175,6.2756259e-16
-26.677175,6.2738801e-16
-27.177175,6.2722262e-16
-27.677175,6.2706538e-16
-28.177175,6.2691544e-16
-28.677175,6.2677207e-16
-29.177175,6.2663464e-16
-29.677175,6.2650261e-16
-30.177175,6.2637551e-16
-30.677175,6.2625292e-16
-31.177175,6.2613446e-16
-31.677175,6.2601981e-16
-32.177175,6.2590867e-16
-32.677175,6.2580079e-16
-33.177175,6.2569592e-16
-33.677175,6.2559385e-16
-34.177175,6.2549439e-16
-34.677175,6.2539736e-16
-35.177175,6.2530261e-16
-35.677175,6.2521e-16
-36.177175,6.2511939e-16
-36.677175,6.2503067e-16
-37.177175,6.2494372e-16
-37.677175,6.2485846e-16
-38.177175,6.2477479e-16
-38.677175,6.2469262e-16
-39.177175,6.2461189e-16
-39.677175,6.2453253e-16
-40.177175,6.2445447e-16
-40.677175,6.2437765e-16
-41.177175,6.2430202e-16
-41.677175,6.2422753e-16
-42.177175,6.2415414e-16
-42.677175,6.240818e-16
-43.177175,6.2401048e-16
-43.677175,6.2394013e-16
-44.177175,6.2387074e-16
-44.677175,6.2380226e-16
-45.177175,6.2373466e-16
-45.677175,6.2366793e-16
-46.177175,6.2360203e-16
-46.677175,6.2353695e-16
-47.177175,6.2347266e-16
-47.677175,6.2340915e-16
-48.177175,6.2334638e-16
-48.677175,6.2328436e-16
-49.177175,6.2322306e-16
-49.677175,6.2316246e-16
-50,6.2312371e-16

