Ntop TotalCurrent(iv_0.5_10) X,Ntop TotalCurrent(iv_0.5_10) Y
0,-4.492312e-18
0,-5.764534e-19
0,1.4912108e-16
0,2.1416937e-16
0,2.6653657e-16
0,3.1419949e-16
0,3.5842021e-16
0,3.979153e-16
0,4.3564869e-16
0,4.7303655e-16
0,5.0801471e-16
0,5.4157809e-16
0,5.4230258e-16
-0.5,6.9387193e-16
-1,8.238088e-16
-1.5,9.3424094e-16
-2,1.0316567e-15
-2.5,1.1089947e-15
-3,1.1749228e-15
-3.5,1.2184708e-15
-4,1.2620999e-15
-4.5,1.2955682e-15
-5,1.3084247e-15
-5.5,1.3311585e-15
-6,1.3382918e-15
-6.5,1.342594e-15
-7,1.3646612e-15
-7.5,1.3350104e-15
-8,1.3570707e-15
-8.5,1.3670025e-15
-9,1.3580068e-15
-9.5,1.3741728e-15
-10,1.3629911e-15
-10.5,1.3807819e-15
-11,1.3593741e-15
-11.5,1.3764896e-15
-12,1.3835854e-15
-12.5,1.3731562e-15
-13,1.3313303e-15
-13.5,1.3886683e-15
-14,1.3863666e-15
-14.5,1.3675531e-15
-15,1.3762858e-15
-15.5,1.358308e-15
-16,1.3616884e-15
-16.5,1.3726194e-15
-17,1.3660803e-15
-17.5,1.3607555e-15
-18,1.2638568e-15
-18.5,1.2069602e-15
-19,1.1248063e-15
-19.5,1.0105589e-15
-20,8.6856816e-16
-20.5,7.5651078e-16
-21,6.4244381e-16
-21.5,5.2322497e-16
-22,4.4581849e-16
-22.5,3.8963151e-16
-23,3.7826221e-16
-23.5,3.1365101e-16
-24,2.9906535e-16
-24.5,2.7134628e-16
-25,2.4087265e-16
-25.5,2.0438142e-16
-26,2.2252628e-16
-26.5,1.8645128e-16
-27,2.2475961e-17
-27.5,7.4933876e-17
-28,1.3241069e-17
-28.5,1.02269e-16
-29,1.2051227e-16
-29.5,1.2568385e-16
-30,1.4686984e-16
-30.5,1.4453273e-16
-31,1.1739921e-16
-31.5,1.2813257e-16
-32,1.5052425e-16
-32.5,9.6572056e-17
-33,5.5060713e-17
-33.5,1.0025462e-16
-34,1.0275175e-16
-34.5,9.1170545e-17
-35,9.7250361e-17
-35.5,1.0352552e-16
-36,7.0414111e-17
-36.5,1.0681156e-16
-37,6.0784459e-17
-37.5,6.2984339e-17
-38,9.4207795e-17
-38.5,7.66676e-17
-39,8.5830184e-17
-39.5,6.6663747e-17
-40,6.395625e-17
-40.5,6.210158e-17
-41,1.0383159e-16
-41.5,6.742751e-17
-42,8.6717688e-17
-42.5,7.3544817e-17
-43,6.2450991e-17
-43.5,6.3612992e-17
-44,8.2001435e-17
-44.5,7.9393867e-17
-45,6.7973401e-17
-45.5,7.4377805e-17
-46,3.5608699e-17
-46.5,6.8983361e-17
-47,6.4974344e-17
-47.5,5.7934966e-17
-48,7.5243879e-17
-48.5,7.0646744e-17
-49,7.1977904e-17
-49.5,7.3509185e-17
-50,5.8129099e-17

