c(Ntop:Ntop)(cv_n192_ac_des) X,c(Ntop:Ntop)(cv_n192_ac_des) Y
-0.05,9.3762743e-16
-0.14555556,9.3348127e-16
-0.32817284,9.2674354e-16
-0.67717476,9.1675481e-16
-1.1771748,9.0575791e-16
-1.6771748,8.9517053e-16
-2.1771748,8.8018512e-16
-2.6771748,8.5485667e-16
-3.1771748,8.1771482e-16
-3.6771748,7.7733757e-16
-4.1771748,7.4366098e-16
-4.6771748,7.181554e-16
-5.1771748,6.9818418e-16
-5.6771748,6.8148181e-16
-6.1771748,6.6674635e-16
-6.6771748,6.5326811e-16
-7.1771748,6.4063891e-16
-7.6771748,6.2860227e-16
-8.1771748,6.1698076e-16
-8.6771748,6.0563905e-16
-9.1771748,5.9446301e-16
-9.6771748,5.8334643e-16
-10.177175,5.7218187e-16
-10.677175,5.6085501e-16
-11.177175,5.4924394e-16
-11.677175,5.3722732e-16
-12.177175,5.2470953e-16
-12.677175,5.1167301e-16
-13.177175,4.9826126e-16
-13.677175,4.8486265e-16
-14.177175,4.7210987e-16
-14.677175,4.6070901e-16
-15.177175,4.511585e-16
-15.677175,4.4357546e-16
-16.177175,4.377509e-16
-16.677175,4.3332774e-16
-17.177175,4.2994871e-16
-17.677175,4.2732335e-16
-18.177175,4.2523844e-16
-18.677175,4.2354544e-16
-19.177175,4.2214374e-16
-19.677175,4.2096675e-16
-20.177175,4.199714e-16
-20.677175,4.1913003e-16
-21.177175,4.1842326e-16
-21.677175,4.1783415e-16
-22.177175,4.1734493e-16
-22.677175,4.1693697e-16
-23.177175,4.1659264e-16
-23.677175,4.1629708e-16
-24.177175,4.1603876e-16
-24.677175,4.158092e-16
-25.177175,4.1560231e-16
-25.677175,4.1541373e-16
-26.177175,4.1524026e-16
-26.677175,4.1507955e-16
-27.177175,4.1492977e-16
-27.677175,4.1478951e-16
-28.177175,4.1465764e-16
-28.677175,4.1453321e-16
-29.177175,4.1441547e-16
-29.677175,4.1430374e-16
-30.177175,4.1419747e-16
-30.677175,4.1409616e-16
-31.177175,4.139994e-16
-31.677175,4.1390681e-16
-32.177175,4.1381806e-16
-32.677175,4.1373285e-16
-33.177175,4.1365092e-16
-33.677175,4.1357203e-16
-34.177175,4.1349597e-16
-34.677175,4.1342255e-16
-35.177175,4.133516e-16
-35.677175,4.1328295e-16
-36.177175,4.1321647e-16
-36.677175,4.1315203e-16
-37.177175,4.1308949e-16
-37.677175,4.1302877e-16
-38.177175,4.1296975e-16
-38.677175,4.1291235e-16
-39.177175,4.1285648e-16
-39.677175,4.1280206e-16
-40.177175,4.1274903e-16
-40.677175,4.1269731e-16
-41.177175,4.1264684e-16
-41.677175,4.1259756e-16
-42.177175,4.1254943e-16
-42.677175,4.125024e-16
-43.177175,4.1245641e-16
-43.677175,4.1241142e-16
-44.177175,4.1236739e-16
-44.677175,4.123243e-16
-45.177175,4.1228209e-16
-45.677175,4.1224074e-16
-46.177175,4.1220021e-16
-46.677175,4.1216048e-16
-47.177175,4.1212151e-16
-47.677175,4.1208329e-16
-48.177175,4.1204579e-16
-48.677175,4.1200897e-16
-49.177175,4.1197283e-16
-49.677175,4.1193734e-16
-50,4.1191476e-16

