Ntop TotalCurrent(n258_des) X,Ntop TotalCurrent(n258_des) Y
0,-4.6027548e-18
0,2.0597291e-18
0,1.4821742e-16
0,2.1218126e-16
0,2.6449223e-16
0,3.1061032e-16
0,3.5257357e-16
0,3.9228864e-16
0,4.2889365e-16
0,4.6590977e-16
0,4.9974592e-16
0,5.3223625e-16
0,5.3272671e-16
-0.5,6.8412954e-16
-1,8.1407158e-16
-1.5,9.2564481e-16
-2,1.0178736e-15
-2.5,1.0930797e-15
-3,1.1382076e-15
-3.5,1.1924988e-15
-4,1.2190581e-15
-4.5,1.2509379e-15
-5,1.2778817e-15
-5.5,1.2916774e-15
-6,1.3071852e-15
-6.5,1.3158308e-15
-7,1.3327239e-15
-7.5,1.3359766e-15
-8,1.3292994e-15
-8.5,1.3451532e-15
-9,1.3515672e-15
-9.5,1.3323987e-15
-10,1.3445856e-15
-10.5,1.3544415e-15
-11,1.3698093e-15
-11.5,1.3584517e-15
-12,1.3580892e-15
-12.5,1.3432846e-15
-13,1.3744036e-15
-13.5,1.3273175e-15
-14,1.3403246e-15
-14.5,1.3820782e-15
-15,1.3773038e-15
-15.5,1.3614513e-15
-16,1.3927983e-15
-16.5,1.3473669e-15
-17,1.366257e-15
-17.5,1.381298e-15
-18,1.3806301e-15
-18.5,1.3978732e-15
-19,1.3664811e-15
-19.5,1.3344256e-15
-20,1.3259208e-15
-20.5,1.2704038e-15
-21,1.2044374e-15
-21.5,1.1201254e-15
-22,1.0746572e-15
-22.5,1.00015e-15
-23,8.9782439e-16
-23.5,8.3563394e-16
-24,7.9634414e-16
-24.5,7.3524184e-16
-25,6.9307689e-16
-25.5,6.8663731e-16
-26,6.1430366e-16
-26.5,5.3154504e-16
-27,5.3020835e-16
-27.5,5.1917119e-16
-28,4.5349431e-16
-28.5,5.0326717e-16
-29,4.554693e-16
-29.5,2.6767898e-16
-30,3.1424054e-16
-30.5,3.8235366e-16
-31,2.9155526e-16
-31.5,3.0750161e-16
-32,2.7776838e-16
-32.5,3.1004887e-16
-33,3.1317174e-16
-33.5,2.8586964e-16
-34,2.9931122e-16
-34.5,2.7374856e-16
-35,2.6211237e-16
-35.5,2.7319848e-16
-36,2.540292e-16
-36.5,2.7544144e-16
-37,2.45767e-16
-37.5,2.3608555e-16
-38,2.2444125e-16
-38.5,2.3407275e-16
-39,2.297628e-16
-39.5,2.2434837e-16
-40,2.0452196e-16
-40.5,1.9369259e-16
-41,2.2789157e-16
-41.5,1.8108768e-16
-42,2.4530425e-16
-42.5,1.9817432e-16
-43,1.9063562e-16
-43.5,1.9107403e-16
-44,1.8939366e-16
-44.5,1.9756125e-16
-45,2.1797958e-16
-45.5,1.9704463e-16
-46,1.9085318e-16
-46.5,1.7120035e-16
-47,1.8597345e-16
-47.5,1.7923486e-16
-48,1.8270289e-16
-48.5,1.7577632e-16
-49,1.8332297e-16
-49.5,1.7484852e-16
-50,1.5413943e-16

