Ptop TotalCurrent(iv_0.0_10) X,Ptop TotalCurrent(iv_0.0_10) Y
0,1.0837175e-19
0,1.3570568e-22
0,-1.4543878e-17
0,-2.2124876e-17
0,-2.8630632e-17
0,-3.4593103e-17
0,-4.0224229e-17
0,-4.5657581e-17
0,-5.1017048e-17
0,-5.6426691e-17
0,-6.2044488e-17
0,-6.8139466e-17
0,-6.8139315e-17
-0.5,-6.7498389e-17
-1,-6.7053e-17
-1.5,-6.6791474e-17
-2,-6.6812437e-17
-2.5,-6.7311815e-17
-3,-6.8627227e-17
-3.5,-7.1200063e-17
-4,-7.5181209e-17
-4.5,-7.9682421e-17
-5,-8.2906858e-17
-5.5,-8.4304286e-17
-6,-8.4550899e-17
-6.5,-8.4246055e-17
-7,-8.3693285e-17
-7.5,-8.3016666e-17
-8,-8.2355881e-17
-8.5,-8.1599379e-17
-9,-8.0593009e-17
-9.5,-7.8846778e-17
-10,-7.4635084e-17
-10.5,-6.2057594e-17
-11,-2.0324392e-17
-11.5,1.2292786e-16
-12,6.1065145e-16
-12.5,2.2288023e-15
-13,7.427418e-15
-13.5,2.3564287e-14
-14,7.1913068e-14
-14.5,2.1164516e-13
-15,6.0093691e-13
-15.5,1.6456886e-12
-16,4.3442684e-12
-16.5,1.1045646e-11
-17,2.702139e-11
-17.5,6.3508644e-11
-18,1.4311667e-10
-18.5,3.0837941e-10
-19,6.3310402e-10
-19.5,1.2332808e-9
-20,2.2703564e-9
-20.5,3.9386727e-9
-21,6.4360458e-9
-21.5,9.9290446e-9
-22,1.4529639e-8
-22.5,2.02911e-8
-23,2.721854e-8
-23.5,3.5284717e-8
-24,4.4444322e-8
-24.5,5.4644253e-8
-25,6.5829995e-8
-25.5,7.7949122e-8
-26,9.0952979e-8
-26.5,1.0479727e-7
-27,1.194421e-7
-27.5,1.3485167e-7
-28,1.5099392e-7
-28.5,1.678401e-7
-29,1.8536436e-7
-29.5,2.0354341e-7
-30,2.2235613e-7
-30.5,2.4178334e-7
-31,2.6180754e-7
-31.5,2.8241266e-7
-32,3.0358392e-7
-32.5,3.2530767e-7
-33,3.4757123e-7
-33.5,3.7036278e-7
-34,3.9367129e-7
-34.5,4.1748642e-7
-35,4.4179842e-7
-35.5,4.665981e-7
-36,4.9187676e-7
-36.5,5.1762616e-7
-37,5.4383844e-7
-37.5,5.7050611e-7
-38,5.9762203e-7
-38.5,6.2517935e-7
-39,6.531715e-7
-39.5,6.8159216e-7
-40,7.1043527e-7
-40.5,7.3969496e-7
-41,7.6936557e-7
-41.5,7.9944166e-7
-42,8.2991791e-7
-42.5,8.607892e-7
-43,8.9205057e-7
-43.5,9.2369716e-7
-44,9.557243e-7
-44.5,9.881274e-7
-45,1.020902e-6
-45.5,1.0540438e-6
-46,1.0875486e-6
-46.5,1.1214121e-6
-47,1.1556305e-6
-47.5,1.1901997e-6
-48,1.2251159e-6
-48.5,1.2603753e-6
-49,1.2959742e-6
-49.5,1.3319091e-6
-50,1.3681763e-6

