c(Ntop:Ntop)(cv_ac_1.0_7_ac_des) X,c(Ntop:Ntop)(cv_ac_1.0_7_ac_des) Y
-0.05,9.4078607e-16
-0.14555556,9.3664474e-16
-0.32817284,9.2992152e-16
-0.67717476,9.1999618e-16
-1.1771748,9.092985e-16
-1.6771748,8.9969359e-16
-2.1771748,8.8738734e-16
-2.6771748,8.6777249e-16
-3.1771748,8.3881191e-16
-3.6771748,8.0497409e-16
-4.1771748,7.7391855e-16
-4.6771748,7.4872809e-16
-5.1771748,7.2830148e-16
-5.6771748,7.1091124e-16
-6.1771748,6.9539141e-16
-6.6771748,6.8107448e-16
-7.1771748,6.6758119e-16
-7.6771748,6.5468612e-16
-8.1771748,6.4224675e-16
-8.6771748,6.3016635e-16
-9.1771748,6.1837346e-16
-9.6771748,6.0680915e-16
-10.177175,5.954185e-16
-10.677175,5.8414421e-16
-11.177175,5.7292197e-16
-11.677175,5.6167739e-16
-12.177175,5.5032562e-16
-12.677175,5.387755e-16
-13.177175,5.2694278e-16
-13.677175,5.1477857e-16
-14.177175,5.0231874e-16
-14.677175,4.8974864e-16
-15.177175,4.7744829e-16
-15.677175,4.6595313e-16
-16.177175,4.5579508e-16
-16.677175,4.4730297e-16
-17.177175,4.4051026e-16
-17.677175,4.3521894e-16
-18.177175,4.3113198e-16
-18.677175,4.2795769e-16
-19.177175,4.2545754e-16
-19.677175,4.2345471e-16
-20.177175,4.2182541e-16
-20.677175,4.2048591e-16
-21.177175,4.1937986e-16
-21.677175,4.1846704e-16
-22.177175,4.1771462e-16
-22.677175,4.1709264e-16
-23.177175,4.1657342e-16
-23.677175,4.1613307e-16
-24.177175,4.157525e-16
-24.677175,4.1541739e-16
-25.177175,4.1511738e-16
-25.677175,4.1484505e-16
-26.177175,4.1459506e-16
-26.677175,4.1436349e-16
-27.177175,4.1414743e-16
-27.677175,4.1394464e-16
-28.177175,4.1375338e-16
-28.677175,4.1357224e-16
-29.177175,4.1340009e-16
-29.677175,4.1323598e-16
-30.177175,4.1307913e-16
-30.677175,4.1292888e-16
-31.177175,4.1278464e-16
-31.677175,4.1264594e-16
-32.177175,4.1251233e-16
-32.677175,4.1238344e-16
-33.177175,4.1225895e-16
-33.677175,4.1213856e-16
-34.177175,4.12022e-16
-34.677175,4.1190906e-16
-35.177175,4.1179951e-16
-35.677175,4.1169317e-16
-36.177175,4.1158986e-16
-36.677175,4.1148944e-16
-37.177175,4.1139176e-16
-37.677175,4.1129669e-16
-38.177175,4.1120412e-16
-38.677175,4.1111393e-16
-39.177175,4.1102602e-16
-39.677175,4.1094031e-16
-40.177175,4.108567e-16
-40.677175,4.1077511e-16
-41.177175,4.1069548e-16
-41.677175,4.1061772e-16
-42.177175,4.1054178e-16
-42.677175,4.104676e-16
-43.177175,4.1039511e-16
-43.677175,4.1032427e-16
-44.177175,4.1025501e-16
-44.677175,4.1018731e-16
-45.177175,4.101211e-16
-45.677175,4.1005635e-16
-46.177175,4.0999302e-16
-46.677175,4.0993106e-16
-47.177175,4.0987046e-16
-47.677175,4.0981116e-16
-48.177175,4.0975314e-16
-48.677175,4.0969637e-16
-49.177175,4.0964081e-16
-49.677175,4.0958645e-16
-50,4.0955197e-16

