Ptop TotalCurrent(iv_0.5_9) X,Ptop TotalCurrent(iv_0.5_9) Y
0,6.9747372e-20
0,4.7193395e-21
0,-1.406499e-17
0,-2.1338075e-17
0,-2.7624607e-17
0,-3.348644e-17
0,-3.9048824e-17
0,-4.434424e-17
0,-4.9433618e-17
0,-5.4460187e-17
0,-5.9570732e-17
0,-6.498512e-17
0,-6.4982563e-17
-0.5,-6.4367321e-17
-1,-6.3929191e-17
-1.5,-6.3672854e-17
-2,-6.3659751e-17
-2.5,-6.4035373e-17
-3,-6.5037718e-17
-3.5,-6.6989487e-17
-4,-7.0093526e-17
-4.5,-7.3950055e-17
-5,-7.7236888e-17
-5.5,-7.9024447e-17
-6,-7.9602282e-17
-6.5,-7.9504319e-17
-7,-7.9046431e-17
-7.5,-7.8361697e-17
-8,-7.7514866e-17
-8.5,-7.653376e-17
-9,-7.5420291e-17
-9.5,-7.4071579e-17
-10,-7.2140962e-17
-10.5,-6.8246251e-17
-11,-5.7279238e-17
-11.5,-2.0838982e-17
-12,1.0540491e-16
-12.5,5.3858658e-16
-13,1.9855678e-15
-13.5,6.6652348e-15
-14,2.128795e-14
-14.5,6.5389796e-14
-15,1.9367542e-13
-15.5,5.5332873e-13
-16,1.5243672e-12
-16.5,4.0468777e-12
-17,1.0344376e-11
-17.5,2.5430359e-11
-18,6.0034852e-11
-18.5,1.3581642e-10
-19,2.936148e-10
-19.5,6.0439203e-10
-20,1.179716e-9
-20.5,2.1748597e-9
-21,3.7767512e-9
-21.5,6.1759717e-9
-22,9.5338658e-9
-22.5,1.396041e-8
-23,1.9510114e-8
-23.5,2.6191643e-8
-24,3.3982452e-8
-24.5,4.2842155e-8
-25,5.2722238e-8
-25.5,6.3572186e-8
-26,7.5342929e-8
-26.5,8.7988546e-8
-27,1.0146694e-7
-27.5,1.1573996e-7
-28,1.3077318e-7
-28.5,1.4653561e-7
-29,1.6299933e-7
-29.5,1.8013916e-7
-30,1.9793227e-7
-30.5,2.1635794e-7
-31,2.3539726e-7
-31.5,2.5503293e-7
-32,2.7524905e-7
-32.5,2.9603094e-7
-33,3.1736502e-7
-33.5,3.3923866e-7
-34,3.6164007e-7
-34.5,3.8455824e-7
-35,4.0798282e-7
-35.5,4.3190405e-7
-36,4.5631273e-7
-36.5,4.8120015e-7
-37,5.0655803e-7
-37.5,5.323785e-7
-38,5.5865406e-7
-38.5,5.8537752e-7
-39,6.1254201e-7
-39.5,6.4014094e-7
-40,6.6816797e-7
-40.5,6.9661701e-7
-41,7.2548217e-7
-41.5,7.5475777e-7
-42,7.8443833e-7
-42.5,8.1451854e-7
-43,8.4499324e-7
-43.5,8.7585744e-7
-44,9.071063e-7
-44.5,9.3873508e-7
-45,9.7073922e-7
-45.5,1.0031142e-6
-46,1.0358558e-6
-46.5,1.0689596e-6
-47,1.1024215e-6
-47.5,1.1362376e-6
-48,1.1704037e-6
-48.5,1.2049162e-6
-49,1.2397711e-6
-49.5,1.2749647e-6
-50,1.3104936e-6

