Ntop TotalCurrent(iv_1.0_8) X,Ntop TotalCurrent(iv_1.0_8) Y
0,-4.2818311e-18
0,-6.8825687e-20
0,1.4977147e-16
0,2.1405851e-16
0,2.6717314e-16
0,3.134185e-16
0,3.5734701e-16
0,3.9631711e-16
0,4.3408631e-16
0,4.7051023e-16
0,5.0553546e-16
0,5.3828653e-16
0,5.3909582e-16
-0.5,6.9178033e-16
-1,8.2427353e-16
-1.5,9.2997488e-16
-2,1.0280106e-15
-2.5,1.0993324e-15
-3,1.165044e-15
-3.5,1.2079628e-15
-4,1.2469604e-15
-4.5,1.2768427e-15
-5,1.2926828e-15
-5.5,1.312134e-15
-6,1.3187388e-15
-6.5,1.3179426e-15
-7,1.3255676e-15
-7.5,1.340206e-15
-8,1.3180321e-15
-8.5,1.340652e-15
-9,1.3518249e-15
-9.5,1.362608e-15
-10,1.3577531e-15
-10.5,1.3626189e-15
-11,1.3579271e-15
-11.5,1.3488639e-15
-12,1.3794861e-15
-12.5,1.3604015e-15
-13,1.3826301e-15
-13.5,1.3465891e-15
-14,1.3456078e-15
-14.5,1.3645015e-15
-15,1.3698252e-15
-15.5,1.384656e-15
-16,1.3603998e-15
-16.5,1.3688679e-15
-17,1.3784111e-15
-17.5,1.374912e-15
-18,1.3684113e-15
-18.5,1.3313963e-15
-19,1.283914e-15
-19.5,1.2550806e-15
-20,1.1518142e-15
-20.5,1.0667675e-15
-21,9.5801667e-16
-21.5,8.4537254e-16
-22,7.4724633e-16
-22.5,6.9519939e-16
-23,6.4454293e-16
-23.5,5.8325704e-16
-24,4.9800618e-16
-24.5,4.9779111e-16
-25,4.4101826e-16
-25.5,4.2927624e-16
-26,3.7595195e-16
-26.5,3.8245207e-16
-27,3.0988353e-16
-27.5,2.9893481e-16
-28,2.4743003e-16
-28.5,1.5957209e-16
-29,2.0280342e-16
-29.5,1.9072542e-16
-30,2.0929111e-16
-30.5,2.432753e-16
-31,2.1249295e-16
-31.5,2.114244e-16
-32,2.1841361e-16
-32.5,2.3186386e-16
-33,1.5932548e-16
-33.5,2.0329164e-16
-34,1.5714568e-16
-34.5,1.5223323e-16
-35,1.2861627e-16
-35.5,1.7835801e-16
-36,1.4283552e-16
-36.5,1.2642944e-16
-37,1.3955817e-16
-37.5,1.6968588e-16
-38,1.6171467e-16
-38.5,1.6297986e-16
-39,1.2400844e-16
-39.5,1.350766e-16
-40,1.2213077e-16
-40.5,1.472077e-16
-41,8.4989715e-17
-41.5,1.3899365e-16
-42,1.5416216e-16
-42.5,1.5116742e-16
-43,1.3346259e-16
-43.5,1.2753129e-16
-44,1.243921e-16
-44.5,1.095248e-16
-45,1.1937541e-16
-45.5,1.3327064e-16
-46,1.1638072e-16
-46.5,9.8416313e-17
-47,1.037534e-16
-47.5,1.3776803e-16
-48,1.1040433e-16
-48.5,1.2635629e-16
-49,1.1354038e-16
-49.5,1.147848e-16
-50,1.1893065e-16

