Ptop TotalCurrent(iv_4.25_10) X,Ptop TotalCurrent(iv_4.25_10) Y
0,1.7507477e-19
0,3.9470656e-22
0,-1.4934616e-17
0,-2.2632332e-17
0,-2.9222042e-17
0,-3.5282812e-17
0,-4.0960707e-17
0,-4.6357873e-17
0,-5.1592085e-17
0,-5.6804951e-17
0,-6.2161047e-17
0,-6.7894119e-17
0,-6.7893759e-17
-0.5,-6.7262383e-17
-1,-6.6812891e-17
-1.5,-6.6552958e-17
-2,-6.6566566e-17
-2.5,-6.7035923e-17
-3,-6.8282717e-17
-3.5,-7.0708799e-17
-4,-7.4480992e-17
-4.5,-7.8822805e-17
-5,-8.2026515e-17
-5.5,-8.3446513e-17
-6,-8.3683451e-17
-6.5,-8.3309255e-17
-7,-8.2617584e-17
-7.5,-8.1737011e-17
-8,-8.0725446e-17
-8.5,-7.9607872e-17
-9,-7.8340272e-17
-9.5,-7.6656846e-17
-10,-7.3537032e-17
-10.5,-6.52104e-17
-11,-3.8084436e-17
-11.5,5.5485897e-17
-12,3.7678335e-16
-12.5,1.4525365e-15
-13,4.9419428e-15
-13.5,1.588219e-14
-14,4.900183e-14
-14.5,1.4574644e-13
-15,4.1825248e-13
-15.5,1.1579168e-12
-16,3.0909908e-12
-16.5,7.9503075e-12
-17,1.9683994e-11
-17.5,4.6850474e-11
-18,1.0700409e-10
-18.5,2.3393569e-10
-19,4.8796157e-10
-19.5,9.6728353e-10
-20,1.814733e-9
-20.5,3.211644e-9
-21,5.3544845e-9
-21.5,8.4212156e-9
-22,1.2543194e-8
-22.5,1.7794334e-8
-23,2.4196972e-8
-23.5,3.1736087e-8
-24,4.0374048e-8
-24.5,5.0062065e-8
-25,6.0747705e-8
-25.5,7.2379274e-8
-26,8.4908067e-8
-26.5,9.8289329e-8
-27,1.1248249e-7
-27.5,1.2745103e-7
-28,1.4316214e-7
-28.5,1.5958638e-7
-29,1.7669724e-7
-29.5,1.9447081e-7
-30,2.1288545e-7
-30.5,2.3192149e-7
-31,2.5156098e-7
-31.5,2.7178747e-7
-32,2.9258583e-7
-32.5,3.1394208e-7
-33,3.3584326e-7
-33.5,3.5827732e-7
-34,3.8123297e-7
-34.5,4.0469966e-7
-35,4.2866747e-7
-35.5,4.5312702e-7
-36,4.7806946e-7
-36.5,5.0348639e-7
-37,5.2936983e-7
-37.5,5.5571216e-7
-38,5.8250612e-7
-38.5,6.0974476e-7
-39,6.3742139e-7
-39.5,6.6552963e-7
-40,6.9406329e-7
-40.5,7.2301644e-7
-41,7.5238334e-7
-41.5,7.8215845e-7
-42,8.1233641e-7
-42.5,8.4291201e-7
-43,8.7388022e-7
-43.5,9.0523614e-7
-44,9.3697501e-7
-44.5,9.690922e-7
-45,1.0015832e-6
-45.5,1.0344436e-6
-46,1.0676692e-6
-46.5,1.1012557e-6
-47,1.1351992e-6
-47.5,1.1694955e-6
-48,1.2041407e-6
-48.5,1.2391312e-6
-49,1.2744631e-6
-49.5,1.3101328e-6
-50,1.3461367e-6

