c(Ntop:Ntop)(cv_ac_0.0_7_ac_des) X,c(Ntop:Ntop)(cv_ac_0.0_7_ac_des) Y
-0.05,2.8576387e-15
-0.14555556,2.8534968e-15
-0.32817284,2.846772e-15
-0.67717476,2.8368398e-15
-1.1771748,2.8261098e-15
-1.6771748,2.8163992e-15
-2.1771748,2.8038061e-15
-2.6771748,2.783559e-15
-3.1771748,2.753542e-15
-3.6771748,2.7184204e-15
-4.1771748,2.6860803e-15
-4.6771748,2.6595808e-15
-5.1771748,2.6377272e-15
-5.6771748,2.6187427e-15
-6.1771748,2.6014397e-15
-6.6771748,2.5851362e-15
-7.1771748,2.5694374e-15
-7.6771748,2.5540965e-15
-8.1771748,2.5389377e-15
-8.6771748,2.5238102e-15
-9.1771748,2.5085525e-15
-9.6771748,2.4929577e-15
-10.177175,2.4767284e-15
-10.677175,2.459417e-15
-11.177175,2.4403529e-15
-11.677175,2.4186131e-15
-12.177175,2.3932753e-15
-12.677175,2.3645496e-15
-13.177175,2.3357925e-15
-13.677175,2.3127837e-15
-14.177175,2.298244e-15
-14.677175,2.2902564e-15
-15.177175,2.2859217e-15
-15.677175,2.2833673e-15
-16.177175,2.2816635e-15
-16.677175,2.2803837e-15
-17.177175,2.2793329e-15
-17.677175,2.2784185e-15
-18.177175,2.2775946e-15
-18.677175,2.2768373e-15
-19.177175,2.2761335e-15
-19.677175,2.275477e-15
-20.177175,2.2748651e-15
-20.677175,2.2742982e-15
-21.177175,2.2737772e-15
-21.677175,2.2733022e-15
-22.177175,2.2728713e-15
-22.677175,2.2724801e-15
-23.177175,2.2721231e-15
-23.677175,2.2717948e-15
-24.177175,2.2714904e-15
-24.677175,2.2712058e-15
-25.177175,2.2709381e-15
-25.677175,2.2706847e-15
-26.177175,2.2704436e-15
-26.677175,2.2702134e-15
-27.177175,2.2699927e-15
-27.677175,2.2697805e-15
-28.177175,2.2695759e-15
-28.677175,2.2693781e-15
-29.177175,2.2691866e-15
-29.677175,2.2690007e-15
-30.177175,2.26882e-15
-30.677175,2.268644e-15
-31.177175,2.2684724e-15
-31.677175,2.268305e-15
-32.177175,2.2681413e-15
-32.677175,2.2679812e-15
-33.177175,2.2678244e-15
-33.677175,2.2676707e-15
-34.177175,2.2675201e-15
-34.677175,2.2673722e-15
-35.177175,2.267227e-15
-35.677175,2.2670844e-15
-36.177175,2.2669442e-15
-36.677175,2.2668064e-15
-37.177175,2.2666708e-15
-37.677175,2.2665374e-15
-38.177175,2.2664061e-15
-38.677175,2.2662768e-15
-39.177175,2.2661495e-15
-39.677175,2.2660242e-15
-40.177175,2.2659007e-15
-40.677175,2.265779e-15
-41.177175,2.2656592e-15
-41.677175,2.2655411e-15
-42.177175,2.2654247e-15
-42.677175,2.2653101e-15
-43.177175,2.2651971e-15
-43.677175,2.2650858e-15
-44.177175,2.2649761e-15
-44.677175,2.264868e-15
-45.177175,2.2647616e-15
-45.677175,2.2646567e-15
-46.177175,2.2645533e-15
-46.677175,2.2644516e-15
-47.177175,2.2643513e-15
-47.677175,2.2642526e-15
-48.177175,2.2641554e-15
-48.677175,2.2640598e-15
-49.177175,2.2639656e-15
-49.677175,2.2638729e-15
-50,2.2638139e-15

