Ntop TotalCurrent(iv_2.0_9) X,Ntop TotalCurrent(iv_2.0_9) Y
0,-4.2527075e-18
0,-1.0114869e-18
0,1.4972124e-16
0,2.1557487e-16
0,2.6790899e-16
0,3.1496204e-16
0,3.5686579e-16
0,3.9834623e-16
0,4.3699748e-16
0,4.7290073e-16
0,5.0711147e-16
0,5.4017901e-16
0,5.4024554e-16
-0.5,6.9216212e-16
-1,8.2428184e-16
-1.5,9.3057023e-16
-2,1.0315848e-15
-2.5,1.1044736e-15
-3,1.1607922e-15
-3.5,1.2071593e-15
-4,1.247856e-15
-4.5,1.276985e-15
-5,1.3018174e-15
-5.5,1.3183418e-15
-6,1.3311064e-15
-6.5,1.3404426e-15
-7,1.3487085e-15
-7.5,1.3403146e-15
-8,1.3451711e-15
-8.5,1.3453355e-15
-9,1.3525745e-15
-9.5,1.3556889e-15
-10,1.3582134e-15
-10.5,1.3634382e-15
-11,1.3626401e-15
-11.5,1.3619889e-15
-12,1.365112e-15
-12.5,1.3608968e-15
-13,1.3468692e-15
-13.5,1.3884182e-15
-14,1.3768686e-15
-14.5,1.3634678e-15
-15,1.3517431e-15
-15.5,1.3941687e-15
-16,1.3713825e-15
-16.5,1.3725628e-15
-17,1.3615795e-15
-17.5,1.3575337e-15
-18,1.3323886e-15
-18.5,1.3060419e-15
-19,1.2397256e-15
-19.5,1.1986634e-15
-20,1.0645101e-15
-20.5,9.8427649e-16
-21,8.7969324e-16
-21.5,7.8303198e-16
-22,7.2807734e-16
-22.5,6.4593031e-16
-23,5.5147085e-16
-23.5,5.1401923e-16
-24,4.919056e-16
-24.5,4.2306796e-16
-25,3.4906343e-16
-25.5,3.6055436e-16
-26,3.3391259e-16
-26.5,3.1981248e-16
-27,3.3357454e-16
-27.5,2.3820488e-16
-28,1.2383005e-16
-28.5,1.6115863e-16
-29,1.8000712e-16
-29.5,1.8365769e-16
-30,2.1399117e-16
-30.5,2.0411619e-16
-31,1.6594028e-16
-31.5,1.6312737e-16
-32,1.8266539e-16
-32.5,1.8946289e-16
-33,1.5523647e-16
-33.5,1.7623422e-16
-34,1.3154421e-16
-34.5,1.2455667e-16
-35,1.4590231e-16
-35.5,1.748965e-16
-36,1.2674867e-16
-36.5,1.2035775e-16
-37,1.1833264e-16
-37.5,7.7146598e-17
-38,1.5244133e-16
-38.5,1.337883e-16
-39,1.4402427e-16
-39.5,1.0826043e-16
-40,9.5811184e-17
-40.5,9.4740517e-17
-41,1.2489443e-16
-41.5,1.4410275e-16
-42,1.0763839e-16
-42.5,1.1229764e-16
-43,1.1260546e-16
-43.5,1.2002058e-16
-44,9.7199891e-17
-44.5,1.2274511e-16
-45,7.4551321e-17
-45.5,1.0956236e-16
-46,1.328436e-16
-46.5,1.1439306e-16
-47,1.1120325e-16
-47.5,1.0301958e-16
-48,9.7864471e-17
-48.5,9.6814671e-17
-49,8.6575967e-17
-49.5,8.9858591e-17
-50,1.0796677e-16

