Ntop TotalCurrent(n183_des) X,Ntop TotalCurrent(n183_des) Y
0,-4.2305851e-18
0,1.7833534e-18
0,1.4924377e-16
0,2.1421533e-16
0,2.6694434e-16
0,3.1313179e-16
0,3.5447393e-16
0,3.9587072e-16
0,4.329602e-16
0,4.7018957e-16
0,5.0423973e-16
0,5.3642121e-16
0,5.369624e-16
-0.5,6.8791665e-16
-1,8.1990816e-16
-1.5,9.3561833e-16
-2,1.0239785e-15
-2.5,1.0947751e-15
-3,1.1534049e-15
-3.5,1.1852702e-15
-4,1.2267067e-15
-4.5,1.2623187e-15
-5,1.2829795e-15
-5.5,1.2933458e-15
-6,1.323366e-15
-6.5,1.3060411e-15
-7,1.3271556e-15
-7.5,1.3425932e-15
-8,1.3281391e-15
-8.5,1.3244651e-15
-9,1.3439464e-15
-9.5,1.3578361e-15
-10,1.3399602e-15
-10.5,1.3545976e-15
-11,1.3514498e-15
-11.5,1.339e-15
-12,1.360617e-15
-12.5,1.3626493e-15
-13,1.3397413e-15
-13.5,1.3942081e-15
-14,1.3755339e-15
-14.5,1.3531962e-15
-15,1.3812943e-15
-15.5,1.3510756e-15
-16,1.3516072e-15
-16.5,1.3870487e-15
-17,1.3580627e-15
-17.5,1.3379461e-15
-18,1.3778862e-15
-18.5,1.3581652e-15
-19,1.3687233e-15
-19.5,1.3537584e-15
-20,1.264819e-15
-20.5,1.2014934e-15
-21,1.1308132e-15
-21.5,1.0445321e-15
-22,9.2552168e-16
-22.5,8.3033002e-16
-23,7.6039622e-16
-23.5,7.3139757e-16
-24,6.4499003e-16
-24.5,6.0584171e-16
-25,6.062592e-16
-25.5,5.5458652e-16
-26,5.0684053e-16
-26.5,5.0348296e-16
-27,4.8695403e-16
-27.5,4.7281434e-16
-28,4.1282316e-16
-28.5,3.6919388e-16
-29,2.559315e-16
-29.5,2.9323112e-16
-30,2.8656234e-16
-30.5,2.3854325e-16
-31,2.1638455e-16
-31.5,2.5438092e-16
-32,2.7078223e-16
-32.5,2.6011781e-16
-33,2.8143755e-16
-33.5,2.5365661e-16
-34,2.3718584e-16
-34.5,2.4510349e-16
-35,2.4133237e-16
-35.5,2.7719286e-16
-36,1.7935354e-16
-36.5,2.1493081e-16
-37,2.0982412e-16
-37.5,1.904218e-16
-38,2.406326e-16
-38.5,1.8495221e-16
-39,2.0529e-16
-39.5,1.8097019e-16
-40,1.9611872e-16
-40.5,1.5973401e-16
-41,1.6624196e-16
-41.5,1.9104301e-16
-42,1.5706389e-16
-42.5,1.4901663e-16
-43,1.5511188e-16
-43.5,1.8542099e-16
-44,1.9467635e-16
-44.5,1.3780048e-16
-45,1.1712419e-16
-45.5,1.4921495e-16
-46,1.687821e-16
-46.5,1.6778551e-16
-47,1.7037429e-16
-47.5,1.5208669e-16
-48,1.4264288e-16
-48.5,1.350493e-16
-49,1.3864207e-16
-49.5,1.3715124e-16
-50,1.4602216e-16

