Ptop TotalCurrent(iv_1.0_8) X,Ptop TotalCurrent(iv_1.0_8) Y
0,-3.1928899e-20
0,-6.474139e-21
0,-1.4160911e-17
0,-2.1417156e-17
0,-2.7586055e-17
0,-3.3286338e-17
0,-3.8649207e-17
0,-4.3743901e-17
0,-4.8648898e-17
0,-5.3424225e-17
0,-5.82316e-17
0,-6.3217515e-17
0,-6.3209236e-17
-0.5,-6.2621556e-17
-1,-6.2204819e-17
-1.5,-6.1966035e-17
-2,-6.1925442e-17
-2.5,-6.2183019e-17
-3,-6.2908417e-17
-3.5,-6.4313866e-17
-4,-6.6595896e-17
-4.5,-6.970274e-17
-5,-7.2859313e-17
-5.5,-7.5055423e-17
-6,-7.6130716e-17
-6.5,-7.646402e-17
-7,-7.633255e-17
-7.5,-7.5974778e-17
-8,-7.5411937e-17
-8.5,-7.4720267e-17
-9,-7.3919722e-17
-9.5,-7.29449e-17
-10,-7.1736318e-17
-10.5,-6.988917e-17
-11,-6.6057756e-17
-11.5,-5.5466684e-17
-12,-2.1930719e-17
-12.5,8.886181e-17
-13,4.5513041e-16
-13.5,1.6477756e-15
-14,5.4480803e-15
-14.5,1.724963e-14
-15,5.2852301e-14
-15.5,1.5690361e-13
-16,4.5082973e-13
-16.5,1.2518286e-12
-17,3.354196e-12
-17.5,8.6600926e-12
-18,2.1512509e-11
-18.5,5.1324371e-11
-19,1.1733966e-10
-19.5,2.5632351e-10
-20,5.3304084e-10
-20.5,1.0508243e-9
-21,1.9558063e-9
-21.5,3.4270378e-9
-22,5.6507054e-9
-22.5,8.7881628e-9
-23,1.2953022e-8
-23.5,1.8205394e-8
-24,2.4559998e-8
-24.5,3.1999877e-8
-25,4.0489391e-8
-25.5,4.9983889e-8
-26,6.0435918e-8
-26.5,7.1798814e-8
-27,8.4028533e-8
-27.5,9.7084444e-8
-28,1.1092952e-7
-28.5,1.2553022e-7
-29,1.4085624e-7
-29.5,1.5688017e-7
-30,1.735772e-7
-30.5,1.909248e-7
-31,2.0890243e-7
-31.5,2.2749134e-7
-32,2.4667429e-7
-32.5,2.6643542e-7
-33,2.8676006e-7
-33.5,3.0763462e-7
-34,3.2904641e-7
-34.5,3.5098361e-7
-35,3.7343514e-7
-35.5,3.9639057e-7
-36,4.198401e-7
-36.5,4.4377444e-7
-37,4.6818481e-7
-37.5,4.9306288e-7
-38,5.184007e-7
-38.5,5.4419071e-7
-39,5.7042569e-7
-39.5,5.970987e-7
-40,6.2420312e-7
-40.5,6.5173257e-7
-41,6.7968091e-7
-41.5,7.0804225e-7
-42,7.3681087e-7
-42.5,7.6598129e-7
-43,7.9554816e-7
-43.5,8.2550633e-7
-44,8.5585082e-7
-44.5,8.8657675e-7
-45,9.1767943e-7
-45.5,9.4915426e-7
-46,9.809968e-7
-46.5,1.0132027e-6
-47,1.0457677e-6
-47.5,1.0786878e-6
-48,1.1119587e-6
-48.5,1.1455768e-6
-49,1.179538e-6
-49.5,1.2138387e-6
-50,1.2484751e-6

