Ntop TotalCurrent(iv_1.0_9) X,Ntop TotalCurrent(iv_1.0_9) Y
0,-4.3488928e-18
0,-4.6309484e-19
0,1.4946138e-16
0,2.1471134e-16
0,2.664209e-16
0,3.141265e-16
0,3.5775264e-16
0,3.9775987e-16
0,4.352873e-16
0,4.7132062e-16
0,5.0755199e-16
0,5.3927778e-16
0,5.3968528e-16
-0.5,6.9222151e-16
-1,8.2327329e-16
-1.5,9.3502701e-16
-2,1.0310626e-15
-2.5,1.0993725e-15
-3,1.1580895e-15
-3.5,1.219964e-15
-4,1.2523132e-15
-4.5,1.2802346e-15
-5,1.3050139e-15
-5.5,1.3115952e-15
-6,1.3215191e-15
-6.5,1.3331676e-15
-7,1.3602341e-15
-7.5,1.3418552e-15
-8,1.3641539e-15
-8.5,1.3418047e-15
-9,1.3486942e-15
-9.5,1.3750368e-15
-10,1.3404358e-15
-10.5,1.3697329e-15
-11,1.3617721e-15
-11.5,1.3605032e-15
-12,1.3672065e-15
-12.5,1.3757428e-15
-13,1.3705484e-15
-13.5,1.4132178e-15
-14,1.3793262e-15
-14.5,1.3895345e-15
-15,1.3733966e-15
-15.5,1.4050955e-15
-16,1.3804391e-15
-16.5,1.3695351e-15
-17,1.3657908e-15
-17.5,1.3722152e-15
-18,1.3516363e-15
-18.5,1.3034905e-15
-19,1.236897e-15
-19.5,1.1598706e-15
-20,1.0803277e-15
-20.5,9.4447259e-16
-21,7.9668786e-16
-21.5,7.315542e-16
-22,6.4483029e-16
-22.5,5.9333016e-16
-23,5.1652939e-16
-23.5,4.5136575e-16
-24,4.2111436e-16
-24.5,3.7015454e-16
-25,3.5125682e-16
-25.5,3.5355803e-16
-26,2.8971668e-16
-26.5,3.0725102e-16
-27,2.5139342e-16
-27.5,2.2715689e-16
-28,1.4915885e-16
-28.5,1.0412336e-16
-29,1.2646474e-16
-29.5,1.3027478e-16
-30,2.0109336e-16
-30.5,-5.735403e-14
-31,1.3886064e-16
-31.5,1.7535162e-16
-32,1.3107499e-16
-32.5,1.0886957e-16
-33,1.9318098e-16
-33.5,1.8036452e-16
-34,1.738636e-16
-34.5,1.3369914e-16
-35,1.1452757e-16
-35.5,1.2209663e-16
-36,1.1508292e-16
-36.5,1.3309815e-16
-37,1.3986216e-16
-37.5,9.789087e-17
-38,1.1524522e-16
-38.5,1.1540877e-16
-39,8.0997488e-17
-39.5,1.0343669e-16
-40,1.1827176e-16
-40.5,1.1852503e-16
-41,8.3287127e-17
-41.5,1.1684672e-16
-42,9.9555074e-17
-42.5,1.0628384e-16
-43,7.8051436e-17
-43.5,1.0373512e-16
-44,9.824827e-17
-44.5,1.0050668e-16
-45,9.4733261e-17
-45.5,8.2775917e-17
-46,8.4561126e-17
-46.5,9.5685764e-17
-47,8.8041638e-17
-47.5,9.4457188e-17
-48,7.8829423e-17
-48.5,9.3904329e-17
-49,1.0391687e-16
-49.5,9.9010629e-17
-50,8.7719183e-17

