Ntop TotalCurrent(iv_0.5_7) X,Ntop TotalCurrent(iv_0.5_7) Y
0,-4.4746712e-18
0,9.4689367e-19
0,1.4912501e-16
0,2.1401162e-16
0,2.6652702e-16
0,3.1269561e-16
0,3.5654303e-16
0,3.9675311e-16
0,4.3426939e-16
0,4.7055639e-16
0,5.0514657e-16
0,5.3816973e-16
0,5.3846106e-16
-0.5,6.8744535e-16
-1,8.2050438e-16
-1.5,9.2983959e-16
-2,1.021664e-15
-2.5,1.0964698e-15
-3,1.153626e-15
-3.5,1.2011018e-15
-4,1.23274e-15
-4.5,1.2715684e-15
-5,1.2797595e-15
-5.5,1.3046706e-15
-6,1.3069626e-15
-6.5,1.3173373e-15
-7,1.3183663e-15
-7.5,1.3366821e-15
-8,1.3302693e-15
-8.5,1.3447362e-15
-9,1.3528424e-15
-9.5,1.3609782e-15
-10,1.3572901e-15
-10.5,1.3584395e-15
-11,1.3513266e-15
-11.5,1.3706072e-15
-12,1.3552894e-15
-12.5,1.3736858e-15
-13,1.3451216e-15
-13.5,1.4082346e-15
-14,1.3887541e-15
-14.5,1.3555473e-15
-15,1.3701685e-15
-15.5,1.3876309e-15
-16,1.3775658e-15
-16.5,1.3322648e-15
-17,1.3856846e-15
-17.5,1.3670471e-15
-18,1.3909346e-15
-18.5,1.3620936e-15
-19,1.3626442e-15
-19.5,1.2992655e-15
-20,1.2131372e-15
-20.5,1.0959228e-15
-21,1.0431174e-15
-21.5,9.119299e-16
-22,8.8311928e-16
-22.5,7.5078804e-16
-23,7.0920721e-16
-23.5,6.3556872e-16
-24,5.9922956e-16
-24.5,5.435774e-16
-25,5.2728474e-16
-25.5,4.7872389e-16
-26,4.8047314e-16
-26.5,4.303023e-16
-27,4.2133555e-16
-27.5,3.309128e-16
-28,3.4083862e-16
-28.5,1.8118528e-16
-29,1.9009191e-16
-29.5,2.6039313e-16
-30,2.8183185e-16
-30.5,2.7352717e-16
-31,1.8638999e-16
-31.5,1.879607e-16
-32,2.6814622e-16
-32.5,2.3287067e-16
-33,1.9967019e-16
-33.5,2.5181526e-16
-34,2.036715e-16
-34.5,1.8019308e-16
-35,1.8026676e-16
-35.5,2.0727951e-16
-36,1.7044664e-16
-36.5,1.5684301e-16
-37,1.8605266e-16
-37.5,2.2299483e-16
-38,1.7333393e-16
-38.5,1.7657186e-16
-39,1.4444652e-16
-39.5,1.6565544e-16
-40,1.4910629e-16
-40.5,1.3842002e-16
-41,1.5209904e-16
-41.5,1.5736393e-16
-42,1.6206963e-16
-42.5,1.4934813e-16
-43,1.5010205e-16
-43.5,1.5441352e-16
-44,1.3624816e-16
-44.5,1.7379918e-16
-45,1.3134534e-16
-45.5,1.4612219e-16
-46,1.2758584e-16
-46.5,1.2053923e-16
-47,1.2244517e-16
-47.5,1.0331163e-16
-48,1.190478e-16
-48.5,1.2286158e-16
-49,1.1490003e-16
-49.5,1.0735315e-16
-50,1.0713856e-16

