Ptop TotalCurrent(iv_0.0_7) X,Ptop TotalCurrent(iv_0.0_7) Y
0,1.3528809e-19
0,-3.8390886e-22
0,-1.4134109e-17
0,-2.1466846e-17
0,-2.7713251e-17
0,-3.3431252e-17
0,-3.8776257e-17
0,-4.38577e-17
0,-4.8747679e-17
0,-5.3565147e-17
0,-5.8422166e-17
0,-6.3460656e-17
0,-6.3455608e-17
-0.5,-6.2887511e-17
-1,-6.2493112e-17
-1.5,-6.2250832e-17
-2,-6.2191942e-17
-2.5,-6.2373806e-17
-3,-6.2908379e-17
-3.5,-6.3947302e-17
-4,-6.5675746e-17
-4.5,-6.8138946e-17
-5,-7.1020971e-17
-5.5,-7.3473985e-17
-6,-7.5001198e-17
-6.5,-7.5734544e-17
-7,-7.5997307e-17
-7.5,-7.5960366e-17
-8,-7.5719973e-17
-8.5,-7.5352543e-17
-9,-7.48504e-17
-9.5,-7.4224141e-17
-10,-7.3431812e-17
-10.5,-7.2300834e-17
-11,-7.019628e-17
-11.5,-6.4850835e-17
-12,-4.8245206e-17
-12.5,7.8098337e-18
-13,2.0096299e-16
-13.5,8.6222151e-16
-14,3.0779894e-15
-14.5,1.0281849e-14
-15,3.2911007e-14
-15.5,1.0146162e-13
-16,3.0149818e-13
-16.5,8.6326203e-13
-17,2.3799953e-12
-17.5,6.3123958e-12
-18,1.6087886e-11
-18.5,3.9340132e-11
-19,9.2113036e-11
-19.5,2.059495e-10
-20,4.3812765e-10
-20.5,8.830565e-10
-21,1.678959e-9
-21.5,3.0014087e-9
-22,5.0396854e-9
-22.5,7.9637411e-9
-23,1.1897779e-8
-23.5,1.6911145e-8
-24,2.302488e-8
-24.5,3.0225494e-8
-25,3.8478723e-8
-25.5,4.7739991e-8
-26,5.7961237e-8
-26.5,6.9094868e-8
-27,8.1095813e-8
-27.5,9.3922426e-8
-28,1.0753673e-7
-28.5,1.2190434e-7
-29,1.3699416e-7
-29.5,1.5277812e-7
-30,1.6923081e-7
-30.5,1.8632918e-7
-31,2.0405225e-7
-31.5,2.2238088e-7
-32,2.4129749e-7
-32.5,2.6078595e-7
-33,2.8083136e-7
-33.5,3.0141989e-7
-34,3.2253872e-7
-34.5,3.4417589e-7
-35,3.6632021e-7
-35.5,3.8896117e-7
-36,4.1208891e-7
-36.5,4.356941e-7
-37,4.5976796e-7
-37.5,4.8430213e-7
-38,5.0928869e-7
-38.5,5.3472011e-7
-39,5.6058918e-7
-39.5,5.8688903e-7
-40,6.1361309e-7
-40.5,6.4075505e-7
-41,6.6830886e-7
-41.5,6.9626868e-7
-42,7.2462892e-7
-42.5,7.5338415e-7
-43,7.8252916e-7
-43.5,8.1205889e-7
-44,8.4196845e-7
-44.5,8.7225311e-7
-45,9.0290828e-7
-45.5,9.3392949e-7
-46,9.6531241e-7
-46.5,9.9705282e-7
-47,1.0291466e-6
-47.5,1.0615898e-6
-48,1.0943785e-6
-48.5,1.1275089e-6
-49,1.1609773e-6
-49.5,1.1947801e-6
-50,1.2289137e-6

