c(Ntop:Ntop)(cv_ac_2.0_8_ac_des) X,c(Ntop:Ntop)(cv_ac_2.0_8_ac_des) Y
-0.05,7.8711447e-16
-0.14555556,7.8296925e-16
-0.32817284,7.7623434e-16
-0.67717476,7.6625795e-16
-1.1771748,7.5531972e-16
-1.6771748,7.4492698e-16
-2.1771748,7.3048169e-16
-2.6771748,7.0634485e-16
-3.1771748,6.7104212e-16
-3.6771748,6.3248813e-16
-4.1771748,6.0021591e-16
-4.6771748,5.7589772e-16
-5.1771748,5.5708922e-16
-5.6771748,5.4158666e-16
-6.1771748,5.2810134e-16
-6.6771748,5.1592729e-16
-7.1771748,5.0466076e-16
-7.6771748,4.9405332e-16
-8.1771748,4.8394058e-16
-8.6771748,4.7420686e-16
-9.1771748,4.6476634e-16
-9.6771748,4.5555231e-16
-10.177175,4.4651055e-16
-10.677175,4.3759552e-16
-11.177175,4.287683e-16
-11.677175,4.1999623e-16
-12.177175,4.1125399e-16
-12.677175,4.0252629e-16
-13.177175,3.9381216e-16
-13.677175,3.8513061e-16
-14.177175,3.765266e-16
-14.677175,3.6807542e-16
-15.177175,3.5988214e-16
-15.677175,3.520732e-16
-16.177175,3.4477937e-16
-16.677175,3.3811356e-16
-17.177175,3.3215096e-16
-17.677175,3.2691893e-16
-18.177175,3.2239924e-16
-18.677175,3.1853996e-16
-19.177175,3.1527109e-16
-19.677175,3.1251856e-16
-20.177175,3.1021393e-16
-20.677175,3.0829847e-16
-21.177175,3.0672214e-16
-21.677175,3.0543922e-16
-22.177175,3.0440435e-16
-22.677175,3.0357194e-16
-23.177175,3.0289902e-16
-23.677175,3.0234862e-16
-24.177175,3.0189135e-16
-24.677175,3.015051e-16
-25.177175,3.0117367e-16
-25.677175,3.0088533e-16
-26.177175,3.0063146e-16
-26.677175,3.0040568e-16
-27.177175,3.0020319e-16
-27.677175,3.0002025e-16
-28.177175,2.9985394e-16
-28.677175,2.9970195e-16
-29.177175,2.9956236e-16
-29.677175,2.9943363e-16
-30.177175,2.9931446e-16
-30.677175,2.9920375e-16
-31.177175,2.9910057e-16
-31.677175,2.9900413e-16
-32.177175,2.9891374e-16
-32.677175,2.9882882e-16
-33.177175,2.9874883e-16
-33.677175,2.9867333e-16
-34.177175,2.9860192e-16
-34.677175,2.9853425e-16
-35.177175,2.9846999e-16
-35.677175,2.9840888e-16
-36.177175,2.9835067e-16
-36.677175,2.9829514e-16
-37.177175,2.9824209e-16
-37.677175,2.9819134e-16
-38.177175,2.9814274e-16
-38.677175,2.9809615e-16
-39.177175,2.9805143e-16
-39.677175,2.9800847e-16
-40.177175,2.9796718e-16
-40.677175,2.9792744e-16
-41.177175,2.9788918e-16
-41.677175,2.9785232e-16
-42.177175,2.9781678e-16
-42.677175,2.977825e-16
-43.177175,2.9774943e-16
-43.677175,2.977175e-16
-44.177175,2.9768667e-16
-44.677175,2.9765689e-16
-45.177175,2.9762812e-16
-45.677175,2.9760031e-16
-46.177175,2.9757344e-16
-46.677175,2.9754746e-16
-47.177175,2.9752235e-16
-47.677175,2.9749807e-16
-48.177175,2.974746e-16
-48.677175,2.9745191e-16
-49.177175,2.9742998e-16
-49.677175,2.9740879e-16
-50,2.9739548e-16

