Ptop TotalCurrent(iv_2.0_7) X,Ptop TotalCurrent(iv_2.0_7) Y
0,-2.9384632e-20
0,-1.9122724e-20
0,-1.3773077e-17
0,-2.0896253e-17
0,-2.69377e-17
0,-3.2494057e-17
0,-3.7647924e-17
0,-4.2555223e-17
0,-4.7275351e-17
0,-5.1898707e-17
0,-5.6527061e-17
0,-6.1276923e-17
0,-6.1280209e-17
-0.5,-6.0726535e-17
-1,-6.0335168e-17
-1.5,-6.0090004e-17
-2,-6.0055477e-17
-2.5,-6.0207602e-17
-3,-6.0692954e-17
-3.5,-6.1673086e-17
-4,-6.325286e-17
-4.5,-6.5527372e-17
-5,-6.8276629e-17
-5.5,-7.0692971e-17
-6,-7.2248646e-17
-6.5,-7.3006947e-17
-7,-7.3262174e-17
-7.5,-7.3197967e-17
-8,-7.2933271e-17
-8.5,-7.2550148e-17
-9,-7.1989849e-17
-9.5,-7.135677e-17
-10,-7.0607205e-17
-10.5,-6.9581125e-17
-11,-6.7971352e-17
-11.5,-6.4567927e-17
-12,-5.5299886e-17
-12.5,-2.6759423e-17
-13,6.4610228e-17
-13.5,3.5727718e-16
-14,1.2818528e-15
-14.5,4.1463011e-15
-15,1.2822992e-14
-15.5,3.8465763e-14
-16,1.1226642e-13
-16.5,3.1872267e-13
-17,8.7903447e-13
-17.5,2.351266e-12
-18,6.0881115e-12
-18.5,1.522811e-11
-19,3.6709203e-11
-19.5,8.5051237e-11
-20,1.8876901e-10
-20.5,3.9975988e-10
-21,8.0410292e-10
-21.5,1.5292355e-9
-22,2.7397742e-9
-22.5,4.6173506e-9
-23,7.3301425e-9
-23.5,1.1006397e-8
-24,1.5723115e-8
-24.5,2.1510023e-8
-25,2.8361626e-8
-25.5,3.6250241e-8
-26,4.51364e-8
-26.5,5.4975887e-8
-27,6.5723972e-8
-27.5,7.7337723e-8
-28,8.9777102e-8
-28.5,1.0300536e-7
-29,1.1698906e-7
-29.5,1.3169786e-7
-30,1.4710429e-7
-30.5,1.6318341e-7
-31,1.7991257e-7
-31.5,1.9727111e-7
-32,2.1524011e-7
-32.5,2.3380222e-7
-33,2.5294146e-7
-33.5,2.7264302e-7
-34,2.9289317e-7
-34.5,3.1367913e-7
-35,3.3498894e-7
-35.5,3.5681141e-7
-36,3.7913601e-7
-36.5,4.0195281e-7
-37,4.2525243e-7
-37.5,4.4902597e-7
-38,4.7326501e-7
-38.5,4.979615e-7
-39,5.2310779e-7
-39.5,5.4869655e-7
-40,5.7472078e-7
-40.5,6.0117376e-7
-41,6.2804905e-7
-41.5,6.5534043e-7
-42,6.8304193e-7
-42.5,7.111478e-7
-43,7.3965247e-7
-43.5,7.6855057e-7
-44,7.9783689e-7
-44.5,8.275064e-7
-45,8.575542e-7
-45.5,8.8797557e-7
-46,9.1876588e-7
-46.5,9.4992066e-7
-47,9.8143556e-7
-47.5,1.0133063e-6
-48,1.0455288e-6
-48.5,1.078099e-6
-49,1.1110129e-6
-49.5,1.1442668e-6
-50,1.1778569e-6

