Ntop TotalCurrent(tran_100_0.67e-5) X,Ntop TotalCurrent(tran_100_0.67e-5) Y
5e-13,4.638673e-13
1.25e-12,1.259222e-12
2.375e-12,1.0615376e-11
4.0625e-12,2.1589503e-10
6.59375e-12,6.2863326e-9
1.0390625e-11,8.4818091e-8
1.6085938e-11,2.0826664e-7
2.4628906e-11,2.7233685e-7
3.7443359e-11,2.9447283e-7
5.6665039e-11,3.1761234e-7
8.5497559e-11,3.3958495e-7
1.2874634e-10,3.5681805e-7
1.6118292e-10,3.6260562e-7
2.098378e-10,3.6546934e-7
2.4632896e-10,3.650239e-7
3.0106569e-10,3.6256265e-7
3.4211825e-10,3.6013392e-7
4.0369707e-10,3.5648307e-7
4.4988119e-10,3.5402299e-7
5.1915738e-10,3.5102904e-7
5.7111451e-10,3.4936428e-7
6.4905022e-10,3.4774088e-7
7.07502e-10,3.4713029e-7
7.9517966e-10,3.4698805e-7
9.2669617e-10,3.4795209e-7
1.0253335e-9,3.4910896e-7
1.1732896e-9,3.5026345e-7
1.2842567e-9,3.4951815e-7
1.3674819e-9,3.4720381e-7
1.4923199e-9,3.3930104e-7
1.5859483e-9,3.2883705e-7
1.726391e-9,3.0434318e-7
1.831723e-9,2.7896591e-7
1.989721e-9,2.3206256e-7
2.1082195e-9,1.9307041e-7
2.2859673e-9,1.3629956e-7
2.4192781e-9,9.945594e-8
2.6192443e-9,5.8105583e-8
2.769219e-9,3.7899798e-8
2.8817e-9,2.7733508e-8
2.9660607e-9,2.2258265e-8
3.0926018e-9,1.6531642e-8
3.2824135e-9,1.1547047e-8
3.4247723e-9,9.4633992e-9
3.6383104e-9,7.5342583e-9
3.7984641e-9,6.5600585e-9
4.0386945e-9,5.4116906e-9
4.2188673e-9,4.6908532e-9
4.4891265e-9,3.7553186e-9
4.8945153e-9,2.6301896e-9
5.5025986e-9,1.482014e-9
6.4147235e-9,6.1635209e-10
7.7829108e-9,1.8588055e-10
9.8351917e-9,3.3881885e-11
1.1374402e-8,1.2110483e-11
1.3683219e-8,5.2647918e-12
1.5414831e-8,4.0220144e-12
1.8012249e-8,3.0793707e-12
2.1908376e-8,2.2208366e-12
2.6908376e-8,1.5642639e-12
3.1908376e-8,1.1728283e-12
3.6908376e-8,9.2447289e-13
4.1908376e-8,7.5740709e-13
4.6908376e-8,6.3981442e-13
5.1908376e-8,5.5425324e-13
5.6908376e-8,4.9063358e-13
6.1908376e-8,4.4263062e-13
6.6908376e-8,4.0610547e-13
7.1908376e-8,3.7815265e-13
7.6908376e-8,3.5669642e-13
8.1908376e-8,3.4019033e-13
8.6908376e-8,3.2748015e-13
9.1908376e-8,3.1768434e-13
9.6908376e-8,3.1013254e-13
1e-7,3.0636029e-13

