Ntop TotalCurrent(tran_100_1.28e-5) X,Ntop TotalCurrent(tran_100_1.28e-5) Y
5e-13,6.1601847e-13
1.25e-12,2.1359204e-12
2.375e-12,1.9995648e-11
4.0625e-12,4.1180758e-10
6.59375e-12,1.2000317e-8
1.0390625e-11,1.6194052e-7
1.6085938e-11,3.9778761e-7
2.4628906e-11,5.2052299e-7
3.7443359e-11,5.6313317e-7
5.6665039e-11,6.0747545e-7
8.5497559e-11,6.4933265e-7
1.2874634e-10,6.8196635e-7
1.6118292e-10,6.928784e-7
2.098378e-10,6.9828386e-7
2.4632896e-10,6.9748032e-7
3.0106569e-10,6.9293945e-7
3.4211825e-10,6.8845565e-7
4.0369707e-10,6.8171704e-7
4.4988119e-10,6.7717452e-7
5.1915738e-10,6.7163504e-7
5.7111451e-10,6.685407e-7
6.4905022e-10,6.6548995e-7
7.07502e-10,6.643046e-7
7.9517966e-10,6.6392675e-7
9.2669617e-10,6.6547031e-7
1.0253335e-9,6.6737563e-7
1.1732896e-9,6.6905784e-7
1.2842567e-9,6.6724874e-7
1.3674819e-9,6.6258972e-7
1.4923199e-9,6.4731277e-7
1.5859483e-9,6.2738426e-7
1.726391e-9,5.8104242e-7
1.831723e-9,5.3311946e-7
1.989721e-9,4.4439161e-7
2.1082195e-9,3.703435e-7
2.2859673e-9,2.619271e-7
2.4192781e-9,1.9114216e-7
2.6192443e-9,1.1132136e-7
2.769219e-9,7.2208367e-8
2.8817e-9,5.2539802e-8
2.9660607e-9,4.1969075e-8
3.0926018e-9,3.0951998e-8
3.2824135e-9,2.143237e-8
3.3535929e-9,1.9256918e-8
3.460362e-9,1.6776972e-8
3.6205156e-9,1.4159765e-8
3.860746e-9,1.1484344e-8
4.0409188e-9,9.9526299e-9
4.1760484e-9,8.9412396e-9
4.3787429e-9,7.5824332e-9
4.6827845e-9,5.8461207e-9
5.1388469e-9,3.846425e-9
5.8229406e-9,1.9716532e-9
6.8490811e-9,7.2918075e-10
8.3882918e-9,1.9091145e-10
1.0697108e-8,2.8754239e-11
1.242872e-8,1.289167e-11
1.5026138e-8,7.5269186e-12
1.600017e-8,6.7439591e-12
1.7461217e-8,5.8215539e-12
1.9652789e-8,4.7505192e-12
2.2940146e-8,3.6095881e-12
2.7871182e-8,2.515468e-12
3.2871182e-8,1.8448132e-12
3.7871182e-8,1.4143666e-12
4.2871182e-8,1.1222671e-12
4.7871182e-8,9.1528336e-13
5.2871182e-8,7.6402472e-13
5.7871182e-8,6.5119866e-13
6.2871182e-8,5.6591831e-13
6.7871182e-8,5.0094622e-13
7.2871182e-8,4.5119544e-13
7.7871182e-8,4.1298822e-13
8.2871182e-8,3.835919e-13
8.7871182e-8,3.6094922e-13
9.2871182e-8,3.434984e-13
9.7871182e-8,3.3004416e-13
1e-7,3.2530723e-13

