Ntop TotalCurrent(tran_100_1.158e-5) X,Ntop TotalCurrent(tran_100_1.158e-5) Y
5e-13,5.8556189e-13
1.25e-12,1.9602512e-12
2.375e-12,1.8121382e-11
4.0625e-12,3.7263709e-10
6.59375e-12,1.0857826e-8
1.0390625e-11,1.4651883e-7
1.6085938e-11,3.5987913e-7
2.4628906e-11,4.7085319e-7
3.7443359e-11,5.0934438e-7
5.6665039e-11,5.4943684e-7
8.5497559e-11,5.8732822e-7
1.2874634e-10,6.1690633e-7
1.6118292e-10,6.268062e-7
2.098378e-10,6.3171063e-7
2.4632896e-10,6.309768e-7
3.0106569e-10,6.2684215e-7
3.4211825e-10,6.2275936e-7
4.0369707e-10,6.1662292e-7
4.4988119e-10,6.1248656e-7
5.1915738e-10,6.0744439e-7
5.7111451e-10,6.0463043e-7
6.4905022e-10,6.0186224e-7
7.07502e-10,6.0079363e-7
7.9517966e-10,6.004711e-7
9.2669617e-10,6.0192114e-7
1.0253335e-9,6.0369953e-7
1.1732896e-9,6.0531525e-7
1.2842567e-9,6.0374766e-7
1.3674819e-9,5.9957531e-7
1.4923199e-9,5.857866e-7
1.5859483e-9,5.6774643e-7
1.726391e-9,5.2574055e-7
1.831723e-9,4.822848e-7
1.989721e-9,4.0185465e-7
2.1082195e-9,3.3478202e-7
2.2859673e-9,2.3668671e-7
2.4192781e-9,1.7271644e-7
2.6192443e-9,1.0064875e-7
2.769219e-9,6.5355202e-8
2.8817e-9,4.7605833e-8
2.9660607e-9,3.8062797e-8
3.0926018e-9,2.8110096e-8
3.2824135e-9,1.9497754e-8
3.4247723e-9,1.5929434e-8
3.6383104e-9,1.2653374e-8
3.7984641e-9,1.1011052e-8
4.0386945e-9,9.0807164e-9
4.2188673e-9,7.87004e-9
4.4891265e-9,6.2978215e-9
4.8945153e-9,4.4039854e-9
5.5025986e-9,2.4667428e-9
5.7306298e-9,1.9777501e-9
6.0726766e-9,1.4248616e-9
6.5857469e-9,8.8642913e-10
7.3553522e-9,4.5418771e-10
8.5097603e-9,1.7623575e-10
1.0241372e-8,4.5162009e-11
1.283879e-8,9.939758e-12
1.4786854e-8,7.1096209e-12
1.7708949e-8,5.1672903e-12
2.2092092e-8,3.5187268e-12
2.7092092e-8,2.4267241e-12
3.2092092e-8,1.7742774e-12
3.7092092e-8,1.35908e-12
4.2092092e-8,1.0792115e-12
4.7092092e-8,8.8188169e-13
5.2092092e-8,7.3816831e-13
5.7092092e-8,6.3120601e-13
6.2092092e-8,5.5048488e-13
6.7092092e-8,4.8903507e-13
7.2092092e-8,4.4200177e-13
7.7092092e-8,4.058955e-13
8.2092092e-8,3.7811759e-13
8.7092092e-8,3.5672716e-13
9.2092092e-8,3.402408e-13
9.7092092e-8,3.2753126e-13
1e-7,3.2153413e-13

