Ntop TotalCurrent(tran_100_1.155e-5) X,Ntop TotalCurrent(tran_100_1.155e-5) Y
5e-13,5.846741e-13
1.25e-12,1.9566477e-12
2.375e-12,1.8075209e-11
4.0625e-12,3.7167381e-10
6.59375e-12,1.082973e-8
1.0390625e-11,1.461396e-7
1.6085938e-11,3.5894699e-7
2.4628906e-11,4.6963201e-7
3.7443359e-11,5.0802207e-7
5.6665039e-11,5.4801009e-7
8.5497559e-11,5.8580387e-7
1.2874634e-10,6.1530668e-7
1.6118292e-10,6.2518159e-7
2.098378e-10,6.3007366e-7
2.4632896e-10,6.2934155e-7
3.0106569e-10,6.2521695e-7
3.4211825e-10,6.2114408e-7
4.0369707e-10,6.1502253e-7
4.4988119e-10,6.1089622e-7
5.1915738e-10,6.0586635e-7
5.7111451e-10,6.0305932e-7
6.4905022e-10,6.0029809e-7
7.07502e-10,5.9923234e-7
7.9517966e-10,5.9891112e-7
9.2669617e-10,6.0035871e-7
1.0253335e-9,6.0213384e-7
1.1732896e-9,6.0374769e-7
1.2842567e-9,6.0218585e-7
1.3674819e-9,5.9802536e-7
1.4923199e-9,5.8427316e-7
1.5859483e-9,5.6627945e-7
1.726391e-9,5.243804e-7
1.831723e-9,4.8103477e-7
1.989721e-9,4.0080909e-7
2.1082195e-9,3.3390822e-7
2.2859673e-9,2.3606677e-7
2.4192781e-9,1.7226391e-7
2.6192443e-9,1.0038652e-7
2.769219e-9,6.5186649e-8
2.8817e-9,4.7484354e-8
2.9660607e-9,3.7966534e-8
2.997696e-9,3.5068674e-8
3.0214225e-9,3.3099803e-8
3.0570121e-9,3.0442143e-8
3.1103967e-9,2.7039819e-8
3.1904735e-9,2.3010385e-8
3.3105887e-9,1.8729808e-8
3.4907615e-9,1.4736396e-8
3.6258911e-9,1.2819051e-8
3.8285855e-9,1.0728781e-8
3.9806064e-9,9.4953804e-9
4.2086376e-9,7.9181107e-9
4.379661e-9,6.8874459e-9
4.6361961e-9,5.5370266e-9
5.0209988e-9,3.9104337e-9
5.5982028e-9,2.2464414e-9
6.4640088e-9,9.6704596e-10
7.7627179e-9,3.0178495e-10
9.7107815e-9,5.9976909e-11
1.1171829e-8,2.2914972e-11
1.3363401e-8,9.3937681e-12
1.5007079e-8,7.0253887e-12
1.7472597e-8,5.2962345e-12
2.1170874e-8,3.7924954e-12
2.6170874e-8,2.5832903e-12
3.1170874e-8,1.8696622e-12
3.6170874e-8,1.4210478e-12
4.1170874e-8,1.1216518e-12
4.6170874e-8,9.1217607e-13
5.1170874e-8,7.6041712e-13
5.6170874e-8,6.4786168e-13
6.1170874e-8,5.6308632e-13
6.6170874e-8,4.986495e-13
7.1170874e-8,4.4936851e-13
7.6170874e-8,4.1155574e-13
8.1170874e-8,3.8247367e-13
8.6170874e-8,3.6008279e-13
9.1170874e-8,3.4282718e-13
9.6170874e-8,3.2952549e-13
1e-7,3.2144439e-13

