Ntop TotalCurrent(tran_100_1.924e-5) X,Ntop TotalCurrent(tran_100_1.924e-5) Y
5e-13,7.7799801e-13
1.25e-12,3.0580444e-12
2.375e-12,2.9889817e-11
4.0625e-12,6.1850707e-10
6.59375e-12,1.8029405e-8
1.0390625e-11,2.4333255e-7
1.6085938e-11,5.9795154e-7
2.4628906e-11,7.8300506e-7
3.7443359e-11,8.4754886e-7
5.6665039e-11,9.1439041e-7
8.5497559e-11,9.7708548e-7
1.2874634e-10,1.0256504e-6
1.6118292e-10,1.0418056e-6
2.098378e-10,1.0497996e-6
2.4632896e-10,1.0486421e-6
3.0106569e-10,1.0420277e-6
3.4211825e-10,1.035499e-6
4.0369707e-10,1.0256911e-6
4.4988119e-10,1.019077e-6
4.8451929e-10,1.014744e-6
5.3647642e-10,1.0093401e-6
6.1441213e-10,1.0036244e-6
6.7286391e-10,1.001045e-6
7.6054157e-10,9.9940897e-7
8.9205807e-10,1.000481e-6
9.9069545e-10,1.0027631e-6
1.0646735e-9,1.0044866e-6
1.1756405e-9,1.0054708e-6
1.2588658e-9,1.0035634e-6
1.3837037e-9,9.9270105e-7
1.4773322e-9,9.7534578e-7
1.6177749e-9,9.2857065e-7
1.7231069e-9,8.7448386e-7
1.8811049e-9,7.6289916e-7
1.9996034e-9,6.6012466e-7
2.1773511e-9,4.9412509e-7
2.3106619e-9,3.7480376e-7
2.4106451e-9,2.9537326e-7
2.5606197e-9,1.9844491e-7
2.6731007e-9,1.4403635e-7
2.8418222e-9,8.8190291e-8
2.9683634e-9,6.2256922e-8
3.158175e-9,3.9616661e-8
3.3005338e-9,3.0535986e-8
3.514072e-9,2.2901115e-8
3.6742256e-9,1.9541937e-8
3.914456e-9,1.5960962e-8
4.0946288e-9,1.3841677e-8
4.2297584e-9,1.2426968e-8
4.4324528e-9,1.0518644e-8
4.7364945e-9,8.0785625e-9
5.1925569e-9,5.2770367e-9
5.8766505e-9,2.666705e-9
6.902791e-9,9.5569406e-10
8.4420018e-9,2.3959084e-10
1.0750818e-8,3.877128e-11
1.248243e-8,1.8370842e-11
1.5079848e-8,1.0931339e-11
1.605388e-8,9.8397094e-12
1.7514927e-8,8.476316e-12
1.9706499e-8,6.8970805e-12
2.2993856e-8,5.2095263e-12
2.7924892e-8,3.5903927e-12
3.2924892e-8,2.5973229e-12
3.7924892e-8,1.9596354e-12
4.2924892e-8,1.5267369e-12
4.7924892e-8,1.2198949e-12
5.2924892e-8,9.9558165e-13
5.7924892e-8,8.2826994e-13
6.2924892e-8,7.0189393e-13
6.7924892e-8,6.0543529e-13
7.2924892e-8,5.3165171e-13
7.7924892e-8,4.7498701e-13
8.2924892e-8,4.3138447e-13
8.7924892e-8,3.9780793e-13
9.2924892e-8,3.7192427e-13
9.7924892e-8,3.5196957e-13
1e-7,3.4510937e-13

