Ntop1 TotalCurrent X,Ntop1 TotalCurrent Y,Ntop2 TotalCurrent X,Ntop2 TotalCurrent Y,Ntop3 TotalCurrent X,Ntop3 TotalCurrent Y,Ntop4 TotalCurrent X,Ntop4 TotalCurrent Y
4.0678544e-09,3.6631441e-09,4.0678544e-09,3.6620201e-09,4.0678544e-09,3.662394e-09,4.0678544e-09,3.6613288e-09
4.2813926e-09,3.756154e-09,4.2813926e-09,3.7545999e-09,4.2813926e-09,3.7549863e-09,4.2813926e-09,3.7536544e-09
4.4415462e-09,3.8652829e-09,4.4415462e-09,3.8633504e-09,4.4415462e-09,3.8637234e-09,4.4415462e-09,3.8621823e-09
4.6817766e-09,4.1035735e-09,4.6817766e-09,4.101013e-09,4.6817766e-09,4.1013371e-09,4.6817766e-09,4.0994804e-09
4.8619494e-09,4.3432047e-09,4.8619494e-09,4.340149e-09,4.8619494e-09,4.3404177e-09,4.8619494e-09,4.3383324e-09
5.1322086e-09,4.7970659e-09,5.1322086e-09,4.7932803e-09,5.1322086e-09,4.7934301e-09,5.1322086e-09,4.7910468e-09
5.334903e-09,5.2052896e-09,5.334903e-09,5.2009987e-09,5.334903e-09,5.2010414e-09,5.334903e-09,5.1984797e-09
5.6389447e-09,5.906393e-09,5.6389447e-09,5.9014598e-09,5.6389447e-09,5.9013195e-09,5.6389447e-09,5.8985869e-09
6.0950071e-09,7.0920738e-09,6.0950071e-09,7.0865344e-09,6.0950071e-09,7.086117e-09,6.0950071e-09,7.0833343e-09
6.7791008e-09,8.9574559e-09,6.7791008e-09,8.9518023e-09,6.7791008e-09,8.9510112e-09,6.7791008e-09,8.9485336e-09
7.292171e-09,1.0278565e-08,7.292171e-09,1.0273293e-08,7.292171e-09,1.0272293e-08,7.292171e-09,1.0270208e-08
8.0617764e-09,1.1947484e-08,8.0617764e-09,1.1943115e-08,8.0617764e-09,1.1941928e-08,8.0617764e-09,1.1940458e-08
8.6389804e-09,1.2908471e-08,8.6389804e-09,1.2904833e-08,8.6389804e-09,1.2903589e-08,8.6389804e-09,1.2902514e-08
9.0718834e-09,1.346578e-08,9.0718834e-09,1.346265e-08,9.0718834e-09,1.3461402e-08,9.0718834e-09,1.3460568e-08
9.7212379e-09,1.4067569e-08,9.7212379e-09,1.4065104e-08,9.7212379e-09,1.4063886e-08,9.7212379e-09,1.4063329e-08
1.0208254e-08,1.4358643e-08,1.0208254e-08,1.4356597e-08,1.0208254e-08,1.4355426e-08,1.0208254e-08,1.4355018e-08
1.0938778e-08,1.4588548e-08,1.0938778e-08,1.4587011e-08,1.0938778e-08,1.4585932e-08,1.0938778e-08,1.4585675e-08
1.1486671e-08,1.4628307e-08,1.1486671e-08,1.4627073e-08,1.1486671e-08,1.4626072e-08,1.1486671e-08,1.4625889e-08
1.230851e-08,1.4527908e-08,1.230851e-08,1.4527027e-08,1.230851e-08,1.452615e-08,1.230851e-08,1.4526031e-08
1.3541269e-08,1.412269e-08,1.3541269e-08,1.4122173e-08,1.3541269e-08,1.4121477e-08,1.3541269e-08,1.4121393e-08
1.5390407e-08,1.3184188e-08,1.5390407e-08,1.3183984e-08,1.5390407e-08,1.3183524e-08,1.5390407e-08,1.3183432e-08
1.8164115e-08,1.1499535e-08,1.8164115e-08,1.1499536e-08,1.8164115e-08,1.149933e-08,1.8164115e-08,1.1499202e-08
2.2324677e-08,9.0465197e-09,2.2324677e-08,9.0466017e-09,2.2324677e-08,9.046599e-09,2.2324677e-08,9.0464425e-09
2.7324677e-08,6.6589943e-09,2.7324677e-08,6.659073e-09,2.7324677e-08,6.6591552e-09,2.7324677e-08,6.6590091e-09
3.2324677e-08,4.9060863e-09,3.2324677e-08,4.9061438e-09,3.2324677e-08,4.9062398e-09,3.2324677e-08,4.9061196e-09
3.7324677e-08,3.645201e-09,3.7324677e-08,3.6452403e-09,3.7324677e-08,3.6453271e-09,3.7324677e-08,3.6452324e-09
4.2324677e-08,2.7357988e-09,4.2324677e-08,2.7358242e-09,4.2324677e-08,2.735897e-09,4.2324677e-08,2.7358237e-09
